Id,close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507248000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
1,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507258800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
2,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507269600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
3,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507280400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
4,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507291200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
5,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507302000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
6,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507312800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
7,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507323600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
8,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507334400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
9,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507345200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
10,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507356000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
11,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507366800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
12,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507377600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
13,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507388400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
14,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507399200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
15,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507410000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
16,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507420800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
17,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507431600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
18,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507442400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
19,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507453200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
20,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507464000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
21,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507474800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
22,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507485600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
23,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507496400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
24,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507507200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
25,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507518000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
26,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507528800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
27,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507539600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
28,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507550400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
29,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507561200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
30,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507572000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
31,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507582800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
32,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507593600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
33,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507604400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
34,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507615200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
35,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507626000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
36,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507636800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
37,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507647600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
38,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507658400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
39,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507669200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
40,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507680000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
41,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507690800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
42,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507701600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
43,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507712400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
44,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507723200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
45,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507734000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
46,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507744800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
47,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507755600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
48,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507766400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
49,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507777200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
50,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507788000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
51,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507798800,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
52,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507809600,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
53,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507820400,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
54,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507831200,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
55,4.04e-06,4.04e-06,4.04e-06,4.04e-06,1507842000,0.0,0.0,1,JordanManual,CCCAGG,UNC,2017-12-28 01:33:18.289353
