Id,Id,Id.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507248000,2017-12-28 01:14:57.520546,0,0.0
1,1.0,1.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507258800,2017-12-28 01:14:57.520546,0,0.0
2,2.0,2.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507269600,2017-12-28 01:14:57.520546,0,0.0
3,3.0,3.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507280400,2017-12-28 01:14:57.520546,0,0.0
4,4.0,4.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507291200,2017-12-28 01:14:57.520546,0,0.0
5,5.0,5.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507302000,2017-12-28 01:14:57.520546,0,0.0
6,6.0,6.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507312800,2017-12-28 01:14:57.520546,0,0.0
7,7.0,7.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507323600,2017-12-28 01:14:57.520546,0,0.0
8,8.0,8.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507334400,2017-12-28 01:14:57.520546,0,0.0
9,9.0,9.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507345200,2017-12-28 01:14:57.520546,0,0.0
10,10.0,10.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507356000,2017-12-28 01:14:57.520546,0,0.0
11,11.0,11.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507366800,2017-12-28 01:14:57.520546,0,0.0
12,12.0,12.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507377600,2017-12-28 01:14:57.520546,0,0.0
13,13.0,13.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507388400,2017-12-28 01:14:57.520546,0,0.0
14,14.0,14.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507399200,2017-12-28 01:14:57.520546,0,0.0
15,15.0,15.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507410000,2017-12-28 01:14:57.520546,0,0.0
16,16.0,16.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507420800,2017-12-28 01:14:57.520546,0,0.0
17,17.0,17.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507431600,2017-12-28 01:14:57.520546,0,0.0
18,18.0,18.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507442400,2017-12-28 01:14:57.520546,0,0.0
19,19.0,19.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507453200,2017-12-28 01:14:57.520546,0,0.0
20,20.0,20.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507464000,2017-12-28 01:14:57.520546,0,0.0
21,21.0,21.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507474800,2017-12-28 01:14:57.520546,0,0.0
22,22.0,22.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507485600,2017-12-28 01:14:57.520546,0,0.0
23,23.0,23.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507496400,2017-12-28 01:14:57.520546,0,0.0
24,24.0,24.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507507200,2017-12-28 01:14:57.520546,0,0.0
25,25.0,25.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507518000,2017-12-28 01:14:57.520546,0,0.0
26,26.0,26.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507528800,2017-12-28 01:14:57.520546,0,0.0
27,27.0,27.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507539600,2017-12-28 01:14:57.520546,0,0.0
28,28.0,28.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507550400,2017-12-28 01:14:57.520546,0,0.0
29,29.0,29.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507561200,2017-12-28 01:14:57.520546,0,0.0
30,30.0,30.0,0.0,1,JordanManual,CCCAGG,0.0,0.0,0.0,STORM,1507572000,2017-12-28 01:14:57.520546,0,0.0
