Id,close,coin,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.006256,PEX,1,JordanManual,CCCAGG,0.006256,0.006256,0.006256,,1507154400,2017-12-27 00:02:00.076131,0.0,0.0
1,0.006244,PEX,1,JordanManual,CCCAGG,0.006244,0.006244,0.006244,,1507158000,2017-12-27 00:02:00.076131,0.0,0.0
2,0.006253,PEX,1,JordanManual,CCCAGG,0.006253,0.006253,0.006253,,1507161600,2017-12-27 00:02:00.076131,0.0,0.0
3,0.006273,PEX,1,JordanManual,CCCAGG,0.006273,0.006273,0.006273,,1507165200,2017-12-27 00:02:00.076131,0.0,0.0
4,0.006265,PEX,1,JordanManual,CCCAGG,0.006265,0.006265,0.006265,,1507168800,2017-12-27 00:02:00.076131,0.0,0.0
5,0.006188,PEX,1,JordanManual,CCCAGG,0.006188,0.006188,0.006188,,1507172400,2017-12-27 00:02:00.076131,0.0,0.0
6,0.00617,PEX,1,JordanManual,CCCAGG,0.00617,0.00617,0.00617,,1507176000,2017-12-27 00:02:00.076131,0.0,0.0
7,0.006143,PEX,1,JordanManual,CCCAGG,0.006143,0.006143,0.006143,,1507179600,2017-12-27 00:02:00.076131,0.0,0.0
8,0.006158,PEX,1,JordanManual,CCCAGG,0.006158,0.006158,0.006158,,1507183200,2017-12-27 00:02:00.076131,0.0,0.0
9,0.00616,PEX,1,JordanManual,CCCAGG,0.00616,0.00616,0.00616,,1507186800,2017-12-27 00:02:00.076131,0.0,0.0
10,0.00614,PEX,1,JordanManual,CCCAGG,0.00614,0.00614,0.00614,,1507190400,2017-12-27 00:02:00.076131,0.0,0.0
11,0.005973,PEX,1,JordanManual,CCCAGG,0.006226,0.005973,0.006226,,1507194000,2017-12-27 00:02:00.076131,128.0,0.7645
12,0.00603,PEX,1,JordanManual,CCCAGG,0.00603,0.00603,0.00603,,1507197600,2017-12-27 00:02:00.076131,0.0,0.0
13,0.006031,PEX,1,JordanManual,CCCAGG,0.006031,0.006031,0.006031,,1507201200,2017-12-27 00:02:00.076131,0.0,0.0
14,0.006136,PEX,1,JordanManual,CCCAGG,0.006136,0.006136,0.006136,,1507204800,2017-12-27 00:02:00.076131,0.0,0.0
15,0.006131,PEX,1,JordanManual,CCCAGG,0.006131,0.006131,0.006131,,1507208400,2017-12-27 00:02:00.076131,0.0,0.0
16,0.006114,PEX,1,JordanManual,CCCAGG,0.006114,0.006114,0.006114,,1507212000,2017-12-27 00:02:00.076131,0.0,0.0
17,0.00614,PEX,1,JordanManual,CCCAGG,0.00614,0.00614,0.00614,,1507215600,2017-12-27 00:02:00.076131,0.0,0.0
18,0.006129,PEX,1,JordanManual,CCCAGG,0.006129,0.006129,0.006129,,1507219200,2017-12-27 00:02:00.076131,0.0,0.0
19,0.006108,PEX,1,JordanManual,CCCAGG,0.006108,0.006108,0.006108,,1507222800,2017-12-27 00:02:00.076131,0.0,0.0
20,0.006157,PEX,1,JordanManual,CCCAGG,0.006157,0.006157,0.006157,,1507226400,2017-12-27 00:02:00.076131,0.0,0.0
21,0.006194,PEX,1,JordanManual,CCCAGG,0.006194,0.006194,0.006194,,1507230000,2017-12-27 00:02:00.076131,0.0,0.0
22,0.006179,PEX,1,JordanManual,CCCAGG,0.006179,0.006179,0.006179,,1507233600,2017-12-27 00:02:00.076131,0.0,0.0
23,0.006155,PEX,1,JordanManual,CCCAGG,0.006155,0.006155,0.006155,,1507237200,2017-12-27 00:02:00.076131,0.0,0.0
24,0.006196,PEX,1,JordanManual,CCCAGG,0.006196,0.006196,0.006196,,1507240800,2017-12-27 00:02:00.076131,0.0,0.0
25,0.006136,PEX,1,JordanManual,CCCAGG,0.006136,0.006136,0.006136,,1507244400,2017-12-27 00:02:00.076131,0.0,0.0
