Id,close,coin,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.01911,MEC,1,JordanManual,CCCAGG,0.01911,0.01911,0.01911,,1507154400,2017-12-26 23:53:41.230255,375.29,7.17
1,0.01898,MEC,1,JordanManual,CCCAGG,0.01907,0.01898,0.01907,,1507158000,2017-12-26 23:53:41.230255,165.5,3.14
2,0.01901,MEC,1,JordanManual,CCCAGG,0.01901,0.01901,0.01901,,1507161600,2017-12-26 23:53:41.230255,37.5,0.7129
3,0.01907,MEC,1,JordanManual,CCCAGG,0.01916,0.01907,0.01907,,1507165200,2017-12-26 23:53:41.230255,119.12,2.27
4,0.01905,MEC,1,JordanManual,CCCAGG,0.01905,0.01905,0.01905,,1507168800,2017-12-26 23:53:41.230255,62.5,1.19
5,0.01882,MEC,1,JordanManual,CCCAGG,0.01882,0.01882,0.01882,,1507172400,2017-12-26 23:53:41.230255,35735.78,672.55
6,0.01876,MEC,1,JordanManual,CCCAGG,0.01876,0.01876,0.01876,,1507176000,2017-12-26 23:53:41.230255,70.59,1.32
7,0.01868,MEC,1,JordanManual,CCCAGG,0.01868,0.01868,0.01868,,1507179600,2017-12-26 23:53:41.230255,370.54,6.92
8,0.01872,MEC,1,JordanManual,CCCAGG,0.01872,0.01872,0.01872,,1507183200,2017-12-26 23:53:41.230255,364.53,6.82
9,0.01873,MEC,1,JordanManual,CCCAGG,0.01873,0.01873,0.01873,,1507186800,2017-12-26 23:53:41.230255,176.28,3.3
10,0.01867,MEC,1,JordanManual,CCCAGG,0.01867,0.01867,0.01867,,1507190400,2017-12-26 23:53:41.230255,827.97,15.46
11,0.01893,MEC,1,JordanManual,CCCAGG,0.01893,0.01893,0.01893,,1507194000,2017-12-26 23:53:41.230255,163.87,3.1
12,0.01911,MEC,1,JordanManual,CCCAGG,0.01911,0.01911,0.01911,,1507197600,2017-12-26 23:53:41.230255,2240.69,42.82
13,0.01911,MEC,1,JordanManual,CCCAGG,0.01945,0.01911,0.01911,,1507201200,2017-12-26 23:53:41.230255,4794.64,91.63
14,0.01957,MEC,1,JordanManual,CCCAGG,0.01957,0.01944,0.01944,,1507204800,2017-12-26 23:53:41.230255,1771.56,34.67
15,0.01947,MEC,1,JordanManual,CCCAGG,0.01956,0.01947,0.01956,,1507208400,2017-12-26 23:53:41.230255,174.33,3.39
16,0.01942,MEC,1,JordanManual,CCCAGG,0.01946,0.01942,0.01942,,1507212000,2017-12-26 23:53:41.230255,87.5,1.7
17,0.01946,MEC,1,JordanManual,CCCAGG,0.0195,0.01946,0.0195,,1507215600,2017-12-26 23:53:41.230255,3105.06,60.42
18,0.01942,MEC,1,JordanManual,CCCAGG,0.01942,0.01942,0.01942,,1507219200,2017-12-26 23:53:41.230255,0.0,0.0
19,0.01949,MEC,1,JordanManual,CCCAGG,0.01949,0.01936,0.01936,,1507222800,2017-12-26 23:53:41.230255,1897.62,36.98
20,0.01964,MEC,1,JordanManual,CCCAGG,0.01964,0.01964,0.01964,,1507226400,2017-12-26 23:53:41.230255,0.0,0.0
21,0.01976,MEC,1,JordanManual,CCCAGG,0.01976,0.01976,0.01976,,1507230000,2017-12-26 23:53:41.230255,0.0,0.0
22,0.01971,MEC,1,JordanManual,CCCAGG,0.01971,0.01971,0.01971,,1507233600,2017-12-26 23:53:41.230255,112.5,2.22
