Id,close,coin,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,8.454e-05,MCRN,1,JordanManual,CCCAGG,8.454e-05,8.454e-05,8.454e-05,,1507154400,2017-12-26 23:53:31.538442,0.0,0.0
1,8.437e-05,MCRN,1,JordanManual,CCCAGG,8.437e-05,8.437e-05,8.437e-05,,1507158000,2017-12-26 23:53:31.538442,0.0,0.0
2,8.449e-05,MCRN,1,JordanManual,CCCAGG,8.449e-05,8.449e-05,8.449e-05,,1507161600,2017-12-26 23:53:31.538442,0.0,0.0
3,8.477e-05,MCRN,1,JordanManual,CCCAGG,8.477e-05,8.477e-05,8.477e-05,,1507165200,2017-12-26 23:53:31.538442,0.0,0.0
4,8.467e-05,MCRN,1,JordanManual,CCCAGG,8.467e-05,8.467e-05,8.467e-05,,1507168800,2017-12-26 23:53:31.538442,0.0,0.0
5,8.363e-05,MCRN,1,JordanManual,CCCAGG,8.363e-05,8.363e-05,8.363e-05,,1507172400,2017-12-26 23:53:31.538442,0.0,0.0
6,8.337e-05,MCRN,1,JordanManual,CCCAGG,8.337e-05,8.337e-05,8.337e-05,,1507176000,2017-12-26 23:53:31.538442,0.0,0.0
7,8.301e-05,MCRN,1,JordanManual,CCCAGG,8.301e-05,8.301e-05,8.301e-05,,1507179600,2017-12-26 23:53:31.538442,0.0,0.0
8,8.321e-05,MCRN,1,JordanManual,CCCAGG,8.321e-05,8.321e-05,8.321e-05,,1507183200,2017-12-26 23:53:31.538442,0.0,0.0
9,8.325e-05,MCRN,1,JordanManual,CCCAGG,8.325e-05,8.325e-05,8.325e-05,,1507186800,2017-12-26 23:53:31.538442,0.0,0.0
10,0.0002489,MCRN,1,JordanManual,CCCAGG,0.0002489,8.297e-05,8.297e-05,,1507190400,2017-12-26 23:53:31.538442,4000.0,0.9956
11,0.0002524,MCRN,1,JordanManual,CCCAGG,0.0002524,0.0002524,0.0002524,,1507194000,2017-12-26 23:53:31.538442,0.0,0.0
12,0.0002548,MCRN,1,JordanManual,CCCAGG,0.0002548,0.0002548,0.0002548,,1507197600,2017-12-26 23:53:31.538442,0.0,0.0
13,0.0002548,MCRN,1,JordanManual,CCCAGG,0.0002548,0.0002548,0.0002548,,1507201200,2017-12-26 23:53:31.538442,0.0,0.0
14,0.0002593,MCRN,1,JordanManual,CCCAGG,0.0002593,0.0002593,0.0002593,,1507204800,2017-12-26 23:53:31.538442,0.0,0.0
