close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.07685,0.07792,0.07681,0.07792,1507312800,3261.97,252.53,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.07734,0.07738,0.07691,0.07691,1507323600,17656.58,1364.35,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.07726,0.07755,0.07726,0.07755,1507334400,0.0,0.0,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.07744,0.07744,0.07732,0.07732,1507345200,0.0,0.0,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.07091,0.0769,0.07067,0.0769,1507356000,5986.66,423.1045,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.06723,0.07346,0.04854,0.0709,1507366800,122800.8,8154.65,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.06737,0.06742,0.05392,0.06742,1507377600,87847.45,5647.77,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.06778,0.06778,0.06731,0.06742,1507388400,613.04,41.3301,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.07151,0.07384,0.06746,0.06765,1507399200,10966.08,787.9639,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.07297,0.07327,0.07158,0.07163,1507410000,6.14,0.4395,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.06698,0.07323,0.06605,0.07321,1507420800,570.4,38.21,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.06428,0.06899,0.04981,0.06711,1507431600,70385.05,4524.59,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.06467,0.06467,0.06343,0.06455,1507442400,5887.55,378.56,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.06478,0.06527,0.06461,0.06465,1507453200,4094.87,265.13,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.06991,0.07109,0.06163,0.06485,1507464000,25075.93,1725.46,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.07023,0.0718,0.06437,0.07061,1507474800,23632.5,1535.64,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.05473,0.0699,0.05461,0.0699,1507485600,41134.71,2607.47,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.06848,0.06853,0.05476,0.05476,1507496400,8769.28,573.08,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.05598,0.06846,0.05519,0.06816,1507507200,10527.74,588.29,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
0.06024,0.06352,0.05507,0.05616,1507518000,7311.02,432.79,1,JordanManual,CCCAGG,INSN,2017-12-28 17:47:43.686655
