Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,0.001816,0.001816,0.001816,0.001816,1507154400,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
1,0.001816,0.001816,0.001816,0.001816,1507158000,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
2,0.001816,0.001816,0.001816,0.001816,1507161600,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
3,0.001816,0.001816,0.001816,0.001816,1507165200,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
4,0.001816,0.001816,0.001816,0.001816,1507168800,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
5,0.001816,0.001816,0.001816,0.001816,1507172400,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
6,0.001816,0.001816,0.001816,0.001816,1507176000,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
7,0.001816,0.001816,0.001816,0.001816,1507179600,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
8,0.001816,0.001816,0.001816,0.001816,1507183200,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
9,0.001816,0.001816,0.001816,0.001816,1507186800,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
10,0.001816,0.001816,0.001816,0.001816,1507190400,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
11,0.001816,0.001816,0.001816,0.001816,1507194000,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
12,0.001816,0.001816,0.001816,0.001816,1507197600,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
13,0.001816,0.001816,0.001816,0.001816,1507201200,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
14,0.001816,0.001816,0.001816,0.001816,1507204800,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
15,0.001816,0.001816,0.001816,0.001816,1507208400,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
16,0.001816,0.001816,0.001816,0.001816,1507212000,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
17,0.001816,0.001816,0.001816,0.001816,1507215600,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
18,0.001816,0.001816,0.001816,0.001816,1507219200,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
19,0.001816,0.001816,0.001816,0.001816,1507222800,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
20,0.001816,0.001816,0.001816,0.001816,1507226400,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
21,0.001816,0.001816,0.001816,0.001816,1507230000,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
22,0.001816,0.001816,0.001816,0.001816,1507233600,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
23,0.001816,0.001816,0.001816,0.001816,1507237200,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
24,0.001816,0.001816,0.001816,0.001816,1507240800,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
25,0.001816,0.001816,0.001816,0.001816,1507244400,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
26,0.001816,0.001816,0.001816,0.001816,1507248000,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
27,0.001816,0.001816,0.001816,0.001816,1507251600,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
28,0.001816,0.001816,0.001816,0.001816,1507255200,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
29,0.001816,0.001816,0.001816,0.001816,1507258800,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
30,0.001816,0.001816,0.001816,0.001816,1507262400,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
31,0.001816,0.001816,0.001816,0.001816,1507266000,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
32,0.001816,0.001816,0.001816,0.001816,1507269600,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
33,0.001816,0.001816,0.001816,0.001816,1507273200,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
34,0.001816,0.001816,0.001816,0.001816,1507276800,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
35,0.001816,0.001816,0.001816,0.001816,1507280400,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
36,0.001816,0.001816,0.001816,0.001816,1507284000,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
37,0.001816,0.001816,0.001816,0.001816,1507287600,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
38,0.001816,0.001816,0.001816,0.001816,1507291200,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
39,0.001816,0.001816,0.001816,0.001816,1507294800,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
40,0.001816,0.001816,0.001816,0.001816,1507298400,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
41,0.001816,0.001816,0.001816,0.001816,1507302000,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
42,0.001816,0.001816,0.001816,0.001816,1507305600,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
43,0.001816,0.001816,0.001816,0.001816,1507309200,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
44,0.001816,0.001816,0.001816,0.001816,1507312800,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
45,0.001816,0.001816,0.001816,0.001816,1507316400,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
46,0.001816,0.001816,0.001816,0.001816,1507320000,0.0,0.0,DRZ,1,JordanManual,CCCAGG,2017-12-26 23:35:00.261833
