TotalCoinsMined,BlockReward,DifficultyAdjustment,BlockRewardReduction,Symbol,BlockNumber,NetHashesPerSecond,BlockTime,PreviousTotalCoinsMined,PriceUSD,key,source,timestamp_api_call
15546730.9256,5.80434620795,2 blocks,-,XMR,1477006,531487455.792,120,0.0,334.52,XMR,cryptocompare,2018-01-01 15:08:11.945618
15546730.9256,5.80434620795,2 blocks,-,XMR,1477006,531487455.792,120,0.0,334.52,XMR,cryptocompare,2018-01-01 14:45:45.202824
