CHANGE24HOUR,CHANGEDAY,CHANGEPCT24HOUR,CHANGEPCTDAY,FLAGS,FROMSYMBOL,HIGH24HOUR,HIGHDAY,LASTMARKET,LASTTRADEID,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LOW24HOUR,LOWDAY,MARKET,MKTCAP,OPEN24HOUR,OPENDAY,PRICE,SUPPLY,TOSYMBOL,TOTALVOLUME24H,TOTALVOLUME24HTO,TYPE,VOLUME24HOUR,VOLUME24HOURTO,VOLUMEDAY,VOLUMEDAYTO,coin,coin_units,computer_name,data_source,loop,timestamp_api_call
0,0,0,0,4,007,0.00016,0.00016,Yobit,174198628,1514115649,2.95,0.0004720295,0.00016,0.00016,CCCAGG,0,0.00016,0.00016,0.00016,0,BTC,6.51592437,0.00104261305844,5,6.51592437,0.00104261305844,0,0,007,1,JordanManual,cryptocompare,1,2017-12-24 17:59:34.100204
0,0,0,0,4,007,0.00318598,0.00318598,Yobit,0,1514115649,0,0,0.00318598,0.00318598,CCCAGG,0,0.00318598,0.00318598,0.00318598,0,ETH,6.51592437,0.0207596047243,5,0,0,0,0,007,1,JordanManual,cryptocompare,1,2017-12-24 17:59:34.100204
0,0,0,0,4,007,1.886472,1.886472,Yobit,0,1514163555,0,0,1.886472,1.886472,CCCAGG,0,1.886472,1.886472,1.886472,0,EUR,6.51592437,12.2921088781,5,0,0,0,0,007,1,JordanManual,cryptocompare,1,2017-12-24 17:59:34.100204
0,0,0,0,4,007,2.1925312,2.1925312,Yobit,0,1514163569,0,0,2.1925312,2.1925312,CCCAGG,0,2.1925312,2.1925312,2.1925312,0,USD,6.51592437,14.2863674781,5,0,0,0,0,007,1,JordanManual,cryptocompare,1,2017-12-24 17:59:34.100204
0,0,0,0,4,1337,1e-08,1e-08,Yobit,174480546,1514154252,165632.634731,0.00165632634731,1e-08,1e-08,CCCAGG,269.534079164,1e-08,1e-08,1e-08,26953407916.4,BTC,157139846.763,1.57139846763,5,14864327.7445,0.148643277445,0,0,1337,1,JordanManual,cryptocompare,1,2017-12-24 17:59:34.749601
3e-08,0,21.4285714286,0,4,1337,1.9e-07,1.7e-07,Yobit,174507198,1514158454,150000,0.0255,1e-07,1.7e-07,CCCAGG,4582.07934579,1.4e-07,1.7e-07,1.7e-07,26953407916.4,ETH,157139846.763,26.6894110389,5,751557.132886,0.103401801737,0,0,1337,1,JordanManual,cryptocompare,1,2017-12-24 17:59:34.749601
1.79e-05,0,21.4345587355,0,4,1337,0.00011334,0.00010141,Yobit,0,1514163568,0,0,5.965e-05,0.00010141,CCCAGG,2733345.09681,8.351e-05,0.00010141,0.00010141,26953407916.4,EUR,157139846.763,15935.5518602,5,0,0,0,0,1337,1,JordanManual,cryptocompare,1,2017-12-24 17:59:34.749601
1e-05,0,8.33333333333,0,4,1337,0.00013,0.00013,Yobit,174527267,1514162463,48493.8726485,6.3042034443,0.00012,0.00013,CCCAGG,3503943.02914,0.00012,0.00013,0.00013,26953407916.4,USD,157139846.763,20427.3880332,5,179161.724165,22.4989781644,48493.8726485,6.3042034443,1337,1,JordanManual,cryptocompare,1,2017-12-24 17:59:34.749601
0,0,0,0,4,1CR,4.59e-05,4.59e-05,Novaexchange,1506839686000,1506839686,28.5453763,0.00131023277217,4.59e-05,4.59e-05,CCCAGG,4.0489767,4.59e-05,4.59e-05,4.59e-05,88213,BTC,0,0,5,0,0,0,0,1CR,1,JordanManual,cryptocompare,1,2017-12-24 17:59:35.375926
0,0,0,0,4,1CR,0.00075,0.00075,Novaexchange,1500412106000,1500412106,0.69687988,0.00052265991,0.00075,0.00075,CCCAGG,66.15975,0.00075,0.00075,0.00075,88213,ETH,0,0,5,0,0,0,0,1CR,1,JordanManual,cryptocompare,1,2017-12-24 17:59:35.375926
0,0,0,0,4,1CR,0.54118166,0.54118166,Novaexchange,0,1514163555,0,0,0.54118166,0.54118166,CCCAGG,47739.2577736,0.54118166,0.54118166,0.54118166,88213,EUR,0,0,5,0,0,0,0,1CR,1,JordanManual,cryptocompare,1,2017-12-24 17:59:35.375926
0,0,0,0,4,1CR,0.62898239,0.62898239,Novaexchange,0,1514163569,0,0,0.62898239,0.62898239,CCCAGG,55484.4235691,0.62898239,0.62898239,0.62898239,88213,USD,0,0,5,0,0,0,0,1CR,1,JordanManual,cryptocompare,1,2017-12-24 17:59:35.375926
9.75e-06,-2.85e-06,20.762350937,-4.78509066488,4,1ST,6.1e-05,5.986e-05,BitTrex,9535088,1514163503,884.31232704,0.0501405,4.521e-05,5.66e-05,CCCAGG,4852.0147975,4.696e-05,5.956e-05,5.671e-05,85558363.5601,BTC,6188945.98831,337.740682947,5,6063467.04928,330.624772314,396692.685355,22.82687215,1ST,1,JordanManual,cryptocompare,1,2017-12-24 17:59:35.993001
0.00019414,-5.675e-05,20.7616379172,-4.78507226092,4,1ST,0.00121466,0.00119196,BitTrex,0,1514163503,0,0,0.00090024,0.00112704,CCCAGG,96615.070883,0.00093509,0.00118598,0.00112923,85558363.5601,ETH,6188945.98831,6988.74347838,5,0,0,0,0,1ST,1,JordanManual,cryptocompare,1,2017-12-24 17:59:35.993001
0.11495689,-0.03360278,20.7623514635,-4.7850903225,4,1ST,0.71921745,0.70577634,BitTrex,0,1514163555,0,0,0.53304624,0.66733947,CCCAGG,57207437.9119,0.55367953,0.7022392,0.66863642,85558363.5601,EUR,6188945.98831,4138154.6892,5,0,0,0,0,1ST,1,JordanManual,cryptocompare,1,2017-12-24 17:59:35.993001
0.13360737,-0.03905446,20.7623508466,-4.78509041514,4,1ST,0.83590252,0.82028074,BitTrex,0,1514163569,0,0,0.6195271,0.77560791,CCCAGG,66488711.6544,0.64350791,0.81616974,0.77711528,85558363.5601,USD,6188945.98831,4809524.49461,5,0,0,0,0,1ST,1,JordanManual,cryptocompare,1,2017-12-24 17:59:35.993001
-1.75e-06,0,-41.567695962,0,4,2015,4.21e-06,2.46e-06,Yobit,174161107,1514109825,44.49709659,0.000109462857611,2.46e-06,2.46e-06,CCCAGG,0,4.21e-06,2.46e-06,2.46e-06,0,BTC,81.00104829,0.000263144494268,5,81.00104829,0.000263144494268,0,0,2015,1,JordanManual,cryptocompare,1,2017-12-24 17:59:36.660659
-3.485e-05,0,-41.5722295121,0,4,2015,8.383e-05,4.898e-05,Yobit,0,1514109825,0,0,4.898e-05,4.898e-05,CCCAGG,0,8.383e-05,4.898e-05,4.898e-05,0,ETH,81.00104829,0.00396743134524,5,0,0,0,0,2015,1,JordanManual,cryptocompare,1,2017-12-24 17:59:36.660659
-0.02063328,0,-41.5676846209,0,4,2015,0.04963779,0.02900451,Yobit,0,1514163555,0,0,0.02900451,0.02900451,CCCAGG,0,0.04963779,0.02900451,0.02900451,0,EUR,81.00104829,2.34939571514,5,0,0,0,0,2015,1,JordanManual,cryptocompare,1,2017-12-24 17:59:36.660659
-0.02398081,0,-41.5676939445,0,4,2015,0.05769098,0.03371017,Yobit,0,1514163569,0,0,0.03371017,0.03371017,CCCAGG,0,0.05769098,0.03371017,0.03371017,0,USD,81.00104829,2.73055910803,5,0,0,0,0,2015,1,JordanManual,cryptocompare,1,2017-12-24 17:59:36.660659
1e-08,0,100,0,4,2BACCO,2e-08,2e-08,Yobit,174300049,1514129592,6114.58272082,0.000122291654416,1e-08,2e-08,CCCAGG,0,1e-08,2e-08,2e-08,0,BTC,92016.1189685,0.00184032237937,5,84999,0.00169998,0,0,2BACCO,1,JordanManual,cryptocompare,1,2017-12-24 17:59:37.282466
2e-07,0,100,0,4,2BACCO,4e-07,4e-07,Yobit,0,1514129592,0,0,2e-07,4e-07,CCCAGG,0,2e-07,4e-07,4e-07,0,ETH,92016.1189685,0.0368064475874,5,0,0,0,0,2BACCO,1,JordanManual,cryptocompare,1,2017-12-24 17:59:37.282466
0.00011791,0,100.008481764,0,4,2BACCO,0.00023581,0.00023581,Yobit,0,1514163555,0,0,0.0001179,0.00023581,CCCAGG,0,0.0001179,0.00023581,0.00023581,0,EUR,92016.1189685,21.698321014,5,0,0,0,0,2BACCO,1,JordanManual,cryptocompare,1,2017-12-24 17:59:37.282466
0,0,0,0,4,2BACCO,0.00043,0.00043,Yobit,174420133,1514144889,7000,3.01,0.00043,0.00043,CCCAGG,0,0.00043,0.00043,0.00043,0,USD,92016.1189685,39.5669311565,5,7000,3.01,0,0,2BACCO,1,JordanManual,cryptocompare,1,2017-12-24 17:59:37.282466
4.3e-07,-1e-08,37.3913043478,-0.62893081761,4,2GIVE,2e-06,1.65e-06,BitTrex,2531851,1514163541,3000,0.00474,1.11e-06,1.57e-06,CCCAGG,820.435814471,1.15e-06,1.59e-06,1.58e-06,519263173.716,BTC,98768415.5202,156.046549793,5,98759064.6192,156.03177537,1941088.65871,3.10380296,2GIVE,1,JordanManual,cryptocompare,1,2017-12-24 17:59:37.893278
8.56e-06,-2e-07,37.3799126638,-0.631711939356,4,2GIVE,3.982e-05,3.286e-05,BitTrex,0,1514163541,0,0,2.21e-05,3.126e-05,CCCAGG,16336.0194451,2.29e-05,3.166e-05,3.146e-05,519263173.716,ETH,98768415.5202,3107.25435227,5,0,0,0,0,2GIVE,1,JordanManual,cryptocompare,1,2017-12-24 17:59:37.893278
0.00506989,-0.00011791,37.3912716406,-0.62896000495,4,2GIVE,0.0235809,0.01945424,BitTrex,0,1514163555,0,0,0.0130874,0.01851101,CCCAGG,9673306.92947,0.01355902,0.01874682,0.01862891,519263173.716,EUR,98768415.5202,1839947.92357,5,0,0,0,0,2GIVE,1,JordanManual,cryptocompare,1,2017-12-24 17:59:37.893278
0.00589243,-0.00013703,37.3913148319,-0.628916096176,4,2GIVE,0.02740664,0.02261048,BitTrex,0,1514163569,0,0,0.01521069,0.02151421,CCCAGG,11242696.7899,0.01575882,0.02178828,0.02165125,519263173.716,USD,98768415.5202,2138545.39423,5,7461.86453693,247.296387882,0,0,2GIVE,1,JordanManual,cryptocompare,1,2017-12-24 17:59:37.893278
1.48e-06,0,71.4975845411,0,4,32BIT,3.55e-06,3.55e-06,Yobit,174413331,1514143821,138.64344731,0.000492184237951,2.07e-06,3.55e-06,CCCAGG,0,2.07e-06,3.55e-06,3.55e-06,0,BTC,477.28689462,0.0015533684759,5,238.64344731,0.000706184237951,0,0,32BIT,1,JordanManual,cryptocompare,1,2017-12-24 17:59:38.515400
2.947e-05,0,71.4944201844,0,4,32BIT,7.069e-05,7.069e-05,Yobit,0,1514143821,0,0,4.122e-05,7.069e-05,CCCAGG,0,4.122e-05,7.069e-05,7.069e-05,0,ETH,477.28689462,0.0337394105807,5,0,0,0,0,32BIT,1,JordanManual,cryptocompare,1,2017-12-24 17:59:38.515400
0.01744987,0,71.4976053245,0,4,32BIT,0.0418561,0.0418561,Yobit,0,1514163555,0,0,0.02440623,0.0418561,CCCAGG,0,0.02440623,0.0418561,0.0418561,0,EUR,477.28689462,19.9773679899,5,0,0,0,0,32BIT,1,JordanManual,cryptocompare,1,2017-12-24 17:59:38.515400
0,0,0,0,4,32BIT,0.002,0.002,Yobit,174384011,1514140103,100,0.200006,0.002,0.002,CCCAGG,0,0.002,0.002,0.002,0,USD,477.28689462,0.95457978924,5,100,0.200006,0,0,32BIT,1,JordanManual,cryptocompare,1,2017-12-24 17:59:38.515400
