CoinName,PreMinedValue,Name,Algorithm,FullyPremined,Url,ImageUrl,Id,ProofType,Sponsored,SortOrder,TotalCoinSupply,FullName,TotalCoinsFreeFloat,Symbol,source,timestamp_api_call
Aero Coin,N/A,AERO,X13,0,/coins/aero/overview,/media/19594/aero.png,4324,PoS,False,37,7000000,Aero Coin (AERO),N/A,AERO,cryptocompare,2017-12-26 13:58:56.420913
Agoras Token,N/A,AGRS,N/A,0,/coins/agrs/overview,/media/1383839/agrs.png,191142,N/A,False,1378,42000000,Agoras Token (AGRS),N/A,AGRS,cryptocompare,2017-12-26 13:58:56.420913
Aegis,N/A,AGS,X13,0,/coins/ags/overview,/media/19595/ags.png,4326,PoS,False,39,0,Aegis (AGS),N/A,AGS,cryptocompare,2017-12-26 13:58:56.420913
Ahoolee,N/A,AHT,Ethash,0,/coins/aht/overview,/media/1383688/ahc.png,175611,PoW,False,1283,100000000,Ahoolee (AHT),N/A,AHT,cryptocompare,2017-12-26 13:58:56.420913
Bowhead Health,N/A,AHT*,N/A,1,/coins/ahtstar/overview,/media/1383796/aht.png,186064,N/A,False,1351,100000000,Bowhead Health (AHT*),N/A,AHT*,cryptocompare,2017-12-26 13:58:56.420913
AdvancedInternetBlock,N/A,AIB,Scrypt,0,/coins/aib/overview,/media/350971/aib.png,20806,PoW,False,571,314159265359,AdvancedInternetBlock (AIB),N/A,AIB,cryptocompare,2017-12-26 13:58:56.420913
AidCoin,N/A,AID,N/A,0,/coins/aid/overview,/media/14913433/aidcoin.png,368770,N/A,False,1780,100000000,AidCoin (AID),N/A,AID,cryptocompare,2017-12-26 13:58:56.420913
Aion,N/A,AION,N/A,0,/coins/aion/overview,/media/16746538/aion.png,431235,N/A,False,1925,465934586.66,Aion (AION),N/A,AION,cryptocompare,2017-12-26 13:58:56.420913
AirToken,N/A,AIR,N/A,0,/coins/air/overview,/media/12318291/air.png,338555,N/A,False,1684,1491492558,AirToken (AIR),N/A,AIR,cryptocompare,2017-12-26 13:58:56.420913
Aircoin,N/A,AIR*,Scrypt,0,/coins/airstar/overview,/media/351740/air.png,30182,PoW/PoS,False,846,357000000,Aircoin (AIR*),N/A,AIR*,cryptocompare,2017-12-26 13:58:56.420913
Arab League Coin,N/A,ALC,X13,0,/coins/alc/overview,/media/352022/alc.png,33401,PoW,False,908,N/A,Arab League Coin (ALC),N/A,ALC,cryptocompare,2017-12-26 13:58:56.420913
Alexandrite,N/A,ALEX,SHA256,0,/coins/alex/overview,/media/1382657/alex.png,45607,PoW/PoS,False,1100,1268000,Alexandrite (ALEX),N/A,ALEX,cryptocompare,2017-12-26 13:58:56.420913
AlphaCoin,N/A,ALF,Scrypt,0,/coins/alf/overview,/media/19600/alf.png,4325,PoW,False,38,210182000,AlphaCoin (ALF),N/A,ALF,cryptocompare,2017-12-26 13:58:56.420913
ALISmedia,N/A,ALIS,N/A,0,/coins/alis/overview,/media/12318247/alis.png,331603,N/A,False,1660,287604611.0864,ALISmedia (ALIS),N/A,ALIS,cryptocompare,2017-12-26 13:58:56.420913
AlienCoin,N/A,ALN,Scrypt,0,/coins/aln/overview,/media/20080/aln.png,4328,PoW,False,41,200000000,AlienCoin (ALN),N/A,ALN,cryptocompare,2017-12-26 13:58:56.420913
Alqo,N/A,ALQO,Quark,0,/coins/alqo/overview,/media/16404849/alqo.png,402782,PoW/PoS,False,1878,57879300,Alqo (ALQO),N/A,ALQO,cryptocompare,2017-12-26 13:58:56.420913
