has_pricing,symbol
1,CREDO
1,CREVA
1,CRM
1,CRNK
1,CRPS
1,CRTM
1,CRW
1,CRX
1,CRYPT
1,CS
1,CSC
1,CSH
1,CSMIC
1,CSNO
0,CSTL
1,CTC
1,CTIC
1,CTO
1,CTR
1,CTT
1,CTX
1,CUBE
1,CURE
1,CVC
0,CVCOIN
1,CWV
1,CWXT
1,CXC
1,CXT
1,CYC
1,CYG
1,CYP
1,CYT
1,CZC
1,DANK
1,DAR
1,DARK
1,DAS
1,DASH
1,DAT
1,DATA
1,DAXX
1,DAY
1,DB
1,DBET
1,DBG
1,DBIC
1,DBIX
0,DBR
1,DBTC
1,DCC
1,DCK
1,DCN
1,DCR
1,DCRE
0,DCS.
1,DCT
1,DCY
1,DDF
1,DEA
0,DEB
1,DEEP
1,DEM
1,DENT
1,DES
1,DETH
1,DEUR
0,DFBT
1,DFT
1,DGB
1,DGC
1,DGD
1,DGDC
1,DGMS
1,DGORE
1,DGPT
1,DICE
1,DIEM
1,DIGS
1,DIM
1,DIME
1,DISK
1,DIVX
1,DKC
1,DLC
1,DLISK
0,DLR
1,DLT
1,DMD
0,DMT
1,DNA
1,DNET
1,DNR
1,DNT
1,DOGE
1,DOGED
1,DOGETH
1,DON
1,DOPE
1,DOT
1,DOVU
1,DP
1,DPAY
1,DPP
1,DRA
1,DRACO
0,DRC
0,DRC*
1,DRGN
1,DRKC
1,DRKT
1,DRM8
1,DROP
1,DRP
0,DRS
1,DRT
1,DRXNE
1,DRZ
1,DSB
1,DSH
1,DT
1,DTB
1,DTC
1,DTC*
0,DTCT
1,DTR
1,DTT
0,DTT*
1,DUB
1,DUCK
1,DUO
0,DUTCH
1,DUX
1,DVC
1,DYN
1,EA
1,EAC
1,EAGS
0,EARTH
1,EB3
1,EBCH
1,EBET
1,EBS
1,EBST
1,EBTC
0,EBZ
1,EC
1,ECA
1,ECASH
0,ECC
0,ECHT
1,ECO
1,ECOB
1,EDC
1,EDDIE
1,EDG
1,EDGE
1,EDO
1,EDR
1,EDRC
1,EFL
1,EFYT
1,EGAS
1,EGC
1,EGG
1,EGO
1,EKN
1,EKO
1,ELC
1,ELE
1,ELITE
1,ELIX
1,ELLA
1,ELM
1,ELS
0,ELT
1,ELTC2
1,ELTCOIN
1,EMB
1,EMC
1,EMC2
1,EMD
1,EMGO
0,EMIGR
1,EMPC
1,EMT
1,ENE
1,ENG
1,ENJ
1,ENRG
1,ENT
1,ENTER
1,EOC
0,EON
1,EOS
1,EPY
0,EPY*
1,EQ
0,EQB
1,EQM
1,EQT
1,EQUAL
0,ERB
1,ERC
1,ERO
1,ERR
1,ERT
1,ERY
0,ESC*
1,ESP
1,ETBS
1,ETBT
1,ETC
0,ETF
1,ETG
1,ETH
1,ETHB
1,ETHD
1,ETHS
0,ETK
1,ETN
1,ETP
1,ETT
1,EUC
1,EVC
1,EVENT
1,EVIL
0,EVN
1,EVR
1,EVX
1,EXB
1,EXCL
1,EXE
1,EXIT
1,EXN
1,EXP
0,EXY
1,EZC
0,EZM
1,F16
1,FAIR
1,FAME
1,FAZZ
1,FC
1,FC2
1,FCN
1,FCS
1,FCT
1,FDC
1,FFC
1,FGZ
1,FIBRE
0,FIL
1,FIND
1,FIRE
1,FIRST
1,FIST
1,FIT
1,FJC
0,FLAP
1,FLASH
1,FLDC
1,FLIK
1,FLIXX
1,FLLW
1,FLO
0,FLP
1,FLT
1,FLVR
1,FLX
1,FLY
0,FND
0,FNT
1,FONZ
0,FOOD
1,FOREX
1,FRAC
1,FRAZ
1,FRC
1,FRD
1,FRE
1,FRK
1,FRN
1,FRST
1,FRWC
1,FSC2
1,FSN
1,FST
1,FTC
1,FTP
1,FUCK
1,FUEL
1,FUN
1,FUNC
1,FUTC
1,FUZZ
1,FX
1,FYN
1,FYP
1,GAIA
1,GAKH
1,GAM
1,GAME
1,GAP
1,GAS
0,GAT
1,GAY
1,GB
1,GBIT
1,GBRC
1,GBT
1,GBX
1,GBYTE
1,GCC
1,GCN
1,GCR
1,GDC
0,GEA
1,GEMZ
1,GEN
1,GEO
1,GER
0,GES
0,GFT
1,GGS
1,GHC
1,GHOUL
1,GHS
1,GIFT
1,GIG
1,GIM
1,GIVE
1,GIZ
0,GJC
0,GLA
1,GLC
1,GLD
1,GLOBE
1,GLT
1,GLX
1,GLYPH
1,GMC
1,GML
1,GMT
1,GMX
1,GNJ
1,GNO
1,GNT
1,GOAT
1,GOLOS
1,GOOD
1,GOON
1,GOT
1,GOTX
1,GP
1,GPL
1,GPU
1,GRAM
1,GRAV
1,GRC
1,GRE
1,GREXIT
1,GRF
1,GRID
0,GRID*
1,GRM
1,GROW
1,GRS
1,GRT
1,GRW
1,GRWI
1,GRX
1,GSM
1,GSX
1,GSY
0,GTO
1,GUE
0,GUESS
1,GUNS
1,GUP
1,GVT
1,GXC
1,GXC*
1,H2O
1,HAC
1,HAL
1,HALLO
1,HAMS
1,HAZE
1,HBN
1,HBT
1,HCC
1,HDG
1,HEAT
1,HEDG
1,HEEL
1,HGT
1,HILL
1,HIRE
0,HIRE*
1,HKG
1,HKN
1,HMP
1,HMQ
1,HNC
0,HNC*
1,HODL
1,HOLD
1,HONEY
1,HPC
1,HQX
1,HRB
1,HSP
1,HSR
1,HST
1,HTC
1,HTML5
1,HUC
1,HUGE
1,HUSH
1,HVC
1,HVCO
1,HVN
0,HXT
1,HXX
1,HYP
1,HYPER
1,HZ
1,HZT
1,I0C
1,IBANK
1,ICASH
1,ICB
0,ICC
1,ICE
1,ICN
1,ICOB
1,ICON
0,ICOO
1,ICOS
1,ICX
1,IEC
1,IFC
1,IFLT
1,IFT
1,IGNIS
1,ILC
0,ILCT
1,IML
1,IMPCH
1,IMPS
1,IMS
1,IMX
1,IN
1,INC
1,INCNT
1,INCP
1,IND
1,INDI
0,INF8
1,INFX
1,INN
1,INPAY
0,INS
1,INSANE
1,INSN
1,INV
1,INXT
1,IOC
1,ION
1,IOP
1,IOT
1,IOU
1,IPC
1,ISL
0,ITNS
1,ITT
1,IVZ
1,IW
1,IWT
1,IXC
1,IXT
1,J
1,JANE
1,JBS
0,JCR
0,JDC
1,JIF
1,JIO
1,JKC
1,JNS
1,JNT
1,JOBS
1,JOK
0,JPC
1,JPC*
1,JUDGE
0,JVY
1,JWL
0,KAPU
1,KARM
1,KAT
1,KAYI
1,KC
0,KCN
1,KCS
1,KDC
1,KED
1,KEK
0,KEX
1,KEY
0,KEY*
1,KGC
1,KICK
1,KIN
1,KING
1,KLC
0,KLK
1,KMD
1,KNC
1,KNC*
0,KNC**
1,KOBO
1,KOLION
1,KORE
1,KR
1,KRAK
1,KRB
1,KRC
1,KRONE
1,KTK
1,KUBO
1,KURT
1,KUSH
1,LA
1,LAB
0,LAB*
1,LANA
1,LAT
1,LAZ
1,LBC
1,LBTC
1,LC
0,LCASH
1,LDM
1,LDOGE
1,LEA
1,LEMON
1,LEND
1,LENIN
1,LEO
1,LEPEN
1,LEV
1,LFC
1,LGBTQ
1,LGD
0,LGD*
1,LIFE
1,LIMX
1,LINDA
1,LINK
1,LINX
1,LIR
1,LIV
1,LK7
1,LKK
1,LKY
1,LMC
1,LNK
0,LOAN*
1,LOC
0,LOC*
0,LOCI
1,LOG
1,LOOK
1,LQD
1,LRC
1,LSD
1,LSK
0,LTA
1,LTB
1,LTBC
1,LTC
1,LTCD
1,LTCR
1,LTCU
1,LTCX
1,LTD
1,LTG
1,LTH
1,LTS
1,LUCKY
1,LUN
1,LUX
1,LUX*
0,LUX**
1,LVG
1,LXC
1,LYB
1,LYC
1,M1
1,MAC
1,MAD
0,MAG
0,MAG*
1,MAID
1,MAN
1,MANA
1,MAPC
1,MAR
1,MARS
1,MARV
1,MARX
1,MARYJ
0,MASS
0,MAT
1,MAT*
1,MAX
1,MAY
1,MBI
1,MBIT
1,MBRS
0,MBT
0,MC
1,MCAP
1,MCAR
1,MCI
1,MCN
1,MCO
1,MCRN
1,MDA
1,MDC
0,MDC*
0,MDL
1,MDT
1,MEC
1,MED
0,MED*
1,MEDI
1,MEGA
1,MEME
1,MEOW
1,MER
1,MET
1,METAL
1,MG
1,MGO
1,MI
1,MIL
1,MILO
1,MIN
1,MINE
1,MINEX
1,MINT
1,MIS
0,MIV
1,MKR
1,MLITE
1,MLN
1,MLS
1,MM
1,MMC
1,MMNXT
1,MMXIV
1,MMXVI
1,MN
1,MNC
1,MND
1,MNE
1,MNM
0,MNT
0,MNT*
1,MNX
1,MNY
0,MNZ
0,MOBI
1,MOD
1,MOIN
1,MOJO
1,MONA
1,MONETA
1,MONEY
1,MOON
1,MOOND
1,MOTO
1,MPRO
1,MRP
1,MRS
1,MRSA
1,MRT
1,MRV
1,MRY
1,MSC
1,MSP
0,MSR
1,MST
1,MT
1,MTH
0,MTK
1,MTL
0,MTLM3
0,MTN
1,MTR
0,MTRC
1,MTX
1,MUDRA
1,MUE
1,MUSIC
0,MUT
1,MUU
1,MWC
1,MXT
1,MYB
1,MYC
1,MYST
1,MYST*
1,MZC
1,N7
1,NAMO
1,NAN
1,NANAS
1,NAS2
1,NAUT
1,NAV
1,NBIT
1,NBL
1,NBT
1,NDC
1,NDOGE
1,NEBL
1,NEBU
1,NEC
1,NEF
1,NEO
1,NEOG
1,NEOS
1,NET
1,NET*
1,NETC
1,NETKO
1,NEU
0,NEU*
1,NEVA
1,NEWB
1,NGC
1,NIC
1,NICE
1,NIMFA
1,NIO
1,NKA
1,NKC
1,NKT
1,NLC
1,NLC2
1,NLG
1,NMB
1,NMC
1,NMR
1,NOBL
1,NODE
1,NOO
1,NOTE
1,NPC
0,NPX
1,NRB
1,NRC
0,NRN
0,NRO
1,NRS
1,NSR
1,NTC
1,NTCC
0,NTK
1,NTM
1,NTO
1,NTRN
1,NUBIS
1,NUKE
1,NULS
1,NUM
1,NVC
0,NVST
1,NXC
1,NXE
1,NXS
1,NXT
1,NXTI
1,NXTTY
1,NYAN
1,NYC
1,NZC
1,OAX
1,OBITS
1,OBS
1,OC
1,OCL
1,OCTO
0,ODMC
1,ODN
1,ODNT
1,OK
1,OLDSF
0,OLV
1,OLYMP
1,OMA
1,OMC
1,OMG
1,OMNI
1,ONG
1,ONION
1,ONX
1,OPAL
1,OPES
0,OPP
1,OPT
1,OPTION
1,ORB
1,ORLY
1,ORME
1,ORO
0,OROC
1,OS76
1,OSC
0,OST
1,OTN
1,OTX
1,OXY
1,PAC
1,PAK
1,PARA
1,PART
1,PASC
1,PASL
1,PAY
1,PAYP
1,PBC
1,PBL
1,PBT
1,PCM
0,PCN
1,PCS
1,PDC
1,PEC
1,PEN
1,PEPECASH
1,PEX
1,PFR
1,PGL
1,PHR
0,PHR*
1,PHS
1,PIE
1,PIGGY
1,PING
1,PINK
1,PINKX
1,PIO
1,PIRL
1,PIVX
1,PIX
1,PIZZA
1,PKB
1,PKT
1,PLANET
1,PLAY
1,PLBT
0,PLM
1,PLNC
1,PLR
1,PLU
1,PLX
1,PNC
1,PND
1,PNK
1,POE
1,POINTS
1,POLL
1,POLY
1,POS
1,POST
1,POSW
1,POT
1,POWR
1,PPC
1,PPP
1,PPT
1,PPY
1,PQT
1,PRC
1,PRE
0,PRE*
1,PRES
1,PRG
1,PRIME
1,PRIX
1,PRL
1,PRM
1,PRO
1,PROC
0,PRP
1,PRX
1,PSB
1,PSEUD
1,PSI
1,PST
1,PSY
1,PTA
1,PTC
0,PTC*
1,PTOY
1,PTS*
1,PULSE
1,PUPA
1,PURA
1,PURE
1,PUT
1,PWR
1,PX
1,PXC
1,PXI
1,PXL
1,PYC
0,PYN
0,PYP
0,PZM
1,QASH
1,QAU
1,QBC
1,QBK
1,QBT
1,QCN
1,QORA
1,QRK
1,QRL
1,QSLV
1,QSP
1,QTL
1,QTUM
1,QTZ
1,QVT
1,QWARK
1,R
1,RADI
1,RADS
1,RAIN
1,RATIO
1,RBIES
1,RBIT
1,RBR
1,RBT
0,RBTC
1,RBX
1,RBY
1,RC
1,RCC
1,RCN
1,RCN*
1,RCX
1,RDD
1,RDN
1,RDN*
