Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
,15.0,1988,400.0,1.0,CryptoCompare,cryptocompare,007,5294,2017-12-30 17:56:42.531253
19.0,90.0,8068,3165.0,29.0,CryptoCompare,cryptocompare,1337,20824,2017-12-30 17:55:52.932126
,17.0,2772,525.0,4.0,CryptoCompare,cryptocompare,1CR,5406,2017-12-30 17:56:46.417174
15.0,261.0,25740,7650.0,39.0,CryptoCompare,cryptocompare,1ST,28328,2017-12-30 17:56:07.161624
,3.0,1100,75.0,,CryptoCompare,cryptocompare,2015,3744,2017-12-30 17:56:25.085804
,6.0,677,150.0,,CryptoCompare,cryptocompare,2BACCO,30912,2017-12-30 17:56:12.318626
8.0,45.0,4678,1430.0,9.0,CryptoCompare,cryptocompare,2GIVE,20910,2017-12-30 17:55:52.512955
,9.0,913,225.0,,CryptoCompare,cryptocompare,32BIT,30428,2017-12-30 17:56:12.399513
,6.0,811,175.0,1.0,CryptoCompare,cryptocompare,365,33639,2017-12-30 17:56:18.814146
,8.0,795,200.0,,CryptoCompare,cryptocompare,3DES,304693,2017-12-30 17:56:11.686206
,8.0,1238,200.0,,CryptoCompare,cryptocompare,404,21227,2017-12-30 17:55:53.725657
3.0,48.0,10363,1380.0,6.0,CryptoCompare,cryptocompare,42,4321,2017-12-30 17:56:30.554842
,5.0,829,200.0,3.0,CryptoCompare,cryptocompare,4CHN,175683,2017-12-30 17:55:43.587431
4.0,14.0,1939,440.0,2.0,CryptoCompare,cryptocompare,611,20909,2017-12-30 17:55:53.382364
3.0,22.0,2628,655.0,3.0,CryptoCompare,cryptocompare,808,28223,2017-12-30 17:56:06.327270
,12.0,842,300.0,,CryptoCompare,cryptocompare,888,29462,2017-12-30 17:56:08.842018
2.0,23.0,7146,720.0,5.0,CryptoCompare,cryptocompare,8BIT,5327,2017-12-30 17:56:43.092977
,26.0,3244,725.0,3.0,CryptoCompare,cryptocompare,8BT,177124,2017-12-30 17:55:44.547895
6.0,12.0,2047,535.0,7.0,CryptoCompare,cryptocompare,8S,310852,2017-12-30 17:56:12.439405
,22.0,2120,625.0,3.0,CryptoCompare,cryptocompare,ABC,303943,2017-12-30 17:56:12.301106
,58.0,2117,1525.0,3.0,CryptoCompare,cryptocompare,ABT,394056,2017-12-30 17:56:25.678165
8.0,104.0,10547,3305.0,25.0,CryptoCompare,cryptocompare,ABY,5338,2017-12-30 17:56:43.522283
,34.0,2508,875.0,1.0,CryptoCompare,cryptocompare,ABYSS,419711,2017-12-30 17:56:28.575940
1.0,34.0,5501,910.0,2.0,CryptoCompare,cryptocompare,AC,4322,2017-12-30 17:56:29.991947
,2.0,183,50.0,,CryptoCompare,cryptocompare,AC3,517389,2017-12-30 17:56:40.257829
3.0,37.0,10541,1155.0,8.0,CryptoCompare,cryptocompare,ACC,249821,2017-12-30 17:56:02.430664
5.0,34.0,2422,1000.0,4.0,CryptoCompare,cryptocompare,ACE,294364,2017-12-30 17:56:08.869078
,51.0,1667,1300.0,1.0,CryptoCompare,cryptocompare,ACES,45617,2017-12-30 17:56:37.732069
,10.0,720,275.0,1.0,CryptoCompare,cryptocompare,ACID,39700,2017-12-30 17:56:26.013893
6.0,25.0,6838,885.0,8.0,CryptoCompare,cryptocompare,ACN,35949,2017-12-30 17:56:19.842090
,23.0,3019,600.0,1.0,CryptoCompare,cryptocompare,ACOIN,4323,2017-12-30 17:56:30.820560
,28.0,3637,725.0,1.0,CryptoCompare,cryptocompare,ACP,6476,2017-12-30 17:56:49.449111
,21.0,3322,525.0,0.0,CryptoCompare,cryptocompare,ACT,177157,2017-12-30 17:55:45.092651
,4.0,145,100.0,0.0,CryptoCompare,cryptocompare,ACT*,446372,2017-12-30 17:56:33.421264
953.0,2816.0,308993,95880.0,638.0,CryptoCompare,cryptocompare,ADA,321992,2017-12-30 17:56:12.928323
1.0,12.0,944,360.0,2.0,CryptoCompare,cryptocompare,ADB,468052,2017-12-30 17:56:38.451470
3.0,50.0,3116,1405.0,5.0,CryptoCompare,cryptocompare,ADC,6108,2017-12-30 17:56:48.286108
5.0,56.0,10176,1925.0,19.0,CryptoCompare,cryptocompare,ADCN,20907,2017-12-30 17:55:52.802179
,26.0,1404,975.0,13.0,CryptoCompare,cryptocompare,ADL,127738,2017-12-30 17:55:42.000979
,5.0,363,125.0,,CryptoCompare,cryptocompare,ADN,21007,2017-12-30 17:55:52.619720
,24.0,2634,600.0,,CryptoCompare,cryptocompare,ADST,194530,2017-12-30 17:55:46.475630
,60.0,8939,5050.0,142.0,CryptoCompare,cryptocompare,ADT,188858,2017-12-30 17:55:45.974482
84.0,599.0,77562,18190.0,95.0,CryptoCompare,cryptocompare,ADX,170452,2017-12-30 17:55:44.349818
