closed_issues,closed_pull_issues,closed_total_issues,created_at,fork,forks,language,last_push,last_update,open_issues,open_pull_issues,open_total_issues,parent,size,socialsource,source,stars,subscribers,symbol,symbol_id,timestamp_api_call,url
1.0,8.0,9.0,1452275287.0,false,12.0,C++,1510826627.0,1506638454.0,2.0,0.0,2,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",4848,CodeRepository,cryptocompare,4.0,7.0,1337,20824,2017-12-30 17:55:52.896727,https://github.com/Velvet78/1337
5.0,4.0,9.0,1471802439.0,false,25.0,JavaScript,1503610583.0,1514542086.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",708,CodeRepository,cryptocompare,80.0,8.0,1ST,28328,2017-12-30 17:56:07.081858,https://github.com/Firstbloodio/token
0.0,0.0,0.0,1435808879.0,true,0.0,C++,1435677436.0,1435808882.0,0.0,0.0,0,"{u'Url': u'https://github.com/marcetin/2bacco', u'Name': u'2bacco', u'InternalId': -1}",3663,CodeRepository,cryptocompare,0.0,1.0,2BACCO,30912,2017-12-30 17:56:12.274819,https://github.com/2bacco/2bacco
0.0,0.0,0.0,1478082180.0,false,0.0,C++,1478082241.0,1478082244.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1632,CodeRepository,cryptocompare,0.0,0.0,365,33639,2017-12-30 17:56:18.752736,https://github.com/365coindev/365
0.0,0.0,0.0,1465297909.0,false,0.0,C++,1465298090.0,1465298093.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1956,CodeRepository,cryptocompare,0.0,1.0,404,21227,2017-12-30 17:55:53.669082,https://github.com/404c/404
0.0,0.0,0.0,1509882667.0,true,3.0,C++,1514240874.0,1512769701.0,0.0,0.0,0,"{u'Url': u'https://github.com/bitcoin/bitcoin', u'Name': u'bitcoin', u'InternalId': 1182, u'InternalData': {u'Name': u'Bitcoin', u'Url': u'/coins/btc/', u'Symbol': u'BTC', u'Id': 1182, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/19633/btc.png'}}",13152,CodeRepository,cryptocompare,4.0,5.0,42,4321,2017-12-30 17:56:30.501693,https://github.com/42-coin/42
2.0,0.0,2.0,1498385150.0,false,4.0,C++,1499188534.0,1512436367.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",76140,CodeRepository,cryptocompare,6.0,5.0,4CHN,175683,2017-12-30 17:55:43.510264,https://github.com/CHANCOIN/CHANCOIN
2.0,0.0,2.0,1442442561.0,true,4.0,C++,1509296961.0,1497704312.0,1.0,0.0,1,"{u'Url': u'https://github.com/namecoin/namecoin-legacy', u'Name': u'namecoin-legacy', u'InternalId': -1}",10165,CodeRepository,cryptocompare,2.0,3.0,611,20909,2017-12-30 17:55:53.303555,https://github.com/fflo/sixeleven
0.0,0.0,0.0,1467235508.0,false,1.0,C++,1474054595.0,1483590807.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5311,CodeRepository,cryptocompare,1.0,1.0,808,28223,2017-12-30 17:56:06.323531,https://github.com/MrEggman/808
0.0,6.0,6.0,1442110876.0,true,1.0,C++,1460911975.0,1456542196.0,0.0,0.0,0,"{u'Url': u'https://github.com/litecoin-project/litecoin', u'Name': u'litecoin', u'InternalId': -1}",44026,CodeRepository,cryptocompare,0.0,2.0,888,29462,2017-12-30 17:56:08.758970,https://github.com/octocoin-project/octocoin
