Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
23088,False,2788.0,https://www.facebook.com/adbanknetwork/,adbank,Facebook,cryptocompare,ADB,468052,2030.0,2017-12-30 17:56:38.576274
0,,,,,Facebook,cryptocompare,ADC,6108,,2017-12-30 17:56:48.476430
0,,,,,Facebook,cryptocompare,ADCN,20907,,2017-12-30 17:55:52.840151
0,,,,,Facebook,cryptocompare,ADL,127738,,2017-12-30 17:55:42.144170
0,,,,,Facebook,cryptocompare,ADN,21007,,2017-12-30 17:55:52.646337
176,False,136.0,https://www.facebook.com/adshares/,Adshares,Facebook,cryptocompare,ADST,194530,4.0,2017-12-30 17:55:46.529587
0,,,,,Facebook,cryptocompare,ADT,188858,,2017-12-30 17:55:46.002669
6093,False,4253.0,https://www.facebook.com/AdExNetwork/,AdEx Network,Facebook,cryptocompare,ADX,170452,184.0,2017-12-30 17:55:44.430126
1145,False,975.0,https://www.facebook.com/HempCoinOfficial/,HempCoin,Facebook,cryptocompare,ADZ,20656,17.0,2017-12-30 17:55:51.082002
2378,False,1688.0,https://www.facebook.com/aeternityproject/,æternity,Facebook,cryptocompare,AE,190978,69.0,2017-12-30 17:55:46.458137
0,,,,,Facebook,cryptocompare,AEC,20986,,2017-12-30 17:55:52.825400
0,,,,,Facebook,cryptocompare,AEON,20730,,2017-12-30 17:55:51.458233
0,,,,,Facebook,cryptocompare,AERM,411647,,2017-12-30 17:56:27.820341
0,,,,,Facebook,cryptocompare,AERO,4324,,2017-12-30 17:56:30.192409
0,,,,,Facebook,cryptocompare,AGRS,191142,,2017-12-30 17:55:46.567839
0,,,,,Facebook,cryptocompare,AGS,4326,,2017-12-30 17:56:30.317936
291,False,291.0,https://www.facebook.com/elementhblockchain/,Ahoolee,Facebook,cryptocompare,AHT,175611,0.0,2017-12-30 17:55:45.269149
1293,False,1093.0,https://www.facebook.com/bowheadhealth/,Bowhead Health,Facebook,cryptocompare,AHT*,186064,20.0,2017-12-30 17:55:45.788994
0,,,,,Facebook,cryptocompare,AIB,20806,,2017-12-30 17:55:52.534666
18771,False,18031.0,https://www.facebook.com/AidCoinCo/,AidCoin,Facebook,cryptocompare,AID,368770,74.0,2017-12-30 17:56:22.524969
1487,False,567.0,https://www.facebook.com/AionBlockchain/,Aion Network,Facebook,cryptocompare,AION,431235,92.0,2017-12-30 17:56:29.571155
0,,,,,Facebook,cryptocompare,AIR,338555,,2017-12-30 17:56:18.082006
0,,,,,Facebook,cryptocompare,AIR*,30182,,2017-12-30 17:56:11.687136
0,,,,,Facebook,cryptocompare,ALC,33401,,2017-12-30 17:56:16.479588
