CoinName,PreMinedValue,Name,Algorithm,FullyPremined,Url,ImageUrl,Id,ProofType,Sponsored,SortOrder,TotalCoinSupply,FullName,TotalCoinsFreeFloat,Symbol,source,timestamp_api_call
Subscriptio,,SUB*,PoS,0,/coins/substar/overview,/media/1383362/sub.png,100944,PoS,False,1232,10000000,Subscriptio (SUB*),,SUB*,cryptocompare,2017-12-30 17:32:32.509228
Ultimate Secure Cash,,USC,SHA256,0,/coins/usc/overview,/media/1383363/usc.png,100954,PoS,False,1233,200084200,Ultimate Secure Cash (USC),,USC,cryptocompare,2017-12-30 17:32:32.509228
DuxCoin,,DUX,Scrypt,0,/coins/dux/overview,/media/1383364/dux.png,105206,PoW/PoS,False,1234,1680000000,DuxCoin (DUX),,DUX,cryptocompare,2017-12-30 17:32:32.509228
PoisonIvyCoin,,XPS,Scrypt,0,/coins/xps/overview,/media/1383365/xps.png,105220,PoW/PoS,False,1235,4666666667,PoisonIvyCoin (XPS),,XPS,cryptocompare,2017-12-30 17:32:32.509228
EquiTrader,,EQT,Scrypt,0,/coins/eqt/overview,/media/1383366/eqt.png,105263,PoW,False,1236,72000000,EquiTrader (EQT),,EQT,cryptocompare,2017-12-30 17:32:32.509228
Insane Coin,,INSN,X11,0,/coins/insn/overview,/media/1383366/insn.png,105284,PoW/PoS,False,1237,30000000,Insane Coin (INSN),,INSN,cryptocompare,2017-12-30 17:32:32.509228
Basic Attention Token,,BAT,,0,/coins/bat/overview,/media/1383370/bat.png,107672,,False,1238,1500000000,Basic Attention Token (BAT),,BAT,cryptocompare,2017-12-30 17:32:32.509228
Manet Coin,,MAT*,Scrypt,0,/coins/matstar/overview,/media/1383371/mat.png,108094,PoW/PoS,False,1239,215000000,Manet Coin (MAT*),,MAT*,cryptocompare,2017-12-30 17:32:32.509228
F16Coin,,F16,Scrypt,0,/coins/f16/overview,/media/1383372/f16.png,108099,PoW/PoS,False,1240,,F16Coin (F16),,F16,cryptocompare,2017-12-30 17:32:32.509228
HamsterCoin,,HAMS,Scrypt,0,/coins/hams/overview,/media/1383381/hams.png,112363,PoW,False,1241,20000000,HamsterCoin (HAMS),,HAMS,cryptocompare,2017-12-30 17:32:32.509228
QTUM,,QTUM,POS 3.0,0,/coins/qtum/overview,/media/1383382/qtum.png,112392,PoS,False,1242,100000000,QTUM (QTUM),,QTUM,cryptocompare,2017-12-30 17:32:32.509228
NefariousCoin,,NEF,Scrypt,0,/coins/nef/overview,/media/1383383/nef.png,112405,PoW/PoS,False,1243,4835000000,NefariousCoin (NEF),,NEF,cryptocompare,2017-12-30 17:32:32.509228
ZenCash,,ZEN,Equihash,0,/coins/zen/overview,/media/1383502/zen.png,116180,PoW,False,1244,21000000,ZenCash (ZEN),,ZEN,cryptocompare,2017-12-30 17:32:32.509228
BOScoin,,BOS,,0,/coins/bos/overview,/media/1383521/bos.png,116384,mFBA,False,1245,500000000,BOScoin (BOS),,BOS,cryptocompare,2017-12-30 17:32:32.509228
Qwark,,QWARK,,0,/coins/qwark/overview,/media/1383522/qwark.png,116425,,False,1246,250377576,Qwark (QWARK),,QWARK,cryptocompare,2017-12-30 17:32:32.509228
Bitcoin,,BTC,SHA256,0,/coins/btc/overview,/media/19633/btc.png,1182,PoW,False,1,21000000,Bitcoin (BTC),,BTC,cryptocompare,2017-12-30 17:32:32.509228
Nxt,,NXT,PoS,1,/coins/nxt/overview,/media/20627/nxt.png,1183,PoS/LPoS,False,6,1000000000,Nxt (NXT),,NXT,cryptocompare,2017-12-30 17:32:32.509228
Diggits,,DIGS,Scrypt,1,/coins/digs/overview,/media/20706/digs.png,12192,PoS,False,464,100000000,Diggits (DIGS),,DIGS,cryptocompare,2017-12-30 17:32:32.509228
Expanse,,EXP,Ethash,0,/coins/exp/overview,/media/20707/exp.png,12194,PoW,False,465,16906397,Expanse (EXP),,EXP,cryptocompare,2017-12-30 17:32:32.509228
Global Currency Reserve,,GCR,,0,/coins/gcr/overview,/media/20708/gcr.png,12217,PoS,False,466,0,Global Currency Reserve (GCR),,GCR,cryptocompare,2017-12-30 17:32:32.509228
MapCoin,,MAPC,X11,0,/coins/mapc/overview,/media/20710/mapc.png,12223,PoS,False,467,2228921.184,MapCoin (MAPC),,MAPC,cryptocompare,2017-12-30 17:32:32.509228
XiaoMiCoin,,MI,Scrypt,0,/coins/mi/overview,/media/20711/mi.png,12225,PoW/PoS,False,468,400000000,XiaoMiCoin (MI),,MI,cryptocompare,2017-12-30 17:32:32.509228
IOTA,,IOT,,1,/coins/iot/overview,/media/1383540/iota_logo.png,127356,Tangle,False,1247,2779530283,IOTA (IOT),,IOT,cryptocompare,2017-12-30 17:32:32.509228
Quantum Resistant Ledger,,QRL,,0,/coins/qrl/overview,/media/1383543/qrl.png,127667,PoS,False,1248,65000000,Quantum Resistant Ledger (QRL),,QRL,cryptocompare,2017-12-30 17:32:32.509228
Adelphoi,,ADL,,0,/coins/adl/overview,/media/1383544/adl.png,127738,,False,1249,100000000,Adelphoi (ADL),,ADL,cryptocompare,2017-12-30 17:32:32.509228
