Sequence,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,ETH,BTC,742914.424922,35517.1545599,cryptocompare,2017-12-27 19:02:24.795201
1,CCCAGG,ETH,CAD,2859.02594871,2728241.42888,cryptocompare,2017-12-27 19:01:38.404419
2,CCCAGG,ETH,THB,2525.0476113,67343894.5429,cryptocompare,2017-12-27 19:01:38.404419
3,CCCAGG,ETH,PLN,2040.39526667,5598551.00597,cryptocompare,2017-12-27 19:01:38.404419
4,CCCAGG,ETH,MXN,1399.75986697,22034438.1713,cryptocompare,2017-12-27 19:01:38.404419
5,CCCAGG,ETH,LTC,672.90442646,1836.77835576,cryptocompare,2017-12-27 19:01:38.404419
6,CCCAGG,ETH,GBP,507.53473819,297888.667848,cryptocompare,2017-12-27 19:01:38.404419
7,CCCAGG,ETH,RUR,412.71295524,19507459.3693,cryptocompare,2017-12-27 19:01:38.404419
8,CCCAGG,ETH,RUB,404.53755779,18128007.4267,cryptocompare,2017-12-27 19:01:38.404419
9,CCCAGG,ETH,UAH,361.10744314,7461694.6401,cryptocompare,2017-12-27 19:01:38.404419
10,CCCAGG,ETH,SGD,303.28441382,310040.372701,cryptocompare,2017-12-27 19:01:38.404419
11,CCCAGG,ETH,INR,218.73758816,12254288.05,cryptocompare,2017-12-27 19:01:38.404419
12,CCCAGG,ETH,MYR,181.46096792,591656.94,cryptocompare,2017-12-27 19:01:38.404419
13,CCCAGG,ETH,WAVES,119.01058165,6472.30399733,cryptocompare,2017-12-27 19:01:38.404419
14,CCCAGG,ETH,CHF,111.32862,81376.6671365,cryptocompare,2017-12-27 19:01:38.404419
15,CCCAGG,ETH,RUB,404.05675412,18106498.9729,cryptocompare,2017-12-27 18:56:14.875596
16,CCCAGG,ETH,UAH,359.70344314,7432374.9081,cryptocompare,2017-12-27 18:56:14.875596
17,CCCAGG,ETH,SGD,303.28441382,310040.372701,cryptocompare,2017-12-27 18:56:14.875596
18,CCCAGG,ETH,WEUR,11.59753217,7325.94276541,cryptocompare,2017-12-27 19:00:10.077791
19,CCCAGG,ETH,PKR,3.7608428,378763.58,cryptocompare,2017-12-27 19:00:10.077791
20,CCCAGG,ETH,TZS,1.7211156,3064572.0,cryptocompare,2017-12-27 19:00:10.077791
21,CCCAGG,ETH,KES,0.41276261,36907.94,cryptocompare,2017-12-27 19:00:10.077791
22,CCCAGG,ETH,UAH,361.10744314,7461694.6401,cryptocompare,2017-12-27 19:00:10.077791
23,CCCAGG,ETH,RUR,412.71295524,19507459.3693,cryptocompare,2017-12-27 19:00:10.077791
24,CCCAGG,ETH,HSR,3327.751,127910.220311,cryptocompare,2017-12-27 19:01:38.404419
25,CCCAGG,ETH,ETH,0.1655,0.161285800165,cryptocompare,2017-12-27 18:56:14.875596
26,CCCAGG,ETH,USD,461769.324606,342155604.344,cryptocompare,2017-12-27 19:00:10.077791
27,CCCAGG,ETH,KRW,136059.96923,1.41209866421e+11,cryptocompare,2017-12-27 19:00:10.077791
28,CCCAGG,ETH,USDT,107983.240921,80269512.2934,cryptocompare,2017-12-27 19:00:10.077791
29,CCCAGG,ETH,EUR,69680.7512461,43457852.4694,cryptocompare,2017-12-27 19:00:10.077791
30,CCCAGG,ETH,VND,15978.3255965,2.73868359487e+11,cryptocompare,2017-12-27 19:00:10.077791
31,CCCAGG,ETH,KES,0.41276261,36907.94,cryptocompare,2017-12-27 18:56:14.875596
32,CCCAGG,ETH,JPY,7883.0730204,679314373.432,cryptocompare,2017-12-27 19:00:10.077791
33,CCCAGG,ETH,AUD,3804.63186704,3887104.3202,cryptocompare,2017-12-27 19:01:38.404419
34,CCCAGG,ETH,JPY,7883.0730204,679314373.432,cryptocompare,2017-12-27 19:01:38.404419
35,CCCAGG,ETH,AIC,12855.6623364,10509551.1523,cryptocompare,2017-12-27 19:01:38.404419
36,CCCAGG,ETH,JPY,7866.3294204,677903830.306,cryptocompare,2017-12-27 18:56:14.875596
37,CCCAGG,ETH,AIC,12852.6063416,10507087.3567,cryptocompare,2017-12-27 18:56:14.875596
38,CCCAGG,ETH,VND,15970.9760382,2.7374275006e+11,cryptocompare,2017-12-27 18:56:14.875596
39,CCCAGG,ETH,EUR,69649.2556217,43438309.9374,cryptocompare,2017-12-27 18:56:14.875596
40,CCCAGG,ETH,USDT,107642.962131,80018317.5346,cryptocompare,2017-12-27 18:56:14.875596
41,CCCAGG,ETH,BTC,765541.693569,36596.2903847,cryptocompare,2017-12-27 19:00:10.077791
42,CCCAGG,ETH,AUD,3786.22328112,3868677.61542,cryptocompare,2017-12-27 18:56:14.875596
43,CCCAGG,ETH,BCH,2e-05,4.004e-06,cryptocompare,2017-12-27 19:01:38.404419
44,CCCAGG,ETH,KES,0.41276261,36907.94,cryptocompare,2017-12-27 19:01:38.404419
45,CCCAGG,ETH,TZS,1.7211156,3064572.0,cryptocompare,2017-12-27 19:01:38.404419
46,CCCAGG,ETH,PKR,3.7608428,378763.58,cryptocompare,2017-12-27 19:01:38.404419
47,CCCAGG,ETH,WEUR,11.59753217,7325.94276541,cryptocompare,2017-12-27 19:01:38.404419
48,CCCAGG,ETH,LKK,14.751168,56458.9530023,cryptocompare,2017-12-27 19:01:38.404419
49,CCCAGG,ETH,NGN,27.72426646,7814716.13,cryptocompare,2017-12-27 19:01:38.404419
50,CCCAGG,ETH,ETH,0.1655,0.161285800165,cryptocompare,2017-12-27 19:01:38.404419
51,CCCAGG,ETH,LKK,14.751168,56458.9530023,cryptocompare,2017-12-27 19:00:10.077791
52,CCCAGG,ETH,HSR,3327.751,127910.220311,cryptocompare,2017-12-27 18:56:14.875596
53,CCCAGG,ETH,THB,2522.31020402,67271036.4532,cryptocompare,2017-12-27 18:56:14.875596
54,CCCAGG,ETH,VND,15978.3255965,2.73868359487e+11,cryptocompare,2017-12-27 19:01:38.404419
55,CCCAGG,ETH,EUR,69680.7512461,43457852.4694,cryptocompare,2017-12-27 19:01:38.404419
56,CCCAGG,ETH,USDT,107983.240921,80269512.2934,cryptocompare,2017-12-27 19:01:38.404419
