Sequence,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,BTC,USD,135171.529741,2103254225.32,cryptocompare,2017-12-27 19:02:22.364923
1,CCCAGG,BTC,VEF,34.95967574,56180933935.2,cryptocompare,2017-12-27 19:01:35.025471
2,CCCAGG,BTC,GOLD,32.9788198745,11857.279,cryptocompare,2017-12-27 19:01:35.025471
3,CCCAGG,BTC,NOK,30.25234404,3708967.89644,cryptocompare,2017-12-27 19:01:35.025471
4,CCCAGG,BTC,AED,18.83502932,1113104.22912,cryptocompare,2017-12-27 19:01:35.025471
5,CCCAGG,BTC,NZD,15.77978558,403533.65988,cryptocompare,2017-12-27 19:01:35.025471
6,CCCAGG,BTC,COP,15.23791579,693745491.733,cryptocompare,2017-12-27 19:01:35.025471
7,CCCAGG,BTC,SEK,13.63988192,1760389.90721,cryptocompare,2017-12-27 19:01:35.025471
8,CCCAGG,BTC,PKR,13.39015222,25852511.9089,cryptocompare,2017-12-27 19:01:35.025471
9,CCCAGG,BTC,NZDT,12.52810966,300647.237968,cryptocompare,2017-12-27 19:01:35.025471
10,CCCAGG,BTC,CHF,9.88203871,147612.405712,cryptocompare,2017-12-27 19:01:35.025471
11,CCCAGG,BTC,WUSD,6.07546336,82508.7771757,cryptocompare,2017-12-27 19:01:35.025471
12,CCCAGG,BTC,IRR,5.82888559,4223261815.45,cryptocompare,2017-12-27 19:01:35.025471
13,CCCAGG,BTC,KES,5.29650243,9371794.61813,cryptocompare,2017-12-27 19:01:35.025471
14,CCCAGG,BTC,RUR,93.56698708,93218034.5211,cryptocompare,2017-12-27 19:01:35.025471
15,CCCAGG,BTC,MYR,147.81391325,10230965.0582,cryptocompare,2017-12-27 19:01:35.025471
16,CCCAGG,BTC,CNY,206.18941511,23582381.4584,cryptocompare,2017-12-27 19:01:35.025471
17,CCCAGG,BTC,IDR,329.342515,70143223637.1,cryptocompare,2017-12-27 19:01:35.025471
18,CCCAGG,BTC,JPY,128230.160049,2.75849900564e+11,cryptocompare,2017-12-27 19:01:35.025471
19,CCCAGG,BTC,USDT,27511.0774397,425616927.101,cryptocompare,2017-12-27 19:01:35.025471
20,CCCAGG,BTC,KRW,23882.8342763,5.19781566384e+11,cryptocompare,2017-12-27 19:01:35.025471
21,CCCAGG,BTC,EUR,21500.6106036,281667209.731,cryptocompare,2017-12-27 19:01:35.025471
22,CCCAGG,BTC,VND,8112.14084215,2.86561073638e+12,cryptocompare,2017-12-27 19:01:35.025471
23,CCCAGG,BTC,AIC,7442.08987696,126569098.176,cryptocompare,2017-12-27 19:01:35.025471
24,CCCAGG,BTC,UAH,43.96973569,18934697.8508,cryptocompare,2017-12-27 19:01:35.025471
25,CCCAGG,BTC,ILS,55.93758282,3346255.74709,cryptocompare,2017-12-27 19:01:35.025471
26,CCCAGG,BTC,INR,74.00402049,87915975.8108,cryptocompare,2017-12-27 19:01:35.025471
27,CCCAGG,BTC,NGN,79.37956558,474501243.647,cryptocompare,2017-12-27 19:01:35.025471
28,CCCAGG,BTC,JPY,127990.840149,2.75336658473e+11,cryptocompare,2017-12-27 18:56:53.591755
29,CCCAGG,BTC,USDT,27460.5995095,424839471.169,cryptocompare,2017-12-27 18:56:53.591755
30,CCCAGG,BTC,GBP,1339.64512528,15592526.8296,cryptocompare,2017-12-27 19:00:06.669915
31,CCCAGG,BTC,PLN,2184.25192833,124880791.057,cryptocompare,2017-12-27 19:00:06.669915
32,CCCAGG,BTC,AIC,7442.08987696,126569098.176,cryptocompare,2017-12-27 19:00:06.669915
33,CCCAGG,BTC,VND,8112.14084215,2.86561073638e+12,cryptocompare,2017-12-27 19:00:06.669915
34,CCCAGG,BTC,EUR,21500.6106036,281667209.731,cryptocompare,2017-12-27 19:00:06.669915
35,CCCAGG,BTC,KRW,23882.8342763,5.19781566384e+11,cryptocompare,2017-12-27 19:00:06.669915
36,CCCAGG,BTC,USDT,27511.0774397,425616927.101,cryptocompare,2017-12-27 19:00:06.669915
37,CCCAGG,BTC,JPY,128230.160049,2.75849900564e+11,cryptocompare,2017-12-27 19:00:06.669915
38,CCCAGG,BTC,ZAR,805.6965419,182757366.984,cryptocompare,2017-12-27 19:00:06.669915
39,CCCAGG,BTC,PLN,2184.25192833,124880791.057,cryptocompare,2017-12-27 19:01:35.025471
40,CCCAGG,BTC,GOLD,32.9788198745,11857.279,cryptocompare,2017-12-27 19:00:06.669915
41,CCCAGG,BTC,NZD,15.77978558,403533.65988,cryptocompare,2017-12-27 19:00:06.669915
42,CCCAGG,BTC,GBP,1338.23974442,15576024.8741,cryptocompare,2017-12-27 18:56:53.591755
43,CCCAGG,BTC,PLN,2184.25192833,124880791.057,cryptocompare,2017-12-27 18:56:53.591755
