Sequence,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,BCH,BTC,198022.264733,35175.3351646,cryptocompare,2017-12-27 19:02:23.166092
1,CCCAGG,BCH,AUD,566.11551984,2148751.2896,cryptocompare,2017-12-27 19:01:35.831249
2,CCCAGG,BCH,PLN,707.02077452,7156729.60282,cryptocompare,2017-12-27 19:01:35.831249
3,CCCAGG,BCH,JPY,1903.2659647,624468599.41,cryptocompare,2017-12-27 19:01:35.831249
4,CCCAGG,BCH,EUR,3234.02869701,7360895.25276,cryptocompare,2017-12-27 19:01:35.831249
5,CCCAGG,BCH,ETH,4009.55259882,14844.7628208,cryptocompare,2017-12-27 19:01:35.831249
6,CCCAGG,BCH,USDT,12927.4821813,35703661.5481,cryptocompare,2017-12-27 19:01:35.831249
7,CCCAGG,BCH,USD,56105.6271424,153597706.693,cryptocompare,2017-12-27 19:01:35.831249
8,CCCAGG,BCH,KRW,57882.1605627,2.23877696298e+11,cryptocompare,2017-12-27 19:01:35.831249
9,CCCAGG,BCH,BNB,351.62965,98198.6758867,cryptocompare,2017-12-27 18:56:13.277484
10,CCCAGG,BCH,RUB,78.4658173,13033306.4413,cryptocompare,2017-12-27 18:56:13.277484
11,CCCAGG,BCH,GBP,133.98236505,287838.490045,cryptocompare,2017-12-27 19:00:08.468379
12,CCCAGG,BCH,WAVES,44.30114986,8702.00391066,cryptocompare,2017-12-27 19:00:08.468379
13,CCCAGG,BCH,PLN,707.02077452,7156729.60282,cryptocompare,2017-12-27 19:00:08.468379
14,CCCAGG,BCH,AUD,566.11551984,2148751.2896,cryptocompare,2017-12-27 19:00:08.468379
15,CCCAGG,BCH,THB,353.45041218,35531427.4883,cryptocompare,2017-12-27 19:00:08.468379
16,CCCAGG,BCH,NZDT,2.02600769,8666.83034448,cryptocompare,2017-12-27 18:56:13.277484
17,CCCAGG,BCH,BNB,353.38845,98686.7247923,cryptocompare,2017-12-27 19:00:08.468379
18,CCCAGG,BCH,RUB,78.57805435,13051663.2975,cryptocompare,2017-12-27 19:00:08.468379
19,CCCAGG,BCH,KCS,33.91372859,52385.6998333,cryptocompare,2017-12-27 19:00:08.468379
20,CCCAGG,BCH,THB,353.45041218,35531427.4883,cryptocompare,2017-12-27 19:01:35.831249
21,CCCAGG,BCH,WAVES,44.30114986,8702.00391066,cryptocompare,2017-12-27 18:56:13.277484
22,CCCAGG,BCH,BNB,353.38845,98686.7247923,cryptocompare,2017-12-27 19:01:35.831249
23,CCCAGG,BCH,RUB,78.57805435,13051663.2975,cryptocompare,2017-12-27 19:01:35.831249
24,CCCAGG,BCH,SGD,14.1441706,51008.1624002,cryptocompare,2017-12-27 19:01:35.831249
25,CCCAGG,BCH,DOGE,4.57649253,1343864.70575,cryptocompare,2017-12-27 19:01:35.831249
26,CCCAGG,BCH,WEUR,4.32354357,9772.52869084,cryptocompare,2017-12-27 19:01:35.831249
27,CCCAGG,BCH,NZDT,2.02600769,8666.83034448,cryptocompare,2017-12-27 19:01:35.831249
28,CCCAGG,BCH,NEO,1.94699801,82.5140718863,cryptocompare,2017-12-27 19:01:35.831249
29,CCCAGG,BCH,BTC,206837.513967,36775.2662042,cryptocompare,2017-12-27 19:00:08.468379
30,CCCAGG,BCH,USDT,12902.0794154,35635386.5985,cryptocompare,2017-12-27 18:56:13.277484
31,CCCAGG,BCH,GBP,133.98236505,287838.490045,cryptocompare,2017-12-27 18:56:13.277484
32,CCCAGG,BCH,ETH,3999.37965082,14807.5616346,cryptocompare,2017-12-27 18:56:13.277484
33,CCCAGG,BCH,EUR,3232.17695352,7356605.10616,cryptocompare,2017-12-27 18:56:13.277484
34,CCCAGG,BCH,JPY,1892.1574647,620978549.785,cryptocompare,2017-12-27 18:56:13.277484
35,CCCAGG,BCH,PLN,706.83599344,7154915.05165,cryptocompare,2017-12-27 18:56:13.277484
36,CCCAGG,BCH,AUD,565.42859478,2146208.221,cryptocompare,2017-12-27 18:56:13.277484
37,CCCAGG,BCH,THB,353.34129111,35520613.5903,cryptocompare,2017-12-27 18:56:13.277484
38,CCCAGG,BCH,RUR,18.27087875,3229926.54819,cryptocompare,2017-12-27 19:01:35.831249
39,CCCAGG,BCH,LTC,18.51446644,187.64785434,cryptocompare,2017-12-27 19:01:35.831249
40,CCCAGG,BCH,WUSD,30.4928827,72109.7814711,cryptocompare,2017-12-27 19:01:35.831249
41,CCCAGG,BCH,KCS,33.91372859,52385.6998333,cryptocompare,2017-12-27 19:01:35.831249
42,CCCAGG,BCH,WAVES,44.30114986,8702.00391066,cryptocompare,2017-12-27 19:01:35.831249
43,CCCAGG,BCH,GBP,133.98236505,287838.490045,cryptocompare,2017-12-27 19:01:35.831249
44,CCCAGG,BCH,WUSD,30.4928827,72109.7814711,cryptocompare,2017-12-27 19:00:08.468379
45,CCCAGG,BCH,LTC,18.51446644,187.64785434,cryptocompare,2017-12-27 19:00:08.468379
46,CCCAGG,BCH,RUR,18.27087875,3229926.54819,cryptocompare,2017-12-27 19:00:08.468379
47,CCCAGG,BCH,DOGE,4.57649253,1343864.70575,cryptocompare,2017-12-27 19:02:23.166092
48,CCCAGG,BCH,SGD,14.1441706,51008.1624002,cryptocompare,2017-12-27 19:02:23.166092
49,CCCAGG,BCH,RUR,18.27087875,3229926.54819,cryptocompare,2017-12-27 19:02:23.166092
50,CCCAGG,BCH,LTC,18.54883226,187.97700898,cryptocompare,2017-12-27 19:02:23.166092
51,CCCAGG,BCH,WUSD,29.36273421,69598.9021895,cryptocompare,2017-12-27 19:02:23.166092
52,CCCAGG,BCH,KCS,30.52121476,46914.5448892,cryptocompare,2017-12-27 19:02:23.166092
53,CCCAGG,BCH,WAVES,41.81851533,8187.93171758,cryptocompare,2017-12-27 19:02:23.166092
54,CCCAGG,BCH,RUB,78.1186603,12971214.2414,cryptocompare,2017-12-27 19:02:23.166092
55,CCCAGG,BCH,GBP,124.47109746,265916.506154,cryptocompare,2017-12-27 19:02:23.166092
56,CCCAGG,BCH,BNB,339.96364,94719.1828025,cryptocompare,2017-12-27 19:02:23.166092
57,CCCAGG,BCH,THB,347.21038401,34892723.1507,cryptocompare,2017-12-27 19:02:23.166092
58,CCCAGG,BCH,AUD,559.27624741,2122235.35703,cryptocompare,2017-12-27 19:02:23.166092
59,CCCAGG,BCH,PLN,707.01156325,7155006.12635,cryptocompare,2017-12-27 19:02:23.166092
60,CCCAGG,BCH,JPY,1717.8430211,561294613.737,cryptocompare,2017-12-27 19:02:23.166092
61,CCCAGG,BCH,EUR,3225.61816011,7340859.05321,cryptocompare,2017-12-27 19:02:23.166092
62,CCCAGG,BCH,ETH,3949.26699305,14613.91823,cryptocompare,2017-12-27 19:02:23.166092
63,CCCAGG,BCH,USDT,12650.2964273,34902608.8448,cryptocompare,2017-12-27 19:02:23.166092
64,CCCAGG,BCH,USD,55189.9652304,150948180.375,cryptocompare,2017-12-27 19:02:23.166092
65,CCCAGG,BCH,KRW,55892.6505709,2.1602668002e+11,cryptocompare,2017-12-27 19:02:23.166092
66,CCCAGG,BCH,WEUR,4.19290334,9445.93590903,cryptocompare,2017-12-27 19:02:23.166092
67,CCCAGG,BCH,NZDT,2.02600769,8666.83034448,cryptocompare,2017-12-27 19:02:23.166092
68,CCCAGG,BCH,NEO,1.94699801,82.5140718863,cryptocompare,2017-12-27 19:02:23.166092
69,CCCAGG,BCH,BTC,206837.513967,36775.2662042,cryptocompare,2017-12-27 19:01:35.831249
70,CCCAGG,BCH,SGD,14.1441706,51008.1624002,cryptocompare,2017-12-27 19:00:08.468379
71,CCCAGG,BCH,DOGE,4.57649253,1343864.70575,cryptocompare,2017-12-27 19:00:08.468379
