Sequence,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,USD,RUB,504872.618734,29423134.9106,cryptocompare,2017-12-27 19:02:25.579280
1,CCCAGG,USD,RUR,301286.898045,17926107.7384,cryptocompare,2017-12-27 19:01:39.188234
2,CCCAGG,USD,CHF,25974.21,25669.8374959,cryptocompare,2017-12-27 19:01:39.188234
3,CCCAGG,USD,JPY,5984.0247,680171.108228,cryptocompare,2017-12-27 19:01:39.188234
4,CCCAGG,USD,CAD,4848.4147,6145.93492093,cryptocompare,2017-12-27 19:01:39.188234
5,CCCAGG,USD,SGD,2311.8011,3100.45869408,cryptocompare,2017-12-27 19:01:39.188234
6,CCCAGG,USD,RUB,504312.615578,29390816.4684,cryptocompare,2017-12-27 19:00:10.863051
7,CCCAGG,USD,CHF,25974.21,25669.8374959,cryptocompare,2017-12-27 19:00:10.863051
8,CCCAGG,USD,CAD,4848.4147,6145.93492093,cryptocompare,2017-12-27 18:56:15.681505
9,CCCAGG,USD,CAD,4848.4147,6145.93492093,cryptocompare,2017-12-27 19:00:10.863051
10,CCCAGG,USD,RUR,301286.898045,17926107.7384,cryptocompare,2017-12-27 19:00:10.863051
11,CCCAGG,USD,SGD,2311.8011,3100.45869408,cryptocompare,2017-12-27 19:00:10.863051
12,CCCAGG,USD,RUR,301170.007731,17919201.0106,cryptocompare,2017-12-27 18:56:15.681505
13,CCCAGG,USD,CHF,25974.21,25669.8374959,cryptocompare,2017-12-27 18:56:15.681505
14,CCCAGG,USD,JPY,5984.0247,680171.108228,cryptocompare,2017-12-27 18:56:15.681505
15,CCCAGG,USD,RUB,504312.615578,29390816.4684,cryptocompare,2017-12-27 19:01:39.188234
16,CCCAGG,USD,SGD,2306.8755,3093.8396728,cryptocompare,2017-12-27 19:02:25.579280
17,CCCAGG,USD,CAD,4848.4147,6145.93492093,cryptocompare,2017-12-27 19:02:25.579280
18,CCCAGG,USD,JPY,5752.473,653840.082774,cryptocompare,2017-12-27 19:02:25.579280
19,CCCAGG,USD,CHF,25974.21,25669.8374959,cryptocompare,2017-12-27 19:02:25.579280
20,CCCAGG,USD,RUR,297696.057292,17715463.1982,cryptocompare,2017-12-27 19:02:25.579280
21,CCCAGG,USD,RUB,504944.34686,29430323.267,cryptocompare,2017-12-27 18:56:15.681505
22,CCCAGG,USD,SGD,2311.8011,3100.45869408,cryptocompare,2017-12-27 18:56:15.681505
