Id,Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
81,13729.0,11373.0,3422952,592665.0,6842.0,CryptoCompare,cryptocompare,BCH,202330,2017-12-27 19:14:50.548459
82,13728.0,11369.0,3422665,592555.0,6842.0,CryptoCompare,cryptocompare,BCH,202330,2017-12-27 18:32:28.350282
83,13729.0,11375.0,3423169,592715.0,6842.0,CryptoCompare,cryptocompare,BCH,202330,2017-12-27 19:39:01.921716
84,13732.0,11379.0,3424579,592895.0,6844.0,CryptoCompare,cryptocompare,BCH,202330,2017-12-27 21:39:11.395022
85,13727.0,11370.0,3422521,592570.0,6842.0,CryptoCompare,cryptocompare,BCH,202330,2017-12-27 18:13:46.735512
86,13735.0,11387.0,3425274,593125.0,6844.0,CryptoCompare,cryptocompare,BCH,202330,2017-12-27 22:52:10.725544
87,13723.0,11367.0,3421689,592430.0,6841.0,CryptoCompare,cryptocompare,BCH,202330,2017-12-27 16:42:16.174873
88,13722.0,11363.0,3421150,592295.0,6840.0,CryptoCompare,cryptocompare,BCH,202330,2017-12-27 15:53:42.469617
89,10.0,91.0,15714,2825.0,18.0,CryptoCompare,cryptocompare,BOS,116384,2017-12-28 00:02:41.218354
90,10.0,91.0,15711,2825.0,18.0,CryptoCompare,cryptocompare,BOS,116384,2017-12-27 21:23:01.650939
91,10.0,91.0,15713,2825.0,18.0,CryptoCompare,cryptocompare,BOS,116384,2017-12-27 23:18:27.120145
92,59683.0,41988.0,15670098,2389530.0,29720.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 22:03:22.552877
93,59614.0,41948.0,15649612,2387290.0,29698.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 18:32:27.364826
94,59648.0,41976.0,15661959,2388505.0,29705.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 20:42:45.424541
95,59666.0,41980.0,15666317,2389110.0,29718.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 21:23:03.656273
96,59705.0,41997.0,15675792,2390200.0,29729.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 22:52:10.274414
97,59601.0,41961.0,15653874,2387260.0,29689.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 19:38:08.837158
98,59552.0,41927.0,15641362,2385245.0,29662.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 16:42:15.196193
99,59543.0,41918.0,15636835,2384805.0,29657.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 15:53:42.212023
100,59665.0,41988.0,15667831,2389300.0,29718.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 21:39:10.484283
101,59607.0,41944.0,15648373,2386970.0,29692.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 18:13:45.624686
102,59724.0,42006.0,15679404,2390815.0,29737.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 23:18:29.273414
103,59758.0,42011.0,15685221,2391655.0,29752.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-28 00:02:43.198475
104,59628.0,41955.0,15652349,2387730.0,29703.0,CryptoCompare,cryptocompare,BTC,1182,2017-12-27 19:14:50.145113
105,11.0,146.0,14821,4185.0,17.0,CryptoCompare,cryptocompare,CFI,136984,2017-12-27 23:18:57.840594
106,11.0,145.0,14819,4160.0,17.0,CryptoCompare,cryptocompare,CFI,136984,2017-12-27 21:37:04.187758
107,11.0,146.0,14823,4185.0,17.0,CryptoCompare,cryptocompare,CFI,136984,2017-12-28 00:03:12.718511
108,,2.0,427,50.0,,CryptoCompare,cryptocompare,CLV,13074,2017-12-27 21:23:19.063785
109,,8.0,1142,200.0,,CryptoCompare,cryptocompare,CON,12985,2017-12-27 21:23:15.388514
110,307.0,1740.0,233362,51095.0,181.0,CryptoCompare,cryptocompare,CVC,139467,2017-12-27 23:18:59.999398
111,307.0,1738.0,233283,51045.0,181.0,CryptoCompare,cryptocompare,CVC,139467,2017-12-27 21:37:04.769950
112,307.0,1740.0,233384,51095.0,181.0,CryptoCompare,cryptocompare,CVC,139467,2017-12-28 00:03:15.544754
113,1.0,7.0,1032,210.0,1.0,CryptoCompare,cryptocompare,DIGS,12192,2017-12-28 00:02:44.423715
114,,5.0,885,125.0,,CryptoCompare,cryptocompare,DUX,105206,2017-12-27 21:22:51.422935
115,,5.0,886,125.0,,CryptoCompare,cryptocompare,DUX,105206,2017-12-27 23:18:14.836605
116,3.0,28.0,2786,905.0,7.0,CryptoCompare,cryptocompare,DYN,131111,2017-12-27 21:37:02.266987
117,3.0,28.0,2789,905.0,7.0,CryptoCompare,cryptocompare,DYN,131111,2017-12-27 23:18:48.325959
118,3.0,28.0,2792,905.0,7.0,CryptoCompare,cryptocompare,DYN,131111,2017-12-28 00:03:03.164896
119,,2.0,304,50.0,,CryptoCompare,cryptocompare,EA,45821,2017-12-28 08:23:01.823924
120,63.0,60.0,16745,2530.0,16.0,CryptoCompare,cryptocompare,EB3,59968,2017-12-28 01:42:50.969772
121,63.0,60.0,16753,2530.0,16.0,CryptoCompare,cryptocompare,EB3,59968,2017-12-28 08:23:02.543555
122,,9.0,301,275.0,2.0,CryptoCompare,cryptocompare,EBET,345159,2017-12-28 08:23:03.672321
123,,9.0,300,275.0,2.0,CryptoCompare,cryptocompare,EBET,345159,2017-12-28 01:42:52.009978
124,,8.0,1318,325.0,5.0,CryptoCompare,cryptocompare,EBST,368732,2017-12-28 01:42:52.828910
125,,8.0,1322,325.0,5.0,CryptoCompare,cryptocompare,EBST,368732,2017-12-28 08:23:04.219539
126,50.0,161.0,25251,5725.0,48.0,CryptoCompare,cryptocompare,EBTC,321189,2017-12-28 08:23:05.276635
127,50.0,161.0,25200,5725.0,48.0,CryptoCompare,cryptocompare,EBTC,321189,2017-12-28 01:42:53.380408
128,,4.0,1277,125.0,1.0,CryptoCompare,cryptocompare,EC,30367,2017-12-28 08:23:05.927902
129,,4.0,1252,125.0,1.0,CryptoCompare,cryptocompare,EC,30367,2017-12-28 01:42:54.261691
130,8.0,19.0,1686,705.0,6.0,CryptoCompare,cryptocompare,ECA,409249,2017-12-28 01:42:54.896326
131,8.0,19.0,1708,705.0,6.0,CryptoCompare,cryptocompare,ECA,409249,2017-12-28 08:23:07.765236
132,,25.0,3001,625.0,,CryptoCompare,cryptocompare,ECO,61047,2017-12-28 01:42:55.511022
133,,25.0,3005,625.0,,CryptoCompare,cryptocompare,ECO,61047,2017-12-28 08:23:08.791729
134,,9.0,1335,375.0,6.0,CryptoCompare,cryptocompare,EDC,22185,2017-12-28 08:23:09.788728
135,,9.0,1333,375.0,6.0,CryptoCompare,cryptocompare,EDC,22185,2017-12-28 01:42:56.062141
136,21.0,233.0,30132,6710.0,27.0,CryptoCompare,cryptocompare,EDG,55676,2017-12-28 08:23:10.322264
137,21.0,233.0,30085,6685.0,26.0,CryptoCompare,cryptocompare,EDG,55676,2017-12-28 01:42:56.567833
138,1.0,17.0,2122,460.0,1.0,CryptoCompare,cryptocompare,EDGE,6339,2017-12-28 08:23:11.124745
139,1.0,17.0,2115,460.0,1.0,CryptoCompare,cryptocompare,EDGE,6339,2017-12-28 01:42:57.284443
140,11.0,189.0,36590,5760.0,37.0,CryptoCompare,cryptocompare,EDO,310297,2017-12-28 08:23:12.017322
141,11.0,188.0,36452,5735.0,37.0,CryptoCompare,cryptocompare,EDO,310297,2017-12-28 01:42:57.818897
142,88.0,175.0,34806,6855.0,64.0,CryptoCompare,cryptocompare,EDR,27634,2017-12-28 08:23:13.342844
143,88.0,175.0,34794,6855.0,64.0,CryptoCompare,cryptocompare,EDR,27634,2017-12-28 01:42:58.366706
144,6.0,41.0,6390,1285.0,8.0,CryptoCompare,cryptocompare,EDRC,19051,2017-12-28 08:23:14.024101
145,6.0,41.0,6388,1285.0,8.0,CryptoCompare,cryptocompare,EDRC,19051,2017-12-28 01:42:58.990048
146,1.0,28.0,3623,735.0,1.0,CryptoCompare,cryptocompare,EFL,4438,2017-12-28 01:42:59.782041
147,1.0,28.0,3628,735.0,1.0,CryptoCompare,cryptocompare,EFL,4438,2017-12-28 08:23:14.314582
148,2.0,14.0,1099,395.0,1.0,CryptoCompare,cryptocompare,EFYT,165555,2017-12-28 08:23:15.604317
149,1.0,1.0,126,60.0,1.0,CryptoCompare,cryptocompare,EGAS,466786,2017-12-28 08:23:16.478173
150,1.0,1.0,121,60.0,1.0,CryptoCompare,cryptocompare,EGAS,466786,2017-12-28 01:43:01.240678
151,3.0,7.0,799,280.0,3.0,CryptoCompare,cryptocompare,EGG,5395,2017-12-28 08:23:17.433348
152,,4.0,609,100.0,,CryptoCompare,cryptocompare,EGO,29368,2017-12-28 08:23:18.295378
153,,4.0,587,100.0,,CryptoCompare,cryptocompare,EGO,29368,2017-12-28 01:43:02.714322
154,,8.0,1297,200.0,,CryptoCompare,cryptocompare,ELC,4439,2017-12-28 01:43:03.595037
