Id,Points,account_creation,favourites,followers,following,link,lists,name,socialsource,source,statuses,symbol,symbol_id,timestamp_api_call
90,0,,,,,,,,Twitter,cryptocompare,,EXN,370961,2017-12-28 08:23:43.827182
91,22442,1439128076.0,3671.0,20826.0,1779.0,https://twitter.com/ExpanseOfficial,323.0,Expanse,Twitter,cryptocompare,1587.0,EXP,12194,2017-12-28 08:23:44.715264
92,0,,,,,,,,Twitter,cryptocompare,,F16,108099,2017-12-28 08:23:45.846589
93,4016,1399621592.0,27.0,3406.0,94.0,https://twitter.com/FairCoinTeam,122.0,FairCoinTeam,Twitter,cryptocompare,228.0,FAIR,5313,2017-12-28 08:23:46.516977
94,505,1473477944.0,7.0,475.0,71.0,https://twitter.com/famecoinn,6.0,Fame,Twitter,cryptocompare,18.0,FAME,33268,2017-12-28 08:23:47.503774
95,0,,,,,,,,Twitter,cryptocompare,,FAZZ,60409,2017-12-28 08:23:48.225004
96,2944,1430518812.0,3.0,2819.0,1664.0,https://twitter.com/cryptofocus,25.0,Crypto Focus,Twitter,cryptocompare,457.0,FCS,6101,2017-12-28 08:23:49.118098
97,16,1445295358.0,1.0,6.0,1.0,https://twitter.com/factomproject,2.0,Factom,Twitter,cryptocompare,2.0,FCT,13280,2017-12-28 08:23:50.016721
98,0,,,,,,,,Twitter,cryptocompare,,FFC,4447,2017-12-28 08:23:50.319790
99,0,,,,,,,,Twitter,cryptocompare,,FIND,48807,2017-12-28 08:23:51.232574
100,0,,,,,,,,Twitter,cryptocompare,,FIRST,34223,2017-12-28 08:23:52.948466
101,0,,,,,,,,Twitter,cryptocompare,,FIST,33526,2017-12-28 08:23:53.795571
102,0,,,,,,,,Twitter,cryptocompare,,FIT,29133,2017-12-28 08:23:54.818651
103,1909,1399982745.0,1.0,1834.0,1804.0,https://twitter.com/FujiCoin,15.0,Fujicoin Official,Twitter,cryptocompare,137.0,FJC,29935,2017-12-28 08:23:55.583023
104,1518,1453404155.0,9663.0,835.0,642.0,https://twitter.com/FlashCoins,136.0,FlashCoin,Twitter,cryptocompare,3353.0,FLASH,326222,2017-12-28 08:23:56.908971
105,3061,1501234661.0,264.0,2851.0,59.0,https://twitter.com/TheFlikIO,42.0,FLiK,Twitter,cryptocompare,164.0,FLIK,329562,2017-12-28 08:23:57.744610
106,0,,,,,,,,Twitter,cryptocompare,,FRAZ,247259,2017-12-28 08:23:58.204287
107,1093,1345682547.0,52.0,774.0,167.0,https://twitter.com/Freicoin,63.0,Freicoin,Twitter,cryptocompare,4375.0,FRC,4521,2017-12-28 08:23:58.519521
108,14321,1368292875.0,17359.0,13276.0,4234.0,https://twitter.com/FrankoCurrency,207.0,Christopher Franko,Twitter,cryptocompare,10485.0,FRK,4522,2017-12-28 08:23:58.814191
109,0,,,,,,,,Twitter,cryptocompare,,FRST,45258,2017-12-28 08:23:59.760128
110,0,,,,,,,,Twitter,cryptocompare,,FRWC,24866,2017-12-28 08:24:00.644059
111,22774,1369504233.0,328.0,21042.0,1329.0,https://twitter.com/Feathercoin,346.0,Feathercoin,Twitter,cryptocompare,2539.0,FTC,4524,2017-12-28 08:24:00.945849
112,0,,,,,,,,Twitter,cryptocompare,,FTP,28131,2017-12-28 08:24:01.758173
113,7820,1496701068.0,561.0,7055.0,301.0,https://twitter.com/FunFairTech,153.0,FunFair,Twitter,cryptocompare,318.0,FUN,178978,2017-12-28 08:24:02.753236
114,0,,,,,,,,Twitter,cryptocompare,,FUZZ,21708,2017-12-28 08:24:03.760796
115,4,1473197763.0,1.0,4.0,5.0,https://twitter.com/Fcoin2,0.0,Fcoin,Twitter,cryptocompare,0.0,FX,28336,2017-12-28 08:24:04.347241
116,4986,1484186356.0,66.0,4736.0,147.0,https://twitter.com/fundyourselfnow,50.0,FundYourselfNow,Twitter,cryptocompare,120.0,FYN,180820,2017-12-28 08:24:05.689734
117,0,,,,,,,,Twitter,cryptocompare,,FYP,464920,2017-12-28 08:24:06.936577
118,2837,1409305163.0,226.0,2577.0,1828.0,https://twitter.com/gaia_coin,52.0,gaiacoin,Twitter,cryptocompare,274.0,GAIA,5383,2017-12-28 08:24:07.992416
119,0,,,,,,,,Twitter,cryptocompare,,GAKH,38277,2017-12-28 08:24:08.842057
120,5384,1425620100.0,1.0,4849.0,1780.0,https://twitter.com/gambitcrypto,107.0,GambitCrypto,Twitter,cryptocompare,2.0,GAM,6102,2017-12-28 08:24:09.980406
121,0,,,,,,,,Twitter,cryptocompare,,GBIT,42103,2017-12-28 08:24:10.840387
122,94,1470234675.0,0.0,79.0,3.0,https://twitter.com/gbrcoin,3.0,GBR COIN,Twitter,cryptocompare,5.0,GBRC,29458,2017-12-28 08:24:11.324595
123,1671,1454079002.0,409.0,1443.0,4335.0,https://twitter.com/GamebetGg,45.0,Gamebet,Twitter,cryptocompare,3797.0,GBT,20214,2017-12-28 08:24:12.263111
124,3944,1430600805.0,909.0,3497.0,3253.0,https://twitter.com/GCRWorldwide,89.0,GCR Worldwide,Twitter,cryptocompare,2064.0,GCR,12217,2017-12-28 08:24:13.275693
125,21,1388771524.0,0.0,16.0,2.0,https://twitter.com/GDCPool,1.0,Grandcoin Pool,Twitter,cryptocompare,25.0,GDC,4526,2017-12-28 08:24:13.589826
126,7960,1420994441.0,143.0,7185.0,587.0,https://twitter.com/geo_coin,155.0,GeoCoin,Twitter,cryptocompare,108.0,GEO,3647,2017-12-28 08:24:13.881005
127,0,,,,,,,,Twitter,cryptocompare,,GER,531089,2017-12-28 08:24:14.455673
128,2890,1495538953.0,225.0,2840.0,1686.0,https://twitter.com/gilgam_es,10.0,gilgam.es,Twitter,cryptocompare,138.0,GGS,180716,2017-12-28 08:24:15.567031
129,1840,1498662452.0,886.0,1735.0,466.0,https://twitter.com/thegimliproject,21.0,The Gimli Project,Twitter,cryptocompare,481.0,GIM,243079,2017-12-28 08:24:16.619383
130,0,,,,,,,,Twitter,cryptocompare,,GIVE,3641,2017-12-28 08:24:16.921871
131,713,1414427081.0,2.0,638.0,972.0,https://twitter.com/GizmoCoin,15.0,GIZMOcoin,Twitter,cryptocompare,128.0,GIZ,21378,2017-12-28 08:24:17.405020
132,10363,1403284036.0,313.0,10183.0,8679.0,https://twitter.com/GCRcoin,36.0,GCRmarketing,Twitter,cryptocompare,945.0,GLC,4527,2017-12-28 08:24:17.690096
133,1246,1375566322.0,7.0,1031.0,277.0,https://twitter.com/GoldCoinInfo,43.0,GoldCoin,Twitter,cryptocompare,491.0,GLD,4528,2017-12-28 08:24:17.983446
134,999,1431864999.0,0.0,984.0,8.0,https://twitter.com/GlobalCoinTeam,3.0,Global,Twitter,cryptocompare,24.0,GLOBE,6393,2017-12-28 08:24:18.633894
135,0,,,,,,,,Twitter,cryptocompare,,GLX,4529,2017-12-28 08:24:18.922208
136,0,,,,,,,,Twitter,cryptocompare,,GLYPH,4530,2017-12-28 08:24:19.207249
137,0,,,,,,,,Twitter,cryptocompare,,GMC,5388,2017-12-28 08:24:19.725063
138,32640,1440607308.0,524.0,29870.0,12.0,https://twitter.com/gnosisPM,554.0,Gnosis,Twitter,cryptocompare,407.0,GNO,66193,2017-12-28 08:24:20.566566
139,61973,1445955834.0,2601.0,57298.0,1240.0,https://twitter.com/golemproject,935.0,golem,Twitter,cryptocompare,820.0,GNT,33022,2017-12-28 08:24:21.577079
140,127,1390433756.0,2.0,112.0,46.0,https://twitter.com/GOODCoinNews,3.0,Seefude,Twitter,cryptocompare,244.0,GOOD,253766,2017-12-28 08:24:22.529352
141,0,,,,,,,,Twitter,cryptocompare,,GOT,63304,2017-12-28 08:24:23.621782
142,0,,,,,,,,Twitter,cryptocompare,,GOTX,21875,2017-12-28 08:24:24.616658
143,452,1420809265.0,266.0,392.0,144.0,https://twitter.com/Gold_Pieces,12.0,goldpieces,Twitter,cryptocompare,194.0,GP,7625,2017-12-28 08:24:25.340710
144,0,,,,,,,,Twitter,cryptocompare,,GPL,28330,2017-12-28 08:24:26.256596
145,3008,1464998217.0,15.0,2923.0,4965.0,https://twitter.com/GPU_coin,17.0,GPU Coin,Twitter,cryptocompare,243.0,GPU,20650,2017-12-28 08:24:27.270731
146,0,,,,,,,,Twitter,cryptocompare,,GRAM,8717,2017-12-28 08:24:28.336051
147,488,1500168080.0,27.0,468.0,86.0,https://twitter.com/graftnetwork,4.0,Graft,Twitter,cryptocompare,118.0,GRF,326286,2017-12-28 08:24:29.284754
148,0,,,,,,,,Twitter,cryptocompare,,GRM,7592,2017-12-28 08:24:30.230727
149,299,1415818789.0,0.0,254.0,74.0,https://twitter.com/Grow_Dev,9.0,Grow,Twitter,cryptocompare,78.0,GROW,20600,2017-12-28 08:24:30.917320
150,57127,1396516018.0,5711.0,55975.0,203.0,https://twitter.com/GroestlcoinTeam,230.0,Groestlcoin (GRS),Twitter,cryptocompare,2316.0,GRS,13070,2017-12-28 08:24:31.915408
151,102,1499443111.0,1.0,82.0,63.0,https://twitter.com/grantcoin,4.0,Grantcoin,Twitter,cryptocompare,1.0,GRT,20438,2017-12-28 08:24:33.331898
152,42636,1494272397.0,6817.0,42376.0,16183.0,https://twitter.com/GrowersIntl,49.0,Growers Intl.,Twitter,cryptocompare,15443.0,GRWI,207931,2017-12-28 08:24:34.271652
153,0,,,,,,,,Twitter,cryptocompare,,GSX,5397,2017-12-28 08:24:35.268315
154,369,1403041073.0,3.0,309.0,10.0,https://twitter.com/GuerillaCoin,12.0,GuerillaCoin,Twitter,cryptocompare,101.0,GUE,4532,2017-12-28 08:24:35.573165
155,111,1464555397.0,1.0,86.0,5.0,https://twitter.com/geofounders,5.0,GeoFounders,Twitter,cryptocompare,17.0,GUNS,185625,2017-12-28 08:24:36.441746
156,9814,1482174843.0,508.0,8924.0,931.0,https://twitter.com/matchpool,178.0,Matchpool,Twitter,cryptocompare,437.0,GUP,67096,2017-12-28 08:24:37.390107
157,2424,1499068353.0,170.0,2334.0,1585.0,https://twitter.com/GxCoinGenevieve,18.0,GxCoin,Twitter,cryptocompare,734.0,GXC,247350,2017-12-28 08:24:38.545422
158,567,1500019019.0,6.0,527.0,5.0,https://twitter.com/hackspacecap,8.0,Hackspace Capital,Twitter,cryptocompare,53.0,HAC,321347,2017-12-28 08:24:39.569424
