Id,closed_issues,closed_pull_issues,closed_total_issues,created_at,fork,forks,language,last_push,last_update,open_issues,open_pull_issues,open_total_issues,parent,size,socialsource,source,stars,subscribers,symbol,symbol_id,timestamp_api_call,url
10,617.0,651.0,1268.0,1292771803.0,False,13509.0,C++,1514390970.0,1514412036.0,194.0,25.0,810.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",91391.0,CodeRepository,cryptocompare,23365.0,2468.0,BTC,1182,2017-12-27 16:42:15.152456,https://github.com/bitcoin/bitcoin
11,617.0,651.0,1268.0,1363239994.0,False,227.0,Python,1514155970.0,1514371250.0,194.0,25.0,24.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",1170.0,CodeRepository,cryptocompare,664.0,90.0,BTC,1182,2017-12-27 15:53:42.196195,https://github.com/petertodd/python-bitcoinlib
12,0.0,15.0,15.0,1422178317.0,true,4.0,C,1450100796.0,1436914397.0,0.0,3.0,3,"{u'Url': u'https://github.com/muddafudda/PayCon', u'Name': u'PayCon', u'InternalId': 12985, u'InternalData': {u'Name': u'Paycon', u'Url': u'/coins/con_/', u'Symbol': u'CON', u'Id': 12985, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/20717/con_.png'}}",13505,CodeRepository,cryptocompare,1.0,4.0,CON,12985,2017-12-28 00:02:54.459303,https://github.com/Crestington/PayCon
13,0.0,7.0,7.0,1420215091.0,false,6.0,C++,1434397058.0,1430867067.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",8463,CodeRepository,cryptocompare,0.0,2.0,CON,12985,2017-12-28 00:02:54.459303,https://github.com/muddafudda/PayCon
14,0.0,0.0,0.0,1436530293.0,false,0.0,C++,1438634171.0,1436531477.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",11168,CodeRepository,cryptocompare,0.0,1.0,DIGS,12192,2017-12-28 00:02:44.391957,https://github.com/DiggitsSquad/Diggits-Src
15,0.0,0.0,0.0,1493893433.0,false,0.0,C++,1493893612.0,1493893616.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",2004,CodeRepository,cryptocompare,0.0,0.0,DUX,105206,2017-12-28 00:01:08.849809,https://github.com/duxcoindev/dux
16,17.0,259.0,276.0,1479766519.0,false,18.0,C++,1508740276.0,1508331917.0,29.0,3.0,32,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",79764,CodeRepository,cryptocompare,11.0,14.0,DYN,131111,2017-12-28 00:03:03.128833,https://github.com/duality-solutions/Dynamic
17,0.0,0.0,0.0,1492337103.0,false,1.0,C++,1505864558.0,1502007687.0,2.0,0.0,2,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",16512,CodeRepository,cryptocompare,4.0,3.0,EQT,105263,2017-12-28 00:01:11.004205,https://github.com/equitraderdev/Equittrader
18,2.0,6.0,8.0,1473539102.0,false,13.0,C,1508542486.0,1508343655.0,2.0,0.0,2,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",7356,CodeRepository,cryptocompare,10.0,17.0,ESP,130951,2017-12-28 00:03:00.976263,https://github.com/CryptoCoderz/Espers
19,355.0,452.0,807.0,1441653399.0,False,26.0,,1471550273.0,1513776656.0,52.0,30.0,0.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",6739.0,CodeRepository,cryptocompare,8.0,26.0,ETH,7605,2017-12-27 19:40:49.506452,https://github.com/ethereum/libweb3core
20,2154.0,2443.0,4597.0,1388063146.0,False,3268.0,Go,1514409210.0,1514417305.0,662.0,52.0,714.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",92962.0,CodeRepository,cryptocompare,10740.0,1184.0,ETH,7605,2017-12-27 19:40:49.506452,https://github.com/ethereum/go-ethereum
21,2153.0,2443.0,4596.0,1387852805.0,False,554.0,Python,1513936034.0,1514365085.0,660.0,51.0,83.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5484.0,CodeRepository,cryptocompare,1846.0,269.0,ETH,7605,2017-12-27 15:53:42.985563,https://github.com/ethereum/pyethereum
22,2154.0,2443.0,4597.0,1388063146.0,false,3272.0,Go,1514424698.0,1514427296.0,662.0,28.0,716,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",92962,CodeRepository,cryptocompare,10745.0,1183.0,ETH,7605,2017-12-27 23:04:28.299244,https://github.com/ethereum/go-ethereum
23,2154.0,2443.0,4597.0,1388063146.0,False,3267.0,Go,1514409210.0,1514412830.0,662.0,52.0,714.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",92962.0,CodeRepository,cryptocompare,10738.0,1183.0,ETH,7605,2017-12-27 16:42:17.150194,https://github.com/ethereum/go-ethereum
24,355.0,275.0,807.0,1441653399.0,False,26.0,,1471550273.0,1513776656.0,52.0,30.0,0.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",6739.0,CodeRepository,cryptocompare,8.0,26.0,ETH,7605,2017-12-27 16:42:17.150194,https://github.com/ethereum/libweb3core
25,225.0,452.0,500.0,1387852805.0,False,554.0,Python,1513936034.0,1514365085.0,53.0,28.0,83.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5484.0,CodeRepository,cryptocompare,1846.0,269.0,ETH,7605,2017-12-27 16:42:17.150194,https://github.com/ethereum/pyethereum
26,225.0,275.0,500.0,1387852805.0,False,554.0,Python,1513936034.0,1514365085.0,53.0,28.0,83.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",5484.0,CodeRepository,cryptocompare,1846.0,269.0,ETH,7605,2017-12-27 19:40:49.506452,https://github.com/ethereum/pyethereum
27,0.0,92.0,92.0,1441653399.0,false,26.0,,1471550273.0,1513776656.0,0.0,0.0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",6739,CodeRepository,cryptocompare,8.0,26.0,ETH,7605,2017-12-27 23:04:28.299244,https://github.com/ethereum/libweb3core
28,355.0,452.0,807.0,1388063146.0,False,3256.0,Go,1514383649.0,1514386463.0,52.0,30.0,711.0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",92962.0,CodeRepository,cryptocompare,10723.0,1178.0,ETH,7605,2017-12-27 15:53:42.985563,https://github.com/ethereum/go-ethereum
