Id,Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
87,419,False,319.0,https://www.facebook.com/EspersCoin/,Espers Coin,Facebook,cryptocompare,ESP,130951,10.0,2017-12-27 21:23:20.842958
88,0,,,,,Facebook,cryptocompare,ETBT,431142,,2017-12-28 01:43:14.619491
89,0,,,,,Facebook,cryptocompare,ETC,5324,,2017-12-28 01:43:15.023490
90,156295,False,114875.0,https://www.facebook.com/ethereumproject/,Ethereum,Facebook,cryptocompare,ETH,7605,4142.0,2017-12-27 16:42:17.289163
91,156542,False,114662.0,https://www.facebook.com/ethereumproject/,Ethereum,Facebook,cryptocompare,ETH,7605,4188.0,2017-12-27 15:53:43.044922
92,156470,False,115050.0,https://www.facebook.com/ethereumproject/,Ethereum,Facebook,cryptocompare,ETH,7605,4142.0,2017-12-28 01:43:15.429785
93,156514,False,115094.0,https://www.facebook.com/ethereumproject/,Ethereum,Facebook,cryptocompare,ETH,7605,4142.0,2017-12-28 08:23:31.866276
94,158112,False,114962.0,https://www.facebook.com/ethereumproject/,Ethereum,Facebook,cryptocompare,ETH,7605,4315.0,2017-12-27 20:42:48.204410
95,158072,False,114922.0,https://www.facebook.com/ethereumproject/,Ethereum,Facebook,cryptocompare,ETH,7605,4315.0,2017-12-27 18:13:48.630650
96,0,,,,,Facebook,cryptocompare,ETHB,412197,,2017-12-28 01:43:16.318766
97,1235,False,635.0,https://www.facebook.com/ethereumdark/,Ethereum Dark,Facebook,cryptocompare,ETHD,310754,60.0,2017-12-28 01:43:16.898415
98,0,,,,,Facebook,cryptocompare,ETHS,20448,,2017-12-28 01:43:17.827982
99,0,,,,,Facebook,cryptocompare,ETN,361881,,2017-12-28 01:43:18.247680
100,14595,False,11595.0,https://www.facebook.com/mvsofficial/,Metaverse,Facebook,cryptocompare,ETP,328639,300.0,2017-12-28 01:43:18.993734
101,586,False,526.0,https://www.facebook.com/encryptotel/,Encrypto Telecom,Facebook,cryptocompare,ETT,62529,6.0,2017-12-28 01:43:19.748755
102,0,,,,,Facebook,cryptocompare,EUC,34849,,2017-12-28 01:43:20.769947
103,0,,,,,Facebook,cryptocompare,EVENT,5405,,2017-12-28 01:43:21.674567
104,0,,,,,Facebook,cryptocompare,EVIL,22272,,2017-12-28 01:43:22.100133
105,0,,,,,Facebook,cryptocompare,EVR,340966,,2017-12-28 01:43:22.628124
106,11313,False,5263.0,https://www.facebook.com/everex.io/,Everex,Facebook,cryptocompare,EVX,194883,605.0,2017-12-28 01:43:23.622325
107,0,,,,,Facebook,cryptocompare,EXB,25925,,2017-12-28 01:43:24.436758
108,0,,,,,Facebook,cryptocompare,EXCL,4442,,2017-12-28 01:43:25.029849
109,0,,,,,Facebook,cryptocompare,EXIT,22180,,2017-12-28 01:43:26.085476
110,0,,,,,Facebook,cryptocompare,EXN,370961,,2017-12-28 01:43:26.464063
111,1583,False,1563.0,https://www.facebook.com/expanse.official/,expanse,Facebook,cryptocompare,EXP,12194,2.0,2017-12-27 21:23:05.293489
112,0,,,,,Facebook,cryptocompare,F16,108099,,2017-12-27 21:22:55.109623
113,0,,,,,Facebook,cryptocompare,FAIR,5313,,2017-12-28 01:43:28.797725
