Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
50,460,48065,13450,58,CryptoCompare,cryptocompare,BQX,141464,2018-01-01 15:12:55.299055
,7,758,225,2,CryptoCompare,cryptocompare,BST,15272,2018-01-01 15:12:55.102104
,7,758,225,2.0,CryptoCompare,cryptocompare,BST,15272,2018-01-01 15:09:31.980008
20.0,91,7263,6250,151.0,CryptoCompare,cryptocompare,BTA,16125,2018-01-01 15:09:33.201370
20,91,7263,6250,151,CryptoCompare,cryptocompare,BTA,16125,2018-01-01 15:12:55.693688
62361.0,43081,16316750,2473485,30914.0,CryptoCompare,cryptocompare,BTC,1182,2018-01-01 15:09:30.291284
62361,43081,16316750,2473485,30914,CryptoCompare,cryptocompare,BTC,1182,2018-01-01 15:12:52.981781
2,114,15381,3270,16,CryptoCompare,cryptocompare,CDT,177139,2018-01-01 15:12:56.674183
2.0,114,15381,3270,16.0,CryptoCompare,cryptocompare,CDT,177139,2018-01-01 15:09:33.442985
11,147,15029,4210,17,CryptoCompare,cryptocompare,CFI,136984,2018-01-01 15:12:54.508019
11.0,147,15029,4210,17.0,CryptoCompare,cryptocompare,CFI,136984,2018-01-01 15:09:31.889823
4.0,83,12679,2415,12.0,CryptoCompare,cryptocompare,CLUB,15869,2018-01-01 15:09:33.015807
4,83,12679,2415,12,CryptoCompare,cryptocompare,CLUB,15869,2018-01-01 15:12:55.396486
,2,433,50,,CryptoCompare,cryptocompare,CLV,13074,2018-01-01 15:09:32.370575
3.0,21,3283,705,6.0,CryptoCompare,cryptocompare,CMP,176004,2018-01-01 15:09:33.377380
3,21,3283,705,6,CryptoCompare,cryptocompare,CMP,176004,2018-01-01 15:12:56.790801
,8,1207,200,,CryptoCompare,cryptocompare,CON,12985,2018-01-01 15:09:30.379264
2.0,65,8203,1820,7.0,CryptoCompare,cryptocompare,CPC,15282,2018-01-01 15:09:32.493470
