CoinName,Points,Type,Name,socialsource,source,symbol,symbol_id,timestamp_api_call
Dent,38529,Webpagecoinp,DENT,General,cryptocompare,DENT,141331,2018-01-01 15:09:31.888680
Diggits,413,Webpagecoinp,DIGS,General,cryptocompare,DIGS,12192,2018-01-01 15:09:31.231491
district0x,55917,Webpagecoinp,DNT,General,cryptocompare,DNT,177175,2018-01-01 15:09:33.760841
DogeCoinDark,1878,Webpagecoinp,DOGED,General,cryptocompare,DOGED,17549,2018-01-01 15:09:33.441076
DuxCoin,125,Webpagecoinp,DUX,General,cryptocompare,DUX,105206,2018-01-01 15:09:30.104723
Dynamic,5024,Webpagecoinp,DYN,General,cryptocompare,DYN,131111,2018-01-01 15:09:31.699858
E-CurrencyCoin,891,Webpagecoinp,ECC,General,cryptocompare,ECC,129013,2018-01-01 15:09:31.412402
EcoBit,3343,Webpagecoinp,ECOB,General,cryptocompare,ECOB,171390,2018-01-01 15:09:33.399355
Ergo,1214,Webpagecoinp,EFYT,General,cryptocompare,EFYT,165555,2018-01-01 15:09:33.017908
EverGreenCoin,11966,Webpagecoinp,EGC,General,cryptocompare,EGC,15885,2018-01-01 15:09:32.948637
Emercoin,12115,Webpagecoinp,EMC,General,cryptocompare,EMC,15876,2018-01-01 15:09:33.049071
EOS,165865,Webpagecoinp,EOS,General,cryptocompare,EOS,166503,2018-01-01 15:09:32.932302
EquiTrader,7971,Webpagecoinp,EQT,General,cryptocompare,EQT,105263,2018-01-01 15:09:32.795379
Espers,5628,Webpagecoinp,ESP,General,cryptocompare,ESP,130951,2018-01-01 15:09:31.663554
Expanse,40150,Webpagecoinp,EXP,General,cryptocompare,EXP,12194,2018-01-01 15:09:30.415084
F16Coin,475,Webpagecoinp,F16,General,cryptocompare,F16,108099,2018-01-01 15:09:31.876988
Factoids,61823,Webpagecoinp,FCT,General,cryptocompare,FCT,13280,2018-01-01 15:09:32.237872
Global Currency Reserve,8850,Webpagecoinp,GCR,General,cryptocompare,GCR,12217,2018-01-01 15:09:30.943246
Groestlcoin ,79701,Webpagecoinp,GRS,General,cryptocompare,GRS,13070,2018-01-01 15:09:32.778839
HamsterCoin,362,Webpagecoinp,HAMS,General,cryptocompare,HAMS,112363,2018-01-01 15:09:30.311945
BitHIRE,1591,Webpagecoinp,HIRE*,General,cryptocompare,HIRE*,15882,2018-01-01 15:09:32.960908
Harbour DAO,4402,Webpagecoinp,HRB,General,cryptocompare,HRB,176336,2018-01-01 15:09:33.688885
I0coin,415,Webpagecoinp,I0C,General,cryptocompare,I0C,16123,2018-01-01 15:09:33.496962
