closed_issues,closed_pull_issues,closed_total_issues,created_at,fork,forks,language,last_push,last_update,open_issues,open_pull_issues,open_total_issues,parent,size,socialsource,source,stars,subscribers,symbol,symbol_id,timestamp_api_call,url
0,0,0,1436530293,false,0.0,C++,1438634171,1436531477,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",11168,CodeRepository,cryptocompare,0.0,1.0,DIGS,12192,2018-01-01 15:12:53.370176,https://github.com/DiggitsSquad/Diggits-Src
0,0,0,1436530293,False,0.0,C++,1438634171,1436531477,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",11168,CodeRepository,cryptocompare,0.0,1.0,DIGS,12192,2018-01-01 15:09:30.491360,https://github.com/DiggitsSquad/Diggits-Src
8,0,8,1492492910,False,15.0,Clojure,1505094915,1514826850,4,0,4,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",10790,CodeRepository,cryptocompare,67.0,18.0,DNT,177175,2018-01-01 15:09:33.719502,https://github.com/district0x/district0x-network-token
8,0,8,1492492910,false,15.0,Clojure,1505094915,1514826850,4,0,4,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",10790,CodeRepository,cryptocompare,67.0,18.0,DNT,177175,2018-01-01 15:12:56.775845,https://github.com/district0x/district0x-network-token
0,0,0,1493893433,false,0.0,C++,1493893612,1493893616,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",2004,CodeRepository,cryptocompare,0.0,0.0,DUX,105206,2018-01-01 15:12:52.599930,https://github.com/duxcoindev/dux
0,0,0,1493893433,False,0.0,C++,1493893612,1493893616,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",2004,CodeRepository,cryptocompare,0.0,0.0,DUX,105206,2018-01-01 15:09:29.381330,https://github.com/duxcoindev/dux
25,92,117,1509378383,False,3.0,C++,1514834472,1514739744,4,0,4,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",77627,CodeRepository,cryptocompare,6.0,10.0,DYN,131111,2018-01-01 15:09:31.389836,https://github.com/duality-solutions/Dynamic
25,92,117,1509378383,false,3.0,C++,1514834472,1514739744,4,0,4,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",77627,CodeRepository,cryptocompare,6.0,10.0,DYN,131111,2018-01-01 15:12:54.291098,https://github.com/duality-solutions/Dynamic
1,20,21,1445807120,False,6.0,C,1512401462,1514458584,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",6351,CodeRepository,cryptocompare,7.0,10.0,EGC,15885,2018-01-01 15:09:32.744843,https://github.com/EverGreenCoinDev/EverGreenCoin
1,20,21,1445807120,false,6.0,C,1512401462,1514458584,0,0,0,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",6351,CodeRepository,cryptocompare,7.0,10.0,EGC,15885,2018-01-01 15:12:55.595997,https://github.com/EverGreenCoinDev/EverGreenCoin
0,0,0,1469669070,True,3.0,C++,1469499007,1509551398,0,0,0,"{u'Url': u'https://github.com/emercoin/emercoin', u'Name': u'emercoin', u'InternalId': -1}",44163,CodeRepository,cryptocompare,2.0,4.0,EMC,15876,2018-01-01 15:09:32.840349,https://github.com/EvgenijM86/emercoin
0,0,0,1469669070,true,3.0,C++,1469499007,1509551398,0,0,0,"{u'Url': u'https://github.com/emercoin/emercoin', u'Name': u'emercoin', u'InternalId': -1}",44163,CodeRepository,cryptocompare,2.0,4.0,EMC,15876,2018-01-01 15:12:55.119853,https://github.com/EvgenijM86/emercoin
0,0,0,1492337103,False,1.0,C++,1505864558,1502007687,2,0,2,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",16512,CodeRepository,cryptocompare,4.0,3.0,EQT,105263,2018-01-01 15:09:32.485961,https://github.com/equitraderdev/Equittrader
0,0,0,1492337103,false,1.0,C++,1505864558,1502007687,2,0,2,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",16512,CodeRepository,cryptocompare,4.0,3.0,EQT,105263,2018-01-01 15:12:52.034714,https://github.com/equitraderdev/Equittrader
4,7,11,1473539102,False,16.0,C,1514078121,1514830158,5,0,5,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",7440,CodeRepository,cryptocompare,14.0,18.0,ESP,130951,2018-01-01 15:09:31.245058,https://github.com/CryptoCoderz/Espers
4,7,11,1473539102,false,16.0,C,1514078121,1514830158,5,0,5,"{u'Url': u'', u'Name': u'', u'InternalId': -1}",7440,CodeRepository,cryptocompare,14.0,18.0,ESP,130951,2018-01-01 15:12:53.998248,https://github.com/CryptoCoderz/Espers
0,20,20,1438809479,true,15.0,Go,1508255664,1514753514,7,2,9,"{u'Url': u'https://github.com/ethereum/go-ethereum', u'Name': u'go-ethereum', u'InternalId': 7605, u'InternalData': {u'Name': u'Ethereum', u'Url': u'/coins/eth/', u'Symbol': u'ETH', u'Id': 7605, u'Type': u'Webpagecoinp', u'ImageUrl': u'/media/20646/eth_logo.png'}}",160162,CodeRepository,cryptocompare,31.0,18.0,EXP,12194,2018-01-01 15:12:52.982658,https://github.com/expanse-org/go-expanse
