Points,account_creation,favourites,followers,following,link,lists,name,socialsource,source,statuses,symbol,symbol_id,timestamp_api_call
2115,1500369220,296,1990,524,https://twitter.com/TokenStars,25,TokenStars,Twitter,cryptocompare,370,ACE,294364,2017-12-30 17:56:08.780540
341,1469738085,4,316,276,https://twitter.com/CoinAces,5,aces coin,Twitter,cryptocompare,12,ACES,45617,2017-12-30 17:56:37.666091
0,,,,,,,,Twitter,cryptocompare,,ACID,39700,2017-12-30 17:56:25.965991
0,,,,,,,,Twitter,cryptocompare,,ACN,35949,2017-12-30 17:56:19.838353
1240,1409516414,61,1105,928,https://twitter.com/acointeam,27,Acoin Developers,Twitter,cryptocompare,418,ACOIN,4323,2017-12-30 17:56:30.705765
1196,1427786388,184,955,1319,https://twitter.com/AnarchistsPrime ,48,(Acp),Twitter,cryptocompare,1036,ACP,6476,2017-12-30 17:56:49.416180
5182,1483989825,194,4987,443,https://twitter.com/daoact_org,39,ACT,Twitter,cryptocompare,298,ACT,177157,2017-12-30 17:55:45.070825
12992,1505356792,50,12867,93,https://twitter.com/AchainOfficial,25,AchainOfficial,Twitter,cryptocompare,122,ACT*,446372,2017-12-30 17:56:33.363803
39929,1485749761,275,38304,22,https://twitter.com/cardanocom,325,Cardano Community,Twitter,cryptocompare,516,ADA,321992,2017-12-30 17:56:12.916868
2199,1507921363,277,2064,31,https://twitter.com/adbanknetwork,27,adbank,Twitter,cryptocompare,180,ADB,468052,2017-12-30 17:56:38.440145
2458,1328372088,2149,2188,2046,https://twitter.com/Aurovine,53,Aurovine,Twitter,cryptocompare,5575,ADC,6108,2017-12-30 17:56:48.188482
0,,,,,,,,Twitter,cryptocompare,,ADCN,20907,2017-12-30 17:55:52.747705
4245,1465230226,261,3720,4242,https://twitter.com/adelphoi_io,105,Adel Ecosystem Ltd.,Twitter,cryptocompare,725,ADL,127738,2017-12-30 17:55:41.942567
0,,,,,,,,Twitter,cryptocompare,,ADN,21007,2017-12-30 17:55:52.617578
1473,1497622026,15,1338,594,https://twitter.com/adsharesNet,27,Adshares,Twitter,cryptocompare,111,ADST,194530,2017-12-30 17:55:46.453440
5133,1484078627,154,4523,186,https://twitter.com/ad_chain,122,adChain,Twitter,cryptocompare,226,ADT,188858,2017-12-30 17:55:45.957194
42492,1496237279,877,40042,210,https://twitter.com/AdEx_Network,490,AdEx,Twitter,cryptocompare,319,ADX,170452,2017-12-30 17:55:44.300467
3009,1437650390,4,2934,590,https://twitter.com/ADZbuzz,15,ADZbuzz,Twitter,cryptocompare,233,ADZ,20656,2017-12-30 17:55:50.942720
12567,1470044894,780,11242,197,https://twitter.com/aetrnty,265,æternity blockchain,Twitter,cryptocompare,913,AE,190978,2017-12-30 17:55:46.268866
0,,,,,,,,Twitter,cryptocompare,,AEC,20986,2017-12-30 17:55:52.776259
6432,1402078980,297,5856,735,https://twitter.com/AeonCoin,115,aeon,Twitter,cryptocompare,1281,AEON,20730,2017-12-30 17:55:51.292705
11045,1510274591,28,11000,0,https://twitter.com/AeriumCoin,9,Aerium,Twitter,cryptocompare,28,AERM,411647,2017-12-30 17:56:27.683036
476,1403040113,6,421,12,https://twitter.com/aerocoin,11,AeroME [AM],Twitter,cryptocompare,76,AERO,4324,2017-12-30 17:56:30.051639
3950,1423686824,239,3275,3892,https://twitter.com/TauChainOrg,135,Tau-Chain,Twitter,cryptocompare,597,AGRS,191142,2017-12-30 17:55:46.507270
248,1404671412,9,233,121,https://twitter.com/AegisCoin,3,Aegis,Twitter,cryptocompare,73,AGS,4326,2017-12-30 17:56:30.175973
190,1500642196,104,165,4,https://twitter.com/Ahooleeman,5,Elementh,Twitter,cryptocompare,346,AHT,175611,2017-12-30 17:55:45.215329
1632,1452114423,15,1512,93,https://twitter.com/Bowheadhealth,24,Bowhead Health,Twitter,cryptocompare,166,AHT*,186064,2017-12-30 17:55:45.757588
0,,,,,,,,Twitter,cryptocompare,,AIB,20806,2017-12-30 17:55:52.444948
1997,1508751615,4,1937,37,https://twitter.com/aid_coin,12,AidCoin,Twitter,cryptocompare,89,AID,368770,2017-12-30 17:56:22.357504
17558,1498744370,247,16918,779,https://twitter.com/Aion_Network,128,Aion Network,Twitter,cryptocompare,251,AION,431235,2017-12-30 17:56:29.434075
5234,1501627593,122,4824,201,https://twitter.com/airtoken,82,AirToken (AIR),Twitter,cryptocompare,231,AIR,338555,2017-12-30 17:56:18.049334
0,,,,,,,,Twitter,cryptocompare,,AIR*,30182,2017-12-30 17:56:11.593807
0,,,,,,,,Twitter,cryptocompare,,ALC,33401,2017-12-30 17:56:16.325557
0,,,,,,,,Twitter,cryptocompare,,ALEX,45607,2017-12-30 17:56:37.492490
0,,,,,,,,Twitter,cryptocompare,,ALF,4325,2017-12-30 17:56:29.971457
12529,1497444972,3497,11662,403,https://twitter.com/ALIS_media,173,ALIS,Twitter,cryptocompare,2908,ALIS,331603,2017-12-30 17:56:15.003265
2978,1389308954,0,2893,382,https://twitter.com/aliencoin,17,Alien Coin,Twitter,cryptocompare,32,ALN,4328,2017-12-30 17:56:30.812244
1390,1509327339,67,1315,146,https://twitter.com/ALQOCOIN,15,ALQO,Twitter,cryptocompare,116,ALQO,402782,2017-12-30 17:56:26.450894
2840,1501366090,48,2765,26,https://twitter.com/AltComCoin,15,Altcommunity Coin,Twitter,cryptocompare,176,ALTCOM,369110,2017-12-30 17:56:21.869397
0,,,,,,,,Twitter,cryptocompare,,ALTOCAR,240439,2017-12-30 17:56:00.816312
476,1403040113,6,421,12,https://twitter.com/aerocoin,11,AeroME [AM],Twitter,cryptocompare,76,AM,5330,2017-12-30 17:56:44.119509
7508,1499198904,1271,6888,412,https://twitter.com/AmbrosusAMB,124,Ambrosus,Twitter,cryptocompare,711,AMB,238733,2017-12-30 17:56:01.620155
440,1408315268,0,400,29,https://twitter.com/AmberCoin,8,Amber Coin,Twitter,cryptocompare,23,AMBER,5332,2017-12-30 17:56:45.779460
0,,,,,,,,Twitter,cryptocompare,,AMC,4327,2017-12-30 17:56:30.477739
132,1489928895,31,122,377,https://twitter.com/AMIS_ERC20,2,AMIS,Twitter,cryptocompare,10,AMIS,57676,2017-12-30 17:56:46.784259
406,1494078032,2,376,90,https://twitter.com/ammorewards,6,AmmoRewards,Twitter,cryptocompare,32,AMMO,182463,2017-12-30 17:55:45.658956
24650,1413477838,1778,21599,2098,https://twitter.com/Synereo,610,Synereo,Twitter,cryptocompare,1663,AMP,18244,2017-12-30 17:55:46.002752
95,1444595168,1,90,1,https://twitter.com/amsterdam_coin,1,AmsterdamCoin,Twitter,cryptocompare,46,AMS,15284,2017-12-30 17:55:43.463342
0,,,,,,,,Twitter,cryptocompare,,AMT,243045,2017-12-30 17:56:01.623014
1979,1432351019,1538,1963,3665,https://twitter.com/mroger1972,3,AMYGWS (AMY) COIN,Twitter,cryptocompare,1712,AMY,59304,2017-12-30 17:56:46.595106
0,,,,,,,,Twitter,cryptocompare,,ANAL,37359,2017-12-30 17:56:23.309002
2655,1372367785,230,2259,232,https://twitter.com/AnonCoinProject,79,Anoncoin,Twitter,cryptocompare,1355,ANC,27370,2017-12-30 17:56:03.113099
0,,,,,,,,Twitter,cryptocompare,,ANCP,196572,2017-12-30 17:55:46.224690
0,,,,,,,,Twitter,cryptocompare,,AND,30568,2017-12-30 17:56:12.292820
48643,1486404969,1032,45218,1235,https://twitter.com/AragonProject,685,Aragon,Twitter,cryptocompare,472,ANT,78152,2017-12-30 17:56:51.762122
0,,,,,,,,Twitter,cryptocompare,,ANTC,29758,2017-12-30 17:56:09.938234
197,1415009237,3,147,88,https://twitter.com/anti_bitcoin,10,Anti Bitcoin,Twitter,cryptocompare,41,ANTI,20828,2017-12-30 17:55:51.854002
0,,,,,,,,Twitter,cryptocompare,,APC,20722,2017-12-30 17:55:52.913318
0,,,,,,,,Twitter,cryptocompare,,APEX,4330,2017-12-30 17:56:30.291178
6042,1507114627,269,5722,68,https://twitter.com/AppCoinsProject,64,AppCoins,Twitter,cryptocompare,224,APPC,346812,2017-12-30 17:56:18.868396
101,1403548999,2,66,179,https://twitter.com/aptcoin,7,Aptcoin,Twitter,cryptocompare,12,APT,60419,2017-12-30 17:56:47.105126
5149,1491187573,21,4559,0,https://twitter.com/APX_Ventures,118,ΛPX,Twitter,cryptocompare,53,APX,74912,2017-12-30 17:56:50.500041
1153,1501683872,65,1118,79,https://twitter.com/archainteam,7,Archain Team,Twitter,cryptocompare,139,AR*,251598,2017-12-30 17:56:02.610672
430,1431113687,3,395,671,https://twitter.com/get_ARbit,7,ARbit,Twitter,cryptocompare,21,ARB,7599,2017-12-30 17:56:51.028450
0,,,,,,,,Twitter,cryptocompare,,ARBI,334856,2017-12-30 17:56:15.640980
0,,,,,,,,Twitter,cryptocompare,,ARC,188615,2017-12-30 17:55:45.693547
5334,1451341322,1207,4489,2828,https://twitter.com/ArcadeCityHall,169,Arcade City,Twitter,cryptocompare,271,ARC*,435659,2017-12-30 17:56:31.528961
2324,1407253770,300,2019,40,https://twitter.com/ARCHcoin,61,ΔRCHcoin,Twitter,cryptocompare,202,ARCH,4331,2017-12-30 17:56:30.734416
2986,1450877472,241,2801,3043,https://twitter.com/ArcCoin,37,AquariusCoin (ARCO),Twitter,cryptocompare,288,ARCO,34506,2017-12-30 17:56:18.353981
49824,1466236429,519,46668,84,https://twitter.com/ArdorPlatform,631,Ardor Platform,Twitter,cryptocompare,1063,ARDR,30173,2017-12-30 17:56:10.826274
0,,,,,,,,Twitter,cryptocompare,,ARENA,201896,2017-12-30 17:55:52.715158
0,,,,,,,,Twitter,cryptocompare,,ARG,4371,2017-12-30 17:56:32.245078
0,,,,,,,,Twitter,cryptocompare,,ARGUS,70352,2017-12-30 17:56:49.538997
0,,,,,,,,Twitter,cryptocompare,,ARI,4332,2017-12-30 17:56:30.455092
