exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,MZC,BTC,6311698.90095,0.63151419,1,JordanManual,cryptocompare,MZC,2017-12-31 03:18:50.997023
CCCAGG,MZC,LTC,697224.343322,3.98567104,1,JordanManual,cryptocompare,MZC,2017-12-31 03:18:50.997023
CCCAGG,MZC,DOGE,253101.864683,43111.6321328,1,JordanManual,cryptocompare,MZC,2017-12-31 03:18:50.997023
CCCAGG,MZC,BTC,6311698.90095,0.63151419,1,JordanManual,cryptocompare,MZC,2017-12-31 03:16:30.617800
CCCAGG,MZC,LTC,697224.343322,3.98567104,1,JordanManual,cryptocompare,MZC,2017-12-31 03:16:30.617800
CCCAGG,MZC,DOGE,253101.864683,43111.6321328,1,JordanManual,cryptocompare,MZC,2017-12-31 03:16:30.617800
CCCAGG,MZC,BTC,6428338.52791,0.64354543,1,JordanManual,cryptocompare,MZC,2017-12-31 00:19:32.800739
CCCAGG,MZC,LTC,699140.657629,3.99871814,1,JordanManual,cryptocompare,MZC,2017-12-31 00:19:32.800739
CCCAGG,MZC,DOGE,297977.440665,50658.3117343,1,JordanManual,cryptocompare,MZC,2017-12-31 00:19:32.800739
