Id,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,USDT,USD,2834095.96623,2863258.15262,cryptocompare,2017-12-27 23:09:54.048898
1,CCCAGG,USDT,RUB,28593.7210134,1740697.05227,cryptocompare,2017-12-27 23:03:09.210700
2,CCCAGG,USDT,USD,2802751.34749,2831102.33456,cryptocompare,2017-12-27 22:59:31.679470
3,CCCAGG,USDT,RUB,30354.0934194,1844349.69388,cryptocompare,2017-12-27 22:56:02.674602
4,CCCAGG,USDT,USD,2799784.00458,2828036.44497,cryptocompare,2017-12-27 22:50:28.358801
5,CCCAGG,USDT,RUB,30192.6888132,1833999.54962,cryptocompare,2017-12-27 22:48:18.856709
6,CCCAGG,USDT,USD,2799420.00076,2827639.4678,cryptocompare,2017-12-27 22:47:15.881688
7,CCCAGG,USDT,RUB,30192.6888132,1833999.54962,cryptocompare,2017-12-27 22:47:01.680965
8,CCCAGG,USDT,USD,2797321.09229,2825394.90631,cryptocompare,2017-12-27 22:46:02.894685
9,CCCAGG,USDT,RUB,30091.726978,1827481.91496,cryptocompare,2017-12-27 22:44:50.717436
10,CCCAGG,USDT,USD,2796725.42558,2824747.63469,cryptocompare,2017-12-27 22:42:47.226602
11,CCCAGG,USDT,RUB,29965.3400429,1819362.86529,cryptocompare,2017-12-27 22:39:30.630703
12,CCCAGG,USDT,USD,2796719.41758,2824741.05533,cryptocompare,2017-12-27 22:39:21.391931
13,CCCAGG,USDT,RUB,29965.3400429,1819362.86529,cryptocompare,2017-12-27 22:38:59.039179
14,CCCAGG,USDT,USD,2796719.41758,2824741.05533,cryptocompare,2017-12-27 22:38:45.632551
15,CCCAGG,USDT,RUB,29435.3576854,1785217.10785,cryptocompare,2017-12-27 22:05:06.293929
16,CCCAGG,USDT,USD,2375632.08647,2399240.42678,cryptocompare,2017-12-27 22:02:38.064445
17,CCCAGG,USDT,RUB,22222.1805875,1338406.99096,cryptocompare,2017-12-27 21:38:24.953314
18,CCCAGG,USDT,USD,2245076.90414,2261459.58927,cryptocompare,2017-12-27 21:29:34.017518
19,CCCAGG,USDT,RUB,22174.2356139,1335508.28534,cryptocompare,2017-12-27 21:21:50.283034
20,CCCAGG,USDT,USD,2182528.407,2198313.77662,cryptocompare,2017-12-27 21:02:16.884138
21,CCCAGG,USDT,RUB,21632.9781607,1302869.28962,cryptocompare,2017-12-27 20:38:15.341536
22,CCCAGG,USDT,USD,2165891.20279,2181460.80788,cryptocompare,2017-12-27 20:34:41.487661
23,CCCAGG,USDT,USD,2090303.12092,2105118.33547,cryptocompare,2017-12-27 20:20:30.048105
24,CCCAGG,USDT,USD,2077185.55651,2091861.90064,cryptocompare,2017-12-27 20:04:14.876119
25,CCCAGG,USDT,RUB,21619.2588522,1302038.48533,cryptocompare,2017-12-27 20:11:32.666587
