exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,FLASH,BTC,4019101.5288,10.71208763,1,JordanManual,cryptocompare,FLASH,2017-12-31 03:18:38.313167
CCCAGG,FLASH,LTC,344612.527774,56.31045672,1,JordanManual,cryptocompare,FLASH,2017-12-31 03:18:38.313167
CCCAGG,FLASH,DOGE,243808.753751,1129547.27285,1,JordanManual,cryptocompare,FLASH,2017-12-31 03:18:38.313167
CCCAGG,FLASH,BTC,4019101.5288,10.71208763,1,JordanManual,cryptocompare,FLASH,2017-12-31 03:15:49.341423
CCCAGG,FLASH,LTC,344612.527774,56.31045672,1,JordanManual,cryptocompare,FLASH,2017-12-31 03:15:49.341423
CCCAGG,FLASH,DOGE,243808.753751,1129547.27285,1,JordanManual,cryptocompare,FLASH,2017-12-31 03:15:49.341423
