exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,STEEM,BTC,1376293.2122,288.118331449,1,JordanManual,cryptocompare,STEEM,2017-12-31 12:16:41.099430
CCCAGG,STEEM,ETH,16606.9157036,63.50539389,1,JordanManual,cryptocompare,STEEM,2017-12-31 12:16:41.099430
CCCAGG,STEEM,BTC,1375101.91484,287.864865339,1,JordanManual,cryptocompare,STEEM,2017-12-31 12:14:51.687755
CCCAGG,STEEM,BTC,1374368.10211,287.708351589,1,JordanManual,cryptocompare,STEEM,2017-12-31 12:11:57.508233
CCCAGG,STEEM,ETH,16536.3833424,63.22013548,1,JordanManual,cryptocompare,STEEM,2017-12-31 12:11:57.508233
