exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,NOTE,BTC,41454.6511056,0.156808263487,1,JordanManual,cryptocompare,NOTE,2017-12-31 11:57:31.772018
CCCAGG,NOTE,USD,1174.00097256,75.9833511198,1,JordanManual,cryptocompare,NOTE,2017-12-31 11:57:31.772018
CCCAGG,NOTE,DOGE,582.51659082,3297.01484937,1,JordanManual,cryptocompare,NOTE,2017-12-31 11:57:31.772018
CCCAGG,NOTE,RUR,123.97859545,250.321477492,1,JordanManual,cryptocompare,NOTE,2017-12-31 11:57:31.772018
CCCAGG,NOTE,BTC,41454.6511056,0.156808263487,1,JordanManual,cryptocompare,NOTE,2017-12-31 11:54:46.311948
CCCAGG,NOTE,USD,1174.00097256,75.9833511198,1,JordanManual,cryptocompare,NOTE,2017-12-31 11:54:46.311948
CCCAGG,NOTE,LTC,589.48955596,0.12910755,1,JordanManual,cryptocompare,NOTE,2017-12-31 11:54:46.311948
CCCAGG,NOTE,DOGE,582.51659082,3297.01484937,1,JordanManual,cryptocompare,NOTE,2017-12-31 11:54:46.311948
CCCAGG,NOTE,RUR,123.97859545,250.321477492,1,JordanManual,cryptocompare,NOTE,2017-12-31 11:54:46.311948
