exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,NYAN,BTC,411205.303609,0.10554522,1,JordanManual,cryptocompare,NYAN,2017-12-31 03:18:51.815449
CCCAGG,NYAN,LTC,32919.5246515,0.48130149,1,JordanManual,cryptocompare,NYAN,2017-12-31 03:18:51.815449
CCCAGG,NYAN,DOGE,17150.3922559,6775.4377995,1,JordanManual,cryptocompare,NYAN,2017-12-31 03:18:51.815449
CCCAGG,NYAN,BTC,411205.303609,0.10554522,1,JordanManual,cryptocompare,NYAN,2017-12-31 03:08:38.379275
CCCAGG,NYAN,LTC,32919.5246515,0.48130149,1,JordanManual,cryptocompare,NYAN,2017-12-31 03:08:38.379275
CCCAGG,NYAN,DOGE,17150.3922559,6775.4377995,1,JordanManual,cryptocompare,NYAN,2017-12-31 03:08:38.379275
