exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,XMR,BTC,190134.32486,4657.40456132,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
CCCAGG,XMR,USD,45110.6645602,14414335.0353,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
CCCAGG,XMR,KRW,45019.5006846,20484573485.1,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
CCCAGG,XMR,ETH,8718.19961177,3943.39781512,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
CCCAGG,XMR,EUR,6491.87728736,1759819.7184,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
CCCAGG,XMR,GBP,1153.41791203,313788.686288,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
CCCAGG,XMR,PLN,388.56150991,524345.870618,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
CCCAGG,XMR,USDT,218.98322247,69991.6794246,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
CCCAGG,XMR,NZDT,41.81695918,21974.6954521,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
CCCAGG,XMR,LTC,4.94866912,7.28695862,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
CCCAGG,XMR,DOGE,1.64715404,67585.9410571,1,JordanManual,cryptocompare,XMR,2017-12-31 11:54:44.447763
