exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,EXIT,RUR,109850.666483,316.699658935,1,JordanManual,cryptocompare,EXIT,2017-12-31 12:17:59.582231
CCCAGG,EXIT,DOGE,72899.6835004,188.152625121,1,JordanManual,cryptocompare,EXIT,2017-12-31 12:17:59.582231
CCCAGG,EXIT,USD,25333.3333333,0.39836,1,JordanManual,cryptocompare,EXIT,2017-12-31 12:17:59.582231
CCCAGG,EXIT,RUR,109850.666483,316.699658935,1,JordanManual,cryptocompare,EXIT,2017-12-31 12:16:45.302104
CCCAGG,EXIT,DOGE,72899.6835004,188.152625121,1,JordanManual,cryptocompare,EXIT,2017-12-31 12:16:45.302104
CCCAGG,EXIT,RUR,106973.956158,314.138811404,1,JordanManual,cryptocompare,EXIT,2017-12-31 12:14:53.806329
CCCAGG,EXIT,DOGE,38663.6083968,99.79,1,JordanManual,cryptocompare,EXIT,2017-12-31 12:14:53.806329
CCCAGG,EXIT,USD,25333.3333333,0.39836,1,JordanManual,cryptocompare,EXIT,2017-12-31 11:54:31.194285
CCCAGG,EXIT,RUR,22736.8810548,88.668834,1,JordanManual,cryptocompare,EXIT,2017-12-31 11:54:31.194285
