Id,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,USD,RUB,578093.483863,33725403.4286,cryptocompare,2017-12-27 23:54:20.212688
1,CCCAGG,USD,CHF,35490.11,35044.3756689,cryptocompare,2017-12-27 23:09:48.695359
2,CCCAGG,USD,JPY,8876.2251,1008301.13911,cryptocompare,2017-12-27 23:09:48.695359
3,CCCAGG,USD,CAD,8761.0345,11101.3657967,cryptocompare,2017-12-27 23:09:48.695359
4,CCCAGG,USD,SGD,3861.0048,5176.25346853,cryptocompare,2017-12-27 23:09:48.695359
5,CCCAGG,USD,RUB,553714.954754,32291860.4585,cryptocompare,2017-12-27 23:03:07.622866
6,CCCAGG,USD,CHF,36029.11,35577.4574489,cryptocompare,2017-12-27 22:59:30.081819
7,CCCAGG,USD,JPY,9069.1301,1030217.27916,cryptocompare,2017-12-27 22:59:30.081819
8,CCCAGG,USD,CAD,8869.356,11238.9784381,cryptocompare,2017-12-27 22:59:30.081819
9,CCCAGG,USD,SGD,3944.8497,5288.87393821,cryptocompare,2017-12-27 22:59:30.081819
10,CCCAGG,USD,RUB,551668.405245,32163886.1306,cryptocompare,2017-12-27 22:56:01.038443
11,CCCAGG,USD,RUR,302713.198052,18043304.4138,cryptocompare,2017-12-27 22:50:25.767126
12,CCCAGG,USD,RUR,303501.602053,18091029.9787,cryptocompare,2017-12-27 22:59:30.081819
13,CCCAGG,USD,RUR,302086.970294,18005358.4862,cryptocompare,2017-12-27 22:47:13.291273
14,CCCAGG,USD,JPY,9069.1301,1030217.27916,cryptocompare,2017-12-27 22:50:25.767126
15,CCCAGG,USD,RUR,301581.824416,17962319.6112,cryptocompare,2017-12-27 21:29:32.341328
16,CCCAGG,USD,RUR,298420.779159,17796573.6232,cryptocompare,2017-12-27 23:09:48.695359
17,CCCAGG,USD,JPY,5928.7183,673860.246835,cryptocompare,2017-12-27 19:24:32.275038
18,CCCAGG,USD,CAD,8869.356,11238.9784381,cryptocompare,2017-12-27 22:50:25.767126
19,CCCAGG,USD,SGD,3944.8497,5288.87393821,cryptocompare,2017-12-27 22:50:25.767126
20,CCCAGG,USD,CHF,36029.11,35577.4574489,cryptocompare,2017-12-27 22:50:25.767126
21,CCCAGG,USD,CHF,36029.11,35577.4574489,cryptocompare,2017-12-27 22:39:19.763398
22,CCCAGG,USD,CAD,8824.5143,11182.2805926,cryptocompare,2017-12-27 22:39:19.763398
23,CCCAGG,USD,CHF,36029.11,35577.4574489,cryptocompare,2017-12-27 22:47:13.291273
24,CCCAGG,USD,RUB,546389.685507,31852543.4515,cryptocompare,2017-12-27 22:47:00.021481
25,CCCAGG,USD,RUR,296191.963913,17649600.0472,cryptocompare,2017-12-27 22:02:36.478737
26,CCCAGG,USD,RUR,302014.027299,18000945.3593,cryptocompare,2017-12-27 22:46:01.243353
27,CCCAGG,USD,CHF,36029.11,35577.4574489,cryptocompare,2017-12-27 22:46:01.243353
28,CCCAGG,USD,SGD,3944.8497,5288.87393821,cryptocompare,2017-12-27 22:46:01.243353
