Id,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,BCH,BTC,221450.769134,39151.6060364,cryptocompare,2017-12-27 23:03:05.202011
1,CCCAGG,BCH,WUSD,27.4993679,65871.930496,cryptocompare,2017-12-27 22:50:22.206192
2,CCCAGG,BCH,KCS,21.16466829,31860.1487516,cryptocompare,2017-12-27 22:50:22.206192
3,CCCAGG,BCH,LTC,18.23218759,184.4975861,cryptocompare,2017-12-27 22:50:22.206192
4,CCCAGG,BCH,BNB,360.88611,100800.199417,cryptocompare,2017-12-27 22:50:22.206192
5,CCCAGG,BCH,SGD,17.3441706,61656.1644002,cryptocompare,2017-12-27 22:50:22.206192
6,CCCAGG,BCH,SGD,17.3441706,61656.1644002,cryptocompare,2017-12-27 22:59:27.674816
7,CCCAGG,BCH,WAVES,43.26695769,8495.53830433,cryptocompare,2017-12-27 22:50:22.206192
8,CCCAGG,BCH,KCS,21.16466829,31860.1487516,cryptocompare,2017-12-27 22:59:27.674816
9,CCCAGG,BCH,KRW,73673.9529643,2.7491966329e+11,cryptocompare,2017-12-27 22:59:27.674816
10,CCCAGG,BCH,USDT,16387.1372482,43510725.9932,cryptocompare,2017-12-27 22:59:27.674816
11,CCCAGG,BCH,ETH,4304.46670263,15751.4505404,cryptocompare,2017-12-27 22:59:27.674816
12,CCCAGG,BCH,EUR,3824.26811263,8607756.67962,cryptocompare,2017-12-27 22:59:27.674816
13,CCCAGG,BCH,JPY,2080.604988,649165292.968,cryptocompare,2017-12-27 22:59:27.674816
14,CCCAGG,BCH,LTC,18.23218759,184.4975861,cryptocompare,2017-12-27 22:59:27.674816
15,CCCAGG,BCH,USD,74479.4656733,197024402.326,cryptocompare,2017-12-27 22:59:27.674816
16,CCCAGG,BCH,RUB,91.24038726,15048457.1703,cryptocompare,2017-12-27 22:50:22.206192
17,CCCAGG,BCH,GBP,125.94526684,260090.892956,cryptocompare,2017-12-27 22:50:22.206192
18,CCCAGG,BCH,THB,569.45625073,56220233.1506,cryptocompare,2017-12-27 22:50:22.206192
19,CCCAGG,BCH,SGD,14.1441706,51008.1624002,cryptocompare,2017-12-27 19:37:33.598099
20,CCCAGG,BCH,LTC,18.74392974,190.00295704,cryptocompare,2017-12-27 19:37:33.598099
21,CCCAGG,BCH,THB,568.25193574,56105167.711,cryptocompare,2017-12-27 22:38:49.889575
22,CCCAGG,BCH,NEO,1.88499801,80.0030702743,cryptocompare,2017-12-27 22:39:26.635355
