Id,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,EUR,USD,14432285.4764,17196826.3108,cryptocompare,2017-12-27 23:54:22.571363
1,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 23:09:54.846046
2,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 23:09:54.846046
3,CCCAGG,EUR,USD,14318604.0015,17062058.0903,cryptocompare,2017-12-27 23:03:09.999929
4,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 22:59:32.477346
5,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 22:59:32.477346
6,CCCAGG,EUR,USD,14642759.039,17454792.4023,cryptocompare,2017-12-27 22:56:03.991877
7,CCCAGG,EUR,USD,14481549.8544,17263496.8429,cryptocompare,2017-12-27 22:39:31.425903
8,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 22:50:29.164668
9,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 22:47:16.767162
10,CCCAGG,EUR,USD,14481549.8544,17263496.8429,cryptocompare,2017-12-27 22:38:59.826589
11,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 20:38:16.189966
12,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 22:46:03.716216
13,CCCAGG,EUR,USD,14530595.8386,17321697.7688,cryptocompare,2017-12-27 22:44:51.509550
14,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 22:42:48.021739
15,CCCAGG,EUR,USD,14578697.6345,17378749.9091,cryptocompare,2017-12-27 22:48:19.654987
16,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 22:39:22.215094
17,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 22:47:16.767162
18,CCCAGG,EUR,USD,14254462.3295,17014584.9218,cryptocompare,2017-12-27 20:21:58.072528
19,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 20:26:31.138817
20,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 22:38:47.491009
21,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 22:50:29.164668
22,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 20:30:59.508944
23,CCCAGG,EUR,USD,14272364.8419,17035800.6331,cryptocompare,2017-12-27 20:26:54.104696
24,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 19:48:14.382596
25,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 20:30:19.636701
26,CCCAGG,EUR,USD,14578697.6345,17378749.9091,cryptocompare,2017-12-27 22:47:06.479815
27,CCCAGG,EUR,USD,14355545.8789,17134366.932,cryptocompare,2017-12-27 20:30:59.508944
28,CCCAGG,EUR,USD,13726148.1976,16365528.7299,cryptocompare,2017-12-27 22:05:07.091718
29,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 20:19:27.898644
30,CCCAGG,EUR,USD,13637393.7575,16262576.9696,cryptocompare,2017-12-27 21:02:17.679962
31,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 19:48:14.382596
32,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 21:29:34.797554
33,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 21:29:34.797554
34,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 22:42:48.021739
35,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 20:26:31.138817
36,CCCAGG,EUR,USD,14249898.6489,17009176.1029,cryptocompare,2017-12-27 20:20:30.838643
37,CCCAGG,EUR,USD,14272364.8419,17035800.6331,cryptocompare,2017-12-27 20:25:39.519924
38,CCCAGG,EUR,USD,13673917.6611,16327230.0405,cryptocompare,2017-12-27 19:13:58.175601
39,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 22:38:47.491009
40,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 22:46:03.716216
41,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 20:16:31.155853
42,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 19:13:58.175601
43,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 20:21:33.082406
44,CCCAGG,EUR,USD,14182332.6871,16929067.4622,cryptocompare,2017-12-27 20:11:33.496361
45,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 20:13:34.451415
46,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 19:15:53.694540
47,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 20:19:27.898644
48,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 22:02:38.859537
49,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 19:47:33.684938
50,CCCAGG,EUR,USD,13652249.0738,16301479.3369,cryptocompare,2017-12-27 19:11:08.159981
51,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 20:22:35.822628
52,CCCAGG,EUR,GBP,112.64,99.9995392,cryptocompare,2017-12-27 19:24:34.669196
53,CCCAGG,EUR,USD,14130959.1571,16867969.5107,cryptocompare,2017-12-27 20:04:15.667191
54,CCCAGG,EUR,USD,13750219.3154,16417948.7193,cryptocompare,2017-12-27 19:37:10.129759
55,CCCAGG,EUR,CHF,12402.98,14561.982661,cryptocompare,2017-12-27 19:47:00.657219
