Id,has_pricing,symbol
0,1,007
1,0,1337
2,1,1CR
3,0,1ST
4,1,2015
5,0,2BACCO
6,0,2GIVE
7,0,32BIT
8,0,365
9,0,3DES
10,1,404
11,0,42
12,1,4CHN
13,0,611
14,0,808
15,1,888
16,0,8BIT
17,0,8BT
18,0,8S
19,0,ABC
20,0,ABT
21,0,ABY
22,0,ABYSS
23,0,AC
24,0,AC3
25,1,ACC
26,1,ACE
27,1,ACES
28,1,ACID
29,1,ACN
30,1,ACOIN
31,1,ACP
32,0,ACT
33,0,ACT*
34,1,ADA
35,0,ADB
36,1,ADC
37,0,ADCN
38,1,ADL
39,1,ADN
40,0,ADST
41,1,ADT
42,1,ADX
43,0,ADZ
44,0,AE
45,0,AEC
46,0,AEON
47,0,AERM
48,0,AERO
49,0,AGRS
50,0,AGS
51,0,AHT
52,0,AHT*
53,0,AIB
54,0,AID
55,0,AION
56,1,AIR
57,1,AIR*
58,0,ALC
59,0,ALEX
60,0,ALF
61,1,ALIS
62,0,ALN
63,0,ALQO
64,0,ALTCOM
65,1,ALTOCAR
66,0,AM
67,1,AMB
68,0,AMBER
69,0,AMC
70,0,AMIS
71,0,AMMO
72,0,AMP
73,0,AMS
74,0,AMT
75,0,AMY
76,0,ANAL
77,0,ANC
78,0,ANCP
79,0,AND
80,0,ANT
81,0,ANTC
82,0,ANTI
83,0,APC
84,1,APEX
85,0,APPC
86,0,APT
87,1,APX
88,0,AR*
89,0,ARB
90,0,ARBI
91,1,ARC
92,0,ARC*
93,1,ARCH
94,1,ARCO
95,1,ARDR
96,1,ARENA
97,0,ARG
98,1,ARGUS
99,0,ARI
100,0,ARI*
101,1,ARK
102,0,ARM
103,0,ARN
104,0,ARNA*
105,0,ARPA
106,0,ART
107,1,ASAFE2
108,0,ASN
109,0,AST
110,1,AST*
111,1,ASTRO
112,1,ATB
113,1,ATCC
114,0,ATFS
115,0,ATKN
116,0,ATL
117,0,ATM
118,1,ATMS
119,1,ATOM
120,0,ATOM*
121,0,ATS
122,1,ATX
123,1,AUR
124,1,AURS
125,0,AUT
126,0,AUTH
127,1,AV
128,0,AVA
129,0,AVE
130,0,AVT
131,1,AXIOM
132,1,AXR
133,0,AXT
134,1,B2B
135,0,B3
136,0,B@
137,0,BAC
138,0,BAC*
139,1,BAN
140,1,BAR
141,1,BASH
142,1,BAT
143,1,BAY
144,1,BBCC
145,0,BBR
146,1,BBT
147,0,BBT*
148,0,BCAP
149,0,BCCOIN
150,0,BCD
151,0,BCD*
152,0,BCF
153,0,BCH
154,1,BCN
155,0,BCO*
156,1,BCOIN
157,1,BCPT
158,0,BCR
159,1,BCX
160,0,BCX*
161,0,BCY
162,0,BDG
163,0,BDL
164,0,BDR
165,1,BELA
166,1,BEN
167,1,BENJI
168,0,BERN
169,0,BEST
170,0,BET
171,1,BET*
172,1,BFX
173,1,BHC
174,0,BHC*
175,1,BIC
176,0,BIGUP
177,0,BIO
178,0,BIOB
179,0,BIOS
180,1,BIP
181,1,BIS
182,1,BIT16
183,1,BITB
184,0,BITCNY
185,0,BITOK
186,1,BITS
187,0,BITSD
188,0,BITUSD
189,0,BITZ
190,0,BKX
191,1,BLAS
192,0,BLAZR
193,1,BLC
194,0,BLITZ
195,0,BLK
196,0,BLOCK
197,0,BLOCKPAY
198,0,BLRY
199,0,BLU
200,0,BLUE
201,1,BLX
202,1,BM
203,0,BM*
204,0,BMC
205,1,BMT
206,0,BMXT
207,0,BNB
208,0,BNB*
209,1,BNC
210,0,BNK
211,0,BNT
212,0,BNTY
213,1,BNX
214,1,BOAT
215,0,BOB
216,0,BOG
217,1,BOLI
218,1,BOMB
219,1,BON
220,0,BON*
221,1,BOOM
222,1,BOS
223,1,BOSON
224,0,BOSS
225,0,BOST
226,0,BOTS
227,0,BOU
228,0,BOXY
229,1,BPL
230,1,BQ
231,0,BQC
232,0,BQX
233,0,BRAIN
234,0,BRAT
235,0,BRD
236,1,BRDD
237,0,BRIT
238,0,BRK
239,0,BRO
240,1,BRONZ
241,0,BRX
242,1,BS
243,1,BSC
244,0,BSD
245,1,BST
246,0,BSTAR
247,0,BSTK
248,0,BSTY
249,0,BT
250,1,BT1
251,1,BT2
252,1,BTA
253,0,BTB
254,1,BTC
255,1,BTCA
256,0,BTCD
257,0,BTCE
258,0,BTCL
259,0,BTCL*
260,0,BTCM
261,0,BTCR
262,0,BTCRED
263,0,BTCRY
264,1,BTCS
265,0,BTCZ
266,1,BTD
267,1,BTDX
268,0,BTE
269,1,BTG
270,1,BTG*
271,0,BTLC
272,1,BTM
273,1,BTM*
274,1,BTMI
275,0,BTPL
276,1,BTQ
277,1,BTS
278,1,BTTF
279,1,BTX
280,1,BTX*
281,0,BTZ
282,1,BUCKS
283,0,BUCKS*
284,1,BUK
285,0,BULLS
286,1,BURST
287,1,BUZZ
288,1,BVC
289,0,BWK
290,1,BXC
291,0,BXT
292,0,BYC
293,0,BamitCoin
294,1,C2
295,0,C20
296,0,CAB
297,0,CABS
298,0,CABS*
299,1,CACH
300,1,CAG
301,1,CAIX
302,1,CALC
303,1,CAM
304,0,CAN*
305,1,CANN
306,1,CAP
307,0,CAPP
308,1,CARBON
309,0,CAS
310,1,CASH
311,0,CASH*
312,0,CAT
313,1,CAT*
314,0,CAT1
315,0,CAV
316,0,CBD
317,1,CBX
318,1,CC
319,1,CCC
320,1,CCN
321,0,CCOS
322,1,CCRB
323,0,CCT*
324,0,CCX
325,1,CDN
326,0,CDT
327,0,CDX
328,0,CDX*
329,0,CELL
330,1,CESC
331,1,CETI
332,1,CF
333,0,CFC
334,1,CFD
335,0,CFI
336,0,CFT
337,0,CFT*
338,0,CGA
339,1,CHA
340,0,CHAO
341,1,CHASH
342,1,CHAT
343,0,CHC
344,0,CHESS
345,1,CHIEF
346,1,CHILD
347,1,CHIP
348,0,CHIPS*
349,1,CHOOF
350,1,CIN
351,1,CINNI
352,0,CIR
353,0,CIRC
354,0,CIX
355,0,CJ
356,1,CJC
357,0,CJT
358,1,CKC
359,1,CLAM
360,0,CLD
361,1,CLICK
362,1,CLINT
363,1,CLOAK
364,0,CLOUT
365,1,CLR
366,1,CLUB
367,1,CLUD
368,1,CLV
369,1,CMC
370,1,CMP
371,0,CMPCO
372,0,CMS
373,0,CMT
374,0,CMT*
375,0,CNBC
376,1,CNC
377,1,CND
378,0,CND*
379,1,CNL
380,0,CNMT
381,1,CNO
382,0,CNT
383,1,CNX
384,0,COAL
385,1,COB
386,0,COC
387,1,COE
388,0,COFI
389,1,COIN
390,0,COIN*
391,1,COLX
392,0,COMM
393,0,CON
394,1,COOL
395,0,COR
396,0,CORAL
397,0,CORE
398,1,COSS
399,0,COV
400,0,COV*
401,0,COVAL
402,0,COX
403,1,CPAY
404,0,CPC
405,0,CQST
406,1,CRAB
407,1,CRACK
408,1,CRAFT
409,1,CRAIG
410,1,CRAVE
411,0,CRB
412,1,CRC
413,0,CRDS
414,1,CRE
415,1,CREA
416,0,CRED
417,1,CREDO
418,1,CREVA
419,0,CRM
420,0,CRNK
421,0,CRPS
422,1,CRTM
423,0,CRW
424,1,CRX
425,1,CRYPT
426,1,CS
427,1,CSC
428,1,CSH
429,1,CSMIC
430,0,CSNO
431,0,CSTL
432,0,CTC
433,0,CTIC
434,1,CTO
435,0,CTR
436,0,CTT
437,0,CTX
438,0,CUBE
439,1,CURE
440,1,CVC
441,0,CVCOIN
442,1,CWV
443,0,CWXT
444,1,CXC
445,1,CXT
446,1,CYC
447,1,CYG
448,0,CYP
449,1,CYT
450,0,CZC
451,1,DANK
452,1,DAR
453,1,DARK
454,1,DAS
455,1,DASH
456,0,DAT
457,0,DATA
458,0,DAXX
459,1,DAY
460,1,DB
461,1,DBET
462,1,DBG
463,0,DBIC
464,0,DBIX
465,0,DBR
466,0,DBTC
467,1,DCC
468,0,DCK
469,0,DCN
470,1,DCR
471,1,DCRE
472,0,DCS.
473,1,DCT
474,0,DCY
475,0,DDF
476,0,DEA
477,0,DEB
478,1,DEEP
479,1,DEM
480,1,DENT
481,0,DES
482,0,DETH
483,1,DEUR
484,0,DFBT
485,0,DFT
486,1,DGB
487,0,DGC
488,1,DGD
489,0,DGDC
490,1,DGMS
491,1,DGORE
492,0,DGPT
493,1,DICE
494,1,DIEM
495,0,DIGS
496,0,DIM
497,1,DIME
498,1,DISK
499,0,DIVX
500,1,DKC
501,0,DLC
502,0,DLISK
503,0,DLR
504,0,DLT
505,1,DMD
506,0,DMT
