exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,WRT,BTC,8442.71423865,0.00118197999341,1,JordanManual,cryptocompare,WRT,2017-12-31 03:21:34.377904
CCCAGG,WRT,RUR,1593.68338012,218.148988227,1,JordanManual,cryptocompare,WRT,2017-12-31 03:21:34.377904
CCCAGG,WRT,WAVES,0.86998691,0.00019284999834,1,JordanManual,cryptocompare,WRT,2017-12-31 03:21:34.377904
CCCAGG,WRT,BTC,8442.71423865,0.00118197999341,1,JordanManual,cryptocompare,WRT,2017-12-31 03:08:28.916691
CCCAGG,WRT,RUR,1593.68338012,218.148988227,1,JordanManual,cryptocompare,WRT,2017-12-31 03:08:28.916691
CCCAGG,WRT,BTC,8136.36761236,0.00115900849034,1,JordanManual,cryptocompare,WRT,2017-12-31 00:19:22.080131
CCCAGG,WRT,RUR,223.0,38.880715,1,JordanManual,cryptocompare,WRT,2017-12-31 00:19:22.080131
CCCAGG,WRT,USD,27.5,0.112475,1,JordanManual,cryptocompare,WRT,2017-12-31 00:19:22.080131
CCCAGG,WRT,WAVES,0.86998691,0.00019284999834,1,JordanManual,cryptocompare,WRT,2017-12-31 00:19:22.080131
