,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,0.0001844,0.0001844,0.0001844,0.0001844,1514224200,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
1,0.0001844,0.0001844,0.0001844,0.0001844,1514224260,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
2,0.0001844,0.0001844,0.0001844,0.0001844,1514224320,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
3,0.0001844,0.0001844,0.0001844,0.0001844,1514224380,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
4,0.0001844,0.0001844,0.0001844,0.0001844,1514224440,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
5,0.0001844,0.0001844,0.0001844,0.0001844,1514224500,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
6,0.0001844,0.0001844,0.0001844,0.0001844,1514224560,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
7,0.0001844,0.0001844,0.0001844,0.0001844,1514224620,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
8,0.0001844,0.0001844,0.0001844,0.0001844,1514224680,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
9,0.0001844,0.0001844,0.0001844,0.0001844,1514224740,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
10,0.0001844,0.0001844,0.0001844,0.0001844,1514224800,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
11,0.0001844,0.0001844,0.0001844,0.0001844,1514224860,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
12,0.0001844,0.0001844,0.0001844,0.0001844,1514224920,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
13,0.0001844,0.0001844,0.0001844,0.0001844,1514224980,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
14,0.0001844,0.0001844,0.0001844,0.0001844,1514225040,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
15,0.0001844,0.0001844,0.0001844,0.0001844,1514225100,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
16,0.0001844,0.0001844,0.0001844,0.0001844,1514225160,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
17,0.0001844,0.0001844,0.0001844,0.0001844,1514225220,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
18,0.0001844,0.0001844,0.0001844,0.0001844,1514225280,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
19,0.0001844,0.0001844,0.0001844,0.0001844,1514225340,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
20,0.0001844,0.0001844,0.0001844,0.0001844,1514225400,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
21,0.0001844,0.0001844,0.0001844,0.0001844,1514225460,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
22,0.0001844,0.0001844,0.0001844,0.0001844,1514225520,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
23,0.0001844,0.0001844,0.0001844,0.0001844,1514225580,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
24,0.0001844,0.0001844,0.0001844,0.0001844,1514225640,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
25,0.0001844,0.0001844,0.0001844,0.0001844,1514225700,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
26,0.0001844,0.0001844,0.0001844,0.0001844,1514225760,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
27,0.0001844,0.0001844,0.0001844,0.0001844,1514225820,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
28,0.0001844,0.0001844,0.0001844,0.0001844,1514225880,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
29,0.0001844,0.0001844,0.0001844,0.0001844,1514225940,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
30,0.0001844,0.0001844,0.0001844,0.0001844,1514226000,0.0,0.0,404,1,JordanManual,CCCAGG,2017-12-26 20:11:41.421504
