Id,Id,Id.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.0,2.4,1,JordanManual,CCCAGG,2.4,2.4,2.4,ORME,1514357280,2017-12-28 09:08:09.748791,5787.64,13890.33
1,1.0,1.0,2.4,1,JordanManual,CCCAGG,2.4,2.4,2.4,ORME,1514357460,2017-12-28 09:08:09.748791,0.0,0.0
2,2.0,2.0,2.41,1,JordanManual,CCCAGG,2.41,2.4,2.4,ORME,1514357640,2017-12-28 09:08:09.748791,119.35,286.44
3,3.0,3.0,2.4,1,JordanManual,CCCAGG,2.4,2.4,2.4,ORME,1514357820,2017-12-28 09:08:09.748791,378.88,909.31
4,4.0,4.0,2.26,1,JordanManual,CCCAGG,2.26,2.26,2.26,ORME,1514358000,2017-12-28 09:08:09.748791,322.47,728.78
5,5.0,5.0,2.26,1,JordanManual,CCCAGG,2.26,2.26,2.26,ORME,1514358180,2017-12-28 09:08:09.748791,83.82,189.43
6,6.0,6.0,2.26,1,JordanManual,CCCAGG,2.26,2.26,2.26,ORME,1514358360,2017-12-28 09:08:09.748791,329.94,745.66
7,7.0,7.0,2.28,1,JordanManual,CCCAGG,2.29,2.26,2.26,ORME,1514358540,2017-12-28 09:08:09.748791,422.62,963.65
8,8.0,8.0,2.26,1,JordanManual,CCCAGG,2.28,2.26,2.28,ORME,1514358720,2017-12-28 09:08:09.748791,199.2,452.43
9,9.0,9.0,2.26,1,JordanManual,CCCAGG,2.26,2.26,2.26,ORME,1514358900,2017-12-28 09:08:09.748791,0.0,0.0
10,10.0,10.0,2.18,1,JordanManual,CCCAGG,2.26,2.18,2.26,ORME,1514359080,2017-12-28 09:08:09.748791,305.96,666.99
11,11.0,11.0,2.18,1,JordanManual,CCCAGG,2.18,2.18,2.18,ORME,1514359260,2017-12-28 09:08:09.748791,345.22,752.58
12,12.0,12.0,2.26,1,JordanManual,CCCAGG,2.26,2.18,2.18,ORME,1514359440,2017-12-28 09:08:09.748791,2389.4,5400.04
13,13.0,13.0,2.25,1,JordanManual,CCCAGG,2.26,2.25,2.26,ORME,1514359620,2017-12-28 09:08:09.748791,360.16,810.36
14,14.0,14.0,2.24,1,JordanManual,CCCAGG,2.25,2.24,2.25,ORME,1514359800,2017-12-28 09:08:09.748791,1069.27,2398.2
15,15.0,15.0,2.24,1,JordanManual,CCCAGG,2.24,2.24,2.24,ORME,1514359980,2017-12-28 09:08:09.748791,949.76,2127.46
16,16.0,16.0,2.25,1,JordanManual,CCCAGG,2.25,2.24,2.24,ORME,1514360160,2017-12-28 09:08:09.748791,256.64,577.44
17,17.0,17.0,2.24,1,JordanManual,CCCAGG,2.24,2.24,2.24,ORME,1514360340,2017-12-28 09:08:09.748791,945.76,2118.51
18,18.0,18.0,2.23,1,JordanManual,CCCAGG,2.24,2.23,2.24,ORME,1514360520,2017-12-28 09:08:09.748791,339.65,758.69
19,19.0,19.0,2.23,1,JordanManual,CCCAGG,2.23,2.23,2.23,ORME,1514360700,2017-12-28 09:08:09.748791,133.84,298.46
20,20.0,20.0,2.24,1,JordanManual,CCCAGG,2.24,2.24,2.24,ORME,1514360880,2017-12-28 09:08:09.748791,66.5,148.96
21,21.0,21.0,2.23,1,JordanManual,CCCAGG,2.24,2.22,2.24,ORME,1514361060,2017-12-28 09:08:09.748791,606.01,1351.34
22,22.0,22.0,2.23,1,JordanManual,CCCAGG,2.23,2.23,2.23,ORME,1514361240,2017-12-28 09:08:09.748791,4158.45,9273.34
23,23.0,23.0,2.23,1,JordanManual,CCCAGG,2.23,2.23,2.23,ORME,1514361420,2017-12-28 09:08:09.748791,663.59,1479.81
24,24.0,24.0,2.29,1,JordanManual,CCCAGG,2.3,2.28,2.3,ORME,1514361600,2017-12-28 09:08:09.748791,449.13,1027.03
25,25.0,25.0,2.36,1,JordanManual,CCCAGG,2.36,2.28,2.29,ORME,1514361780,2017-12-28 09:08:09.748791,319.83,740.18
26,26.0,26.0,2.36,1,JordanManual,CCCAGG,2.36,2.36,2.36,ORME,1514361960,2017-12-28 09:08:09.748791,749.37,1768.51
27,27.0,27.0,2.36,1,JordanManual,CCCAGG,2.37,2.36,2.37,ORME,1514362140,2017-12-28 09:08:09.748791,911.61,2155.49
28,28.0,28.0,2.36,1,JordanManual,CCCAGG,2.36,2.36,2.36,ORME,1514362320,2017-12-28 09:08:09.748791,537.03,1267.39
29,29.0,29.0,2.23,1,JordanManual,CCCAGG,2.28,2.22,2.28,ORME,1514362500,2017-12-28 09:08:09.748791,315.67,703.37
30,30.0,30.0,2.31,1,JordanManual,CCCAGG,2.31,2.23,2.23,ORME,1514362680,2017-12-28 09:08:09.748791,1023.1,2311.79
31,31.0,31.0,2.31,1,JordanManual,CCCAGG,2.31,2.31,2.31,ORME,1514362860,2017-12-28 09:08:09.748791,3180.2,7346.26
32,32.0,32.0,2.32,1,JordanManual,CCCAGG,2.32,2.31,2.31,ORME,1514363040,2017-12-28 09:08:09.748791,693.01,1607.67
33,33.0,33.0,2.35,1,JordanManual,CCCAGG,2.35,2.32,2.32,ORME,1514363220,2017-12-28 09:08:09.748791,1190.02,2768.95
34,34.0,34.0,2.42,1,JordanManual,CCCAGG,2.42,2.37,2.37,ORME,1514363400,2017-12-28 09:08:09.748791,1088.82,2634.94
35,35.0,35.0,2.41,1,JordanManual,CCCAGG,2.42,2.41,2.42,ORME,1514363580,2017-12-28 09:08:09.748791,1309.89,3158.37
36,36.0,36.0,2.41,1,JordanManual,CCCAGG,2.41,2.41,2.41,ORME,1514363760,2017-12-28 09:08:09.748791,260.25,627.2
37,37.0,37.0,2.42,1,JordanManual,CCCAGG,2.42,2.41,2.41,ORME,1514363940,2017-12-28 09:08:09.748791,749.77,1813.64
38,38.0,38.0,2.42,1,JordanManual,CCCAGG,2.42,2.42,2.42,ORME,1514364120,2017-12-28 09:08:09.748791,218.45,528.65
39,39.0,39.0,2.42,1,JordanManual,CCCAGG,2.42,2.42,2.42,ORME,1514364300,2017-12-28 09:08:09.748791,239.57,579.76
40,40.0,40.0,2.41,1,JordanManual,CCCAGG,2.42,2.41,2.42,ORME,1514364480,2017-12-28 09:08:09.748791,1494.77,3607.7
41,41.0,41.0,2.41,1,JordanManual,CCCAGG,2.41,2.41,2.41,ORME,1514364660,2017-12-28 09:08:09.748791,402.81,970.77
42,42.0,42.0,2.4,1,JordanManual,CCCAGG,2.41,2.4,2.41,ORME,1514364840,2017-12-28 09:08:09.748791,705.69,1699.91
43,43.0,43.0,2.4,1,JordanManual,CCCAGG,2.4,2.4,2.4,ORME,1514365020,2017-12-28 09:08:09.748791,271.36,651.26
44,44.0,44.0,2.34,1,JordanManual,CCCAGG,2.4,2.26,2.4,ORME,1514365200,2017-12-28 09:08:09.748791,280.82,652.36
45,45.0,45.0,2.34,1,JordanManual,CCCAGG,2.34,2.34,2.34,ORME,1514365380,2017-12-28 09:08:09.748791,71.37,167.01
46,46.0,46.0,2.34,1,JordanManual,CCCAGG,2.34,2.34,2.34,ORME,1514365560,2017-12-28 09:08:09.748791,103.82,242.94
47,47.0,47.0,2.36,1,JordanManual,CCCAGG,2.36,2.34,2.34,ORME,1514365740,2017-12-28 09:08:09.748791,1065.38,2508.86
48,48.0,48.0,2.27,1,JordanManual,CCCAGG,2.37,2.27,2.36,ORME,1514365920,2017-12-28 09:08:09.748791,2080.55,4730.1
49,49.0,49.0,2.31,1,JordanManual,CCCAGG,2.31,2.31,2.31,ORME,1514366100,2017-12-28 09:08:09.748791,8162.59,18855.58
50,50.0,50.0,2.3,1,JordanManual,CCCAGG,2.3,2.3,2.3,ORME,1514366280,2017-12-28 09:08:09.748791,2501.08,5752.49
51,51.0,51.0,2.21,1,JordanManual,CCCAGG,2.3,2.21,2.3,ORME,1514366460,2017-12-28 09:08:09.748791,1636.23,3616.07
52,52.0,52.0,2.19,1,JordanManual,CCCAGG,2.2,2.19,2.2,ORME,1514366640,2017-12-28 09:08:09.748791,328.67,721.47
53,53.0,53.0,2.18,1,JordanManual,CCCAGG,2.19,2.18,2.19,ORME,1514366820,2017-12-28 09:08:09.748791,184.21,403.42
54,54.0,54.0,2.29,1,JordanManual,CCCAGG,2.3,2.16,2.19,ORME,1514367000,2017-12-28 09:08:09.748791,1381.31,3176.11
55,55.0,55.0,2.29,1,JordanManual,CCCAGG,2.29,2.29,2.29,ORME,1514367180,2017-12-28 09:08:09.748791,438.7,1004.62
