Id,Id,Id.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.0,0.009324,1,JordanManual,CCCAGG,0.009326,0.009324,0.009326,DBTC,1514329740,2017-12-28 01:28:54.469851,0.0,0.0
1,1.0,1.0,0.009303,1,JordanManual,CCCAGG,0.009317,0.009303,0.009317,DBTC,1514329920,2017-12-28 01:28:54.469851,0.0,0.0
2,2.0,2.0,0.009283,1,JordanManual,CCCAGG,0.009298,0.009283,0.009298,DBTC,1514330100,2017-12-28 01:28:54.469851,0.0,0.0
3,3.0,3.0,0.009261,1,JordanManual,CCCAGG,0.009272,0.009261,0.009272,DBTC,1514330280,2017-12-28 01:28:54.469851,0.0,0.0
4,4.0,4.0,0.00925,1,JordanManual,CCCAGG,0.009266,0.00925,0.009266,DBTC,1514330460,2017-12-28 01:28:54.469851,0.0,0.0
5,5.0,5.0,0.009231,1,JordanManual,CCCAGG,0.00925,0.009231,0.00925,DBTC,1514330640,2017-12-28 01:28:54.469851,0.0,0.0
6,6.0,6.0,0.009214,1,JordanManual,CCCAGG,0.009227,0.00921,0.009227,DBTC,1514330820,2017-12-28 01:28:54.469851,0.0,0.0
7,7.0,7.0,0.009237,1,JordanManual,CCCAGG,0.009237,0.009205,0.009205,DBTC,1514331000,2017-12-28 01:28:54.469851,0.0,0.0
8,8.0,8.0,0.009235,1,JordanManual,CCCAGG,0.009259,0.009235,0.009259,DBTC,1514331180,2017-12-28 01:28:54.469851,0.0,0.0
9,9.0,9.0,0.009247,1,JordanManual,CCCAGG,0.009247,0.009242,0.009242,DBTC,1514331360,2017-12-28 01:28:54.469851,0.0,0.0
10,10.0,10.0,0.009233,1,JordanManual,CCCAGG,0.009233,0.009226,0.009232,DBTC,1514331540,2017-12-28 01:28:54.469851,0.0,0.0
11,11.0,11.0,0.009245,1,JordanManual,CCCAGG,0.009245,0.00923,0.00923,DBTC,1514331720,2017-12-28 01:28:54.469851,0.0,0.0
12,12.0,12.0,0.009252,1,JordanManual,CCCAGG,0.009257,0.009251,0.009251,DBTC,1514331900,2017-12-28 01:28:54.469851,0.0,0.0
13,13.0,13.0,0.009246,1,JordanManual,CCCAGG,0.009255,0.009246,0.009255,DBTC,1514332080,2017-12-28 01:28:54.469851,0.0,0.0
14,14.0,14.0,0.009287,1,JordanManual,CCCAGG,0.009287,0.009254,0.009254,DBTC,1514332260,2017-12-28 01:28:54.469851,0.0,0.0
15,15.0,15.0,0.009284,1,JordanManual,CCCAGG,0.009285,0.00928,0.00928,DBTC,1514332440,2017-12-28 01:28:54.469851,0.0,0.0
16,16.0,16.0,0.009296,1,JordanManual,CCCAGG,0.009296,0.009284,0.009284,DBTC,1514332620,2017-12-28 01:28:54.469851,0.0,0.0
17,17.0,17.0,0.009267,1,JordanManual,CCCAGG,0.009277,0.009267,0.009277,DBTC,1514332800,2017-12-28 01:28:54.469851,0.0,0.0
18,18.0,18.0,0.009262,1,JordanManual,CCCAGG,0.009267,0.009262,0.009267,DBTC,1514332980,2017-12-28 01:28:54.469851,0.0,0.0
19,19.0,19.0,0.00923,1,JordanManual,CCCAGG,0.009252,0.00923,0.009252,DBTC,1514333160,2017-12-28 01:28:54.469851,0.0,0.0
20,20.0,20.0,0.009218,1,JordanManual,CCCAGG,0.009232,0.009218,0.009232,DBTC,1514333340,2017-12-28 01:28:54.469851,0.0,0.0
21,21.0,21.0,0.009214,1,JordanManual,CCCAGG,0.009214,0.009211,0.009214,DBTC,1514333520,2017-12-28 01:28:54.469851,0.0,0.0
22,22.0,22.0,0.00923,1,JordanManual,CCCAGG,0.00923,0.009216,0.009216,DBTC,1514333700,2017-12-28 01:28:54.469851,0.0,0.0
23,23.0,23.0,0.009235,1,JordanManual,CCCAGG,0.009235,0.009231,0.009231,DBTC,1514333880,2017-12-28 01:28:54.469851,0.0,0.0
24,24.0,24.0,0.009247,1,JordanManual,CCCAGG,0.009247,0.00923,0.00923,DBTC,1514334060,2017-12-28 01:28:54.469851,0.0,0.0
25,25.0,25.0,0.00928,1,JordanManual,CCCAGG,0.00928,0.009248,0.009248,DBTC,1514334240,2017-12-28 01:28:54.469851,0.0,0.0
26,26.0,26.0,0.009309,1,JordanManual,CCCAGG,0.009309,0.009304,0.009306,DBTC,1514334420,2017-12-28 01:28:54.469851,0.0,0.0
