,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,0.04897,0.04897,0.04897,0.04897,1514224200,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
1,0.04901,0.04901,0.04901,0.04901,1514224260,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
2,0.04898,0.04898,0.04898,0.04898,1514224320,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
3,0.04896,0.04896,0.04896,0.04896,1514224380,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
4,0.04899,0.04899,0.04899,0.04899,1514224440,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
5,0.04897,0.04897,0.04897,0.04897,1514224500,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
6,0.04893,0.04893,0.04893,0.04893,1514224560,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
7,0.04894,0.04894,0.04894,0.04894,1514224620,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
8,0.04898,0.04898,0.04898,0.04898,1514224680,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
9,0.04899,0.04899,0.04899,0.04899,1514224740,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
10,0.04897,0.04897,0.04897,0.04897,1514224800,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
11,0.04895,0.04895,0.04895,0.04895,1514224860,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
12,0.04899,0.04899,0.04899,0.04899,1514224920,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
13,0.049,0.049,0.049,0.049,1514224980,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
14,0.049,0.049,0.049,0.049,1514225040,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
15,0.04904,0.04904,0.04904,0.04904,1514225100,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
16,0.04902,0.04902,0.04902,0.04902,1514225160,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
17,0.04906,0.04906,0.04906,0.04906,1514225220,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
18,0.04915,0.04915,0.04915,0.04915,1514225280,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
19,0.04926,0.04926,0.04926,0.04926,1514225340,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
20,0.04937,0.04937,0.04937,0.04937,1514225400,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
21,0.04939,0.04939,0.04939,0.04939,1514225460,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
22,0.04934,0.04934,0.04934,0.04934,1514225520,0.0,0.0,32BIT,1,JordanManual,CCCAGG,2017-12-26 20:11:22.088171
