Id,Id,Id.1,Id.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.0,0.0,0.2188,1,JordanManual,CCCAGG,0.2188,0.2181,0.2188,XLM,1514329920,2017-12-28 01:33:07.151351,3291.66,718.68
1,1.0,1.0,1.0,0.2188,1,JordanManual,CCCAGG,0.2188,0.2188,0.2188,XLM,1514330100,2017-12-28 01:33:07.151351,3457.22,754.54
2,2.0,2.0,2.0,0.2188,1,JordanManual,CCCAGG,0.2199,0.2188,0.2188,XLM,1514330280,2017-12-28 01:33:07.151351,19289.98,4221.77
3,3.0,3.0,3.0,0.2188,1,JordanManual,CCCAGG,0.2188,0.2188,0.2188,XLM,1514330460,2017-12-28 01:33:07.151351,209935.68,46125.42
4,4.0,4.0,4.0,0.2199,1,JordanManual,CCCAGG,0.2199,0.2188,0.2198,XLM,1514330640,2017-12-28 01:33:07.151351,24546.36,5379.34
5,5.0,5.0,5.0,0.2199,1,JordanManual,CCCAGG,0.2199,0.2199,0.2199,XLM,1514330820,2017-12-28 01:33:07.151351,51002.7,11255.16
6,6.0,6.0,6.0,0.221,1,JordanManual,CCCAGG,0.221,0.221,0.221,XLM,1514331000,2017-12-28 01:33:07.151351,6030.65,1332.77
7,7.0,7.0,7.0,0.22,1,JordanManual,CCCAGG,0.221,0.22,0.221,XLM,1514331180,2017-12-28 01:33:07.151351,28793.8,6361.91
8,8.0,8.0,8.0,0.22,1,JordanManual,CCCAGG,0.22,0.22,0.22,XLM,1514331360,2017-12-28 01:33:07.151351,272.55,60.0
9,9.0,9.0,9.0,0.221,1,JordanManual,CCCAGG,0.221,0.22,0.22,XLM,1514331540,2017-12-28 01:33:07.151351,228.9,50.59
10,10.0,10.0,10.0,0.221,1,JordanManual,CCCAGG,0.221,0.221,0.221,XLM,1514331720,2017-12-28 01:33:07.151351,32965.81,7254.67
11,11.0,11.0,11.0,0.22,1,JordanManual,CCCAGG,0.22,0.22,0.22,XLM,1514331900,2017-12-28 01:33:07.151351,196876.01,43313.53
12,12.0,12.0,12.0,0.221,1,JordanManual,CCCAGG,0.221,0.22,0.22,XLM,1514332080,2017-12-28 01:33:07.151351,5634.06,1243.43
13,13.0,13.0,13.0,0.221,1,JordanManual,CCCAGG,0.221,0.221,0.221,XLM,1514332260,2017-12-28 01:33:07.151351,48654.01,10776.49
14,14.0,14.0,14.0,0.221,1,JordanManual,CCCAGG,0.221,0.221,0.221,XLM,1514332440,2017-12-28 01:33:07.151351,1856.41,411.87
15,15.0,15.0,15.0,0.2221,1,JordanManual,CCCAGG,0.2221,0.221,0.221,XLM,1514332620,2017-12-28 01:33:07.151351,2362.27,524.43
16,16.0,16.0,16.0,0.2221,1,JordanManual,CCCAGG,0.2221,0.2221,0.2221,XLM,1514332800,2017-12-28 01:33:07.151351,56131.23,12457.16
17,17.0,17.0,17.0,0.2223,1,JordanManual,CCCAGG,0.2223,0.2223,0.2223,XLM,1514332980,2017-12-28 01:33:07.151351,2609.15,579.59
18,18.0,18.0,18.0,0.221,1,JordanManual,CCCAGG,0.2223,0.22,0.2223,XLM,1514333160,2017-12-28 01:33:07.151351,64757.65,14259.23
19,19.0,19.0,19.0,0.221,1,JordanManual,CCCAGG,0.221,0.221,0.221,XLM,1514333340,2017-12-28 01:33:07.151351,26968.29,5945.54
20,20.0,20.0,20.0,0.221,1,JordanManual,CCCAGG,0.221,0.221,0.221,XLM,1514333520,2017-12-28 01:33:07.151351,81963.29,18031.95
