Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1,has_pricing,symbol
85,85.0,85.0,85.0,,,,,,,,,0,APPC
86,86.0,,,,,,,,,,,1,APT
87,87.0,,,,,,,,,,,1,APX
88,88.0,88.0,88.0,,,,,,,,,0,AR*
89,,,,,,,,,,,,1,ARB
90,,,,,,,,,,,,0,ARBI
91,,,,,,,,,,,,1,ARC
92,92.0,92.0,92.0,92.0,,,,,,,,0,ARC*
93,93.0,93.0,,,,,,,,,,0,ARCH
94,94.0,,,,,,,,,,,1,ARCO
95,,,,,,,,,,,,0,ARDR
96,,,,,,,,,,,,1,ARENA
97,97.0,97.0,,,,,,,,,,0,ARG
98,,,,,,,,,,,,1,ARGUS
99,99.0,99.0,,,,,,,,,,1,ARI
100,100.0,100.0,100.0,,,,,,,,,0,ARI*
101,101.0,101.0,101.0,,,,,,,,,1,ARK
102,,,,,,,,,,,,1,ARM
103,103.0,,,,,,,,,,,1,ARN
104,104.0,104.0,,,,,,,,,,0,ARNA*
105,105.0,105.0,105.0,105.0,,,,,,,,1,ARPA
106,106.0,106.0,,,,,,,,,,0,ART
107,,,,,,,,,,,,1,ASAFE2
108,108.0,108.0,,,,,,,,,,1,ASN
109,,,,,,,,,,,,1,AST
110,110.0,110.0,110.0,110.0,110.0,,,,,,,1,AST*
111,111.0,111.0,111.0,,,,,,,,,1,ASTRO
112,,,,,,,,,,,,1,ATB
113,113.0,,,,,,,,,,,1,ATCC
114,,,,,,,,,,,,0,ATFS
115,,,,,,,,,,,,0,ATKN
116,,,,,,,,,,,,1,ATL
117,,,,,,,,,,,,1,ATM
118,118.0,118.0,,,,,,,,,,1,ATMS
119,,,,,,,,,,,,1,ATOM
120,,,,,,,,,,,,0,ATOM*
121,,,,,,,,,,,,0,ATS
122,122.0,122.0,,,,,,,,,,0,ATX
123,123.0,123.0,123.0,,,,,,,,,0,AUR
124,,,,,,,,,,,,1,AURS
125,,,,,,,,,,,,0,AUT
126,126.0,126.0,,,,,,,,,,0,AUTH
127,,,,,,,,,,,,1,AV
128,,,,,,,,,,,,0,AVA
129,129.0,129.0,129.0,129.0,,,,,,,,0,AVE
130,130.0,130.0,130.0,,,,,,,,,0,AVT
131,,,,,,,,,,,,1,AXIOM
132,,,,,,,,,,,,1,AXR
133,133.0,133.0,,,,,,,,,,0,AXT
134,134.0,134.0,134.0,,,,,,,,,0,B2B
135,,,,,,,,,,,,1,B3
136,136.0,,,,,,,,,,,1,B@
137,,,,,,,,,,,,1,BAC
138,138.0,138.0,138.0,138.0,,,,,,,,0,BAC*
139,139.0,139.0,,,,,,,,,,0,BAN
140,,,,,,,,,,,,0,BAR
141,,,,,,,,,,,,1,BASH
142,,,,,,,,,,,,1,BAT
143,,,,,,,,,,,,1,BAY
144,,,,,,,,,,,,1,BBCC
145,,,,,,,,,,,,1,BBR
146,,,,,,,,,,,,1,BBT
147,147.0,147.0,147.0,,,,,,,,,0,BBT*
