AVG,BID,CHANGE24HOUR,CHANGEDAY,CHANGEPCT24HOUR,CHANGEPCTDAY,FLAGS,FROMSYMBOL,HIGH24HOUR,HIGHDAY,LASTMARKET,LASTTRADEID,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LOW24HOUR,LOWDAY,MARKET,MKTCAP,OFFER,OPEN24HOUR,OPENDAY,PRICE,SUPPLY,TOSYMBOL,TOTALVOLUME24H,TOTALVOLUME24HTO,TYPE,VOLUME24HOUR,VOLUME24HOURTO,VOLUMEDAY,VOLUMEDAYTO,coin,coin_units,computer_name,timestamp_api_call
,,10.0,0.0,100.0,0.0,4,USC,20.0,20.0,Yobit,176947688,1514639864,166.95128848,3339.0257696,10.0,20.0,CCCAGG,206862260.0,,10.0,20.0,20.0,10343113.0,DOGE,11082.8429806,221656.859612,5,182.0,3640.0,0.0,0.0,USC,1,JordanManual,2017-12-31 00:53:30.547705
,,1e-08,0.0,0.0666666666667,0.0,4,XPS,2.35e-05,1.501e-05,Yobit,176990515,1514648764,63700.0,0.956137,1.5e-05,1.501e-05,CCCAGG,0.0,,1.5e-05,1.501e-05,1.501e-05,0.0,USD,1807440.70618,28.2117084041,5,191146.808511,3.951137,0.0,0.0,XPS,1,JordanManual,2017-12-31 00:53:30.527385
,,1.1e-07,0.0,1.59651669086,0.0,4,SUB*,7e-06,7e-06,Yobit,176998814,1514650235,12795.7919934,0.0895705439536,6.89e-06,7e-06,CCCAGG,0.0,,6.89e-06,7e-06,7e-06,0.0,ETH,63593.3316481,0.443751213429,5,25542.2293373,0.177393497254,0.0,0.0,SUB*,1,JordanManual,2017-12-31 00:53:30.520116
,,0.0,0.0,0.0,0.0,4,CON,1.21,1.21,Cryptopia,1514659808,1514659808,12.67032012,15.33084851,0.79,1.21,CCCAGG,27881550.84,,1.21,1.21,1.21,23042604.0,DOGE,65759.6136908,79378.498494,5,1947.53728035,2165.88603741,0.0,0.0,CON,1,JordanManual,2017-12-31 00:53:36.125471
,,1.77,0.0,8.04179918219,0.0,4,INSN,25.0,23.78,Cryptopia,1514660171,1514660171,2.09588351,49.85029928,13.01,23.78,CCCAGG,443053265.318,,22.01,23.78,23.78,18631340.0049,DOGE,161283.336359,3833805.64914,5,394.09977419,7859.60315394,0.0,0.0,INSN,1,JordanManual,2017-12-31 00:53:31.338457
,,0.0,0.0,0.0,0.0,4,NEF,0.0022,0.0022,Yobit,177070592,1514663600,12453.1733357,27.3967322751,0.0022,0.0022,CCCAGG,0.0,,0.0022,0.0022,0.0022,0.0,DOGE,302494.558407,665.486288496,5,77000.000008,169.398260018,0.0,0.0,NEF,1,JordanManual,2017-12-31 00:53:32.146166
,,0.0,1e-08,0.0,1.96078431373,4,CON,5.5e-07,5.2e-07,Yobit,177101923,1514669381,661.41494853,0.000754013041324,4.3e-07,5.1e-07,CCCAGG,11.98215408,,5.2e-07,5.1e-07,5.2e-07,23042604.0,BTC,65759.6136908,0.0329468038002,5,63663.7457156,0.0318569524531,0.0,0.0,CON,1,JordanManual,2017-12-31 00:53:36.125471
,,0.0,0.0,0.0,0.0,4,DUX,1.996e-05,1.996e-05,Yobit,177102473,1514669524,351737.986989,7.02069022031,1.996e-05,1.996e-05,CCCAGG,0.0,,1.996e-05,1.996e-05,1.996e-05,0.0,USD,2073432.76281,41.3857179458,5,709049.442489,14.1526268721,0.0,0.0,DUX,1,JordanManual,2017-12-31 00:53:30.498610
,,0.0,0.0,0.0,0.0,4,DUX,0.0025,0.0025,Yobit,177102507,1514669530,267050.602895,667.621166225,0.0002425,0.0025,CCCAGG,0.0,,0.0025,0.0025,0.0025,0.0,DOGE,2073432.76281,4939.33274711,5,1233296.32033,2838.99164089,0.0,0.0,DUX,1,JordanManual,2017-12-31 00:53:30.498610
,,-0.05875,-1.091575,-0.937910335772,-14.959742351,4,AVT,6.8197,7.29675,Bitfinex,0,1514670874,0.0,0.0,5.7669,5.9032,CCCAGG,62051750.0,,6.263925,7.29675,6.205175,10000000.0,NZDT,208535.780393,1294001.0111,5,0.0,0.0,0.0,0.0,AVT,1,JordanManual,2017-12-31 02:58:26.671564
