Algorithm,CHANGE24HOUR,CHANGEDAY,CHANGEPCT24HOUR,CHANGEPCTDAY,CoinName,FLAGS,FROMSYMBOL,FullName,FullyPremined,HIGH24HOUR,HIGHDAY,Id,ImageUrl,LASTMARKET,LASTTRADEID,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LOW24HOUR,LOWDAY,MARKET,MKTCAP,Name,OPEN24HOUR,OPENDAY,PRICE,PreMinedValue,ProofType,SUPPLY,SortOrder,Sponsored,Symbol,TOSYMBOL,TOTALVOLUME24H,TOTALVOLUME24HTO,TYPE,TotalCoinSupply,TotalCoinsFreeFloat,Url,VOLUME24HOUR,VOLUME24HOURTO,VOLUMEDAY,VOLUMEDAYTO,coin,coin_units,computer_name,source,timestamp_api_call
POS 3.0,,,,,QTUM,,,QTUM (QTUM),0.0,,,112392.0,/media/1383382/qtum.png,,,,,,,,,,QTUM,,,,,PoS,,1242.0,0.0,QTUM,,,,,100000000,,/coins/qtum/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Scrypt,,,,,NefariousCoin,,,NefariousCoin (NEF),0.0,,,112405.0,/media/1383383/nef.png,,,,,,,,,,NEF,,,,,PoW/PoS,,1243.0,0.0,NEF,,,,,4835000000,,/coins/nef/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Equihash,,,,,ZenCash,,,ZenCash (ZEN),0.0,,,116180.0,/media/1383502/zen.png,,,,,,,,,,ZEN,,,,,PoW,,1244.0,0.0,ZEN,,,,,21000000,,/coins/zen/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,BOScoin,,,BOScoin (BOS),0.0,,,116384.0,/media/1383521/bos.png,,,,,,,,,,BOS,,,,,mFBA,,1245.0,0.0,BOS,,,,,500000000,,/coins/bos/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Qwark,,,Qwark (QWARK),0.0,,,116425.0,/media/1383522/qwark.png,,,,,,,,,,QWARK,,,,,,,1246.0,0.0,QWARK,,,,,250377576,,/coins/qwark/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
SHA256,,,,,Bitcoin,,,Bitcoin (BTC),0.0,,,1182.0,/media/19633/btc.png,,,,,,,,,,BTC,,,,,PoW,,1.0,0.0,BTC,,,,,21000000,,/coins/btc/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
PoS,,,,,Nxt,,,Nxt (NXT),1.0,,,1183.0,/media/20627/nxt.png,,,,,,,,,,NXT,,,,,PoS/LPoS,,6.0,0.0,NXT,,,,,1000000000,,/coins/nxt/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Scrypt,,,,,Diggits,,,Diggits (DIGS),1.0,,,12192.0,/media/20706/digs.png,,,,,,,,,,DIGS,,,,,PoS,,464.0,0.0,DIGS,,,,,100000000,,/coins/digs/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Ethash,,,,,Expanse,,,Expanse (EXP),0.0,,,12194.0,/media/20707/exp.png,,,,,,,,,,EXP,,,,,PoW,,465.0,0.0,EXP,,,,,16906397,,/coins/exp/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Global Currency Reserve,,,Global Currency Reserve (GCR),0.0,,,12217.0,/media/20708/gcr.png,,,,,,,,,,GCR,,,,,PoS,,466.0,0.0,GCR,,,,,0,,/coins/gcr/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
