has_pricing,symbol
1,BOS
1,MAT*
1,EQT
1,ZRC
1,DYN
0,NEU*
1,GCR
1,F16
1,MAPC
1,CON
1,QTUM
1,SC
1,ESP
1,BAT
1,VERI
1,MAD
1,XRB
1,AHT
1,PTOY
1,BLITZ
1,IOT
1,GRS
1,BTC
1,NXT
1,CDT
0,HIRE*
0,IXT
1,NEF
0,AMS
0,DCR
1,STA
0,NET*
1,QRL
0,ECC
0,BET*
0,ATB
1,MYB
1,DOGED
1,ADX
0,DIGS
1,XPS
1,DUX
0,EFYT
0,NMR
0,EXP
1,RVT
0,TFL
1,CFI
1,LKK
1,SKY
1,SNT
0,OK
1,SUB*
0,INSN
1,TIX
1,SEQ
0,OBITS
1,SUR
0,8BT
0,PQT
1,MBI
0,4CHN
1,EOS
0,HAMS
1,CLV
1,CVC
0,XCJ
1,PXI
1,EMC
0,ACT
0,ZEN
0,BTA
0,DENT
0,USC
0,STAR
0,PLBT
0,PAK
0,DP
0,VUC
1,CPC
1,REP
0,SAN
0,DNT
0,AHT*
1,DIM
1,IML
1,PING
0,MCO
0,MND
0,LYB
0,FYN
0,SNC
0,BQX
0,FCT
0,OROC
0,FUNC
0,DAS
1,BTX
0,QWARK
1,OAX
0,MYST
0,OTX
0,MTL
0,TX
0,EGC
0,NVST
0,ATOM*
0,WTT
0,ICOO
0,YOC
1,CLUB
0,SIGT
0,AUT
0,AVT
0,ICE
0,SNK
0,MIV
0,FND
1,BRIT
1,GAME
0,AMMO
1,IND
1,VOISE
1,XHI
0,KARM
0,DNA
0,INFX
1,XUC
0,MI
1,DNR
0,BTPL
0,CFT
0,I0C
1,COR
0,LSK
0,EVX
1,LA
0,MCAP
0,USDT
0,QAU
0,NAS2
0,DOT
0,TCR
0,SYC
0,KING
0,SPN
0,XLC
0,OMG
0,WINK
0,PRE*
0,BIGUP
0,ANCP
1,XTZ
1,VOX
1,POE
1,IFT
0,CRB
0,ONX
1,HVN
1,STORJ
0,MASS
1,PRO
0,EQB
0,DSH
1,RCC
0,DGD
1,FUN
0,CTT
1,DCY
0,BERN
0,SAR
0,RADS
1,SOCC
1,HRB
0,404
1,WGR
1,XEL
1,NDC
0,SAND
0,MOJO
0,RCX
0,PWR
0,STEEM
0,VIB
0,WNET
1,DRP
1,HTC
0,KNC*
0,HMP
0,SPOTS
0,COSS
0,TNT
0,ECOB
0,OPT
0,SAFEX
0,KICK
0,TRIBE
0,DMT
0,RBIES
0,XRL
1,DISK
0,SNM
0,BST
0,TIE
0,QVT
0,BOG
1,DDF
0,STX
0,BNB
0,COE
0,CAT
0,GCN
0,SLS
0,XRE
1,CAT*
0,NETC
1,ARC
1,ZRX
1,IPC
1,REAL
0,ARENA
0,XID
1,CMP
1,GUNS
1,ADST
0,SDAO
0,AMP
0,NPX
0,PART
0,DBIC
1,TME
1,FLVR
0,AEC
0,PLR
0,MSP
0,BRK
0,TAGR
1,STU
0,ANTI
0,KCN
0,FLX
0,DIEM
0,CYG
0,PRM
0,ETHS
0,VIP
0,POST
0,BCY
0,BLRY
0,MANA
0,MOBI
0,ETBS
0,SPM
0,RKC
0,GRT
1,NLC2
0,MEDI
0,OLDSF
0,EDRC
0,GGS
0,STORM
0,SKIN
0,CAB
1,FLY
0,HODL
0,BMXT
1,UMC
1,STS
0,DGPT
0,CRM
1,NEBU
1,BNC
1,TUR
1,BELA
0,HIRE
1,LEMON
0,SIB
0,UNITY
0,BAC
0,VPRC
0,ONION
1,SMART
0,GBT
0,GRWI
0,AIB
1,ROOTS
0,UET
0,MTH
0,GAP
1,SCORE
0,ADT
0,LQD
1,ADL
1,STAR*
1,AGRS
1,XNX
0,ZNT
0,STEPS
0,BIOS
0,SMNX
0,CUBE
1,WMC
1,MRV
1,SUB
0,ADCN
1,RISE
0,CGA
1,PBC
0,KR
0,FRN
0,COIN*
0,MNY
0,REV
0,MEME
0,IVZ
0,SCOT
0,EXIT
0,EQ
0,N7
0,CABS
0,PGL
0,DFBT
0,XAI*
0,WAVES
0,ITT
0,XID*
0,BCH
0,BBT*
0,SSTC
0,GROW
1,KAT
1,CCC
0,UTK
1,PULSE
0,NXE
0,FIL
1,CLUD
1,GIZ
0,PXL
1,BOLI
1,MPRO
0,MOIN
1,LGBTQ
0,BKX
0,DRACO
1,TOM
0,VTA
0,TRUMP
0,KUBO
0,OMA
0,SAK
0,EKO
0,BITSD
0,GPU
0,CSNO
0,SPACE
0,SOIL
0,GSY
1,NKC
1,SCRT
1,XRA
0,FUCK
1,PPT
0,PRG
0,CVCOIN
0,MNM
1,RUST
0,VNT
1,STHR
1,BTM*
1,GOTX
1,DCN
1,BON
1,STA*
1,1337
1,COLX
0,ICOS
0,APC
0,ADN
1,MET
0,UNIT
0,CLINT
0,GAS
0,ION
0,PRIME
0,MMNXT
0,2GIVE
0,AE
0,UTH
0,SWING
0,LINDA
0,JDC
1,KIN
0,CASH*
1,IBANK
0,SQP
1,STCN
1,DEUR
1,DES
1,CARBON
1,HVCO
1,OCL
1,STRAT
1,DLT
1,WGC
1,DFT
0,NUM
0,EVIL
0,CMT
1,PST
1,ENTER
0,CHESS
0,OMNI
0,DNET
1,VOYA
0,TKN*
0,PDC
0,MARV
1,CYT
1,FUZZ
0,VEC2
1,KRONE
0,BLOCKPAY
0,GOON
0,XWC
1,CRX
1,XCXT
0,CORE
0,XDB
1,MBRS
0,IWT
0,EDC
0,DGDC
0,LIR
0,SCRPT
0,XMCC
0,NEBL
0,MLS
0,ZOOM
0,ARI*
0,MAG*
0,ATL
0,MINEX
0,AUTH
1,SOJ
0,YOVI
1,SBD
1,DIME
1,KRAK
1,VEN
0,AEON
0,ERC
1,LAT
1,DLISK
1,LNK
1,ALTOCAR
1,BLX
1,BIT16
1,HDG
0,CFT*
0,MYC
0,BOU
0,AMT
0,ORLY
0,INCP
0,WOLK
0,BNT
0,MUE
0,BSD
0,PIX
0,REE
0,XDE2
0,DTCT
1,HBT
1,NYC
0,BTD
0,WORM
0,IGNIS
0,GPL
1,FRAZ
0,VRM
1,COB
1,XAUR
1,LBC
1,SHREK
1,SYNX
1,MTX
1,EDR
1,CNMT
1,TRV
0,ZEIT
0,611
0,ENJ
0,LTA
1,BTCR
1,DLC
1,RIYA
1,WEX
0,WAN
1,GREXIT
0,TTT
1,OXY
1,AMB
0,SOUL
0,COX
1,PINKX
0,Z2
1,PPY
